CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,learning_instructions_text.stopped,intro_key.keys,intro_key.rt,intro_key.started,intro_key.stopped,cityname_text.started,cityname_text.stopped,city_image.started,city_image.stopped,fx_cross.started,fx_cross.stopped,plate_updating.started,plate_updating.stopped,city_text_updating.started,city_text_updating.stopped,street_text_updating.started,street_text_updating.stopped,test_image1.started,test_image1.stopped,test_image2.started,test_image2.stopped,test_image3.started,test_image3.stopped,test_image4.started,test_image4.stopped,button_d.started,button_d.stopped,button_f.started,button_f.stopped,button_j.started,button_j.stopped,button_k.started,button_k.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_resp,clock0.started,clock0.stopped,short_break_text.started,short_break_text.stopped,short_break_key.keys,short_break_key.started,short_break_key.stopped,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_text.stopped,break_key_resp.keys,break_key_resp.rt,break_key_resp.started,break_key_resp.stopped,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/ST01_112522_cityB.csv,./stimuli/hallstatt.jpg,./stimuli/street_plate2.png,MÁLNA UTCA,stimuli/objects/044a.jpg,object,0,stimuli/objects/044a.jpg,stimuli/objects/099b.jpg,stimuli/objects/044a.jpg,stimuli/objects/099a.jpg,stimuli/objects/044b.jpg,dist2,target,dist1,lure,0,0,0,0,0,9,9,68,,,,,,,,,,,100.3536054000142,None,101.37976800001343,None,101.37976800001343,None,101.37976800001343,None,101.37976800001343,None,101.37976800001343,None,101.37976800001343,None,101.37976800001343,None,101.37976800001343,None,101.37976800001343,None,101.37976800001343,None,101.37976800001343,None,f,2.3339074999967124,101.37976800001343,None,target,None,None,None,None,None,None,None,,,,,,,,,,,,,,ST01_112522,2022-11-25_13h28.27.147,Hippopolis_4AFCT,2021.1.4,60.19849853380518,
Camponello,stimuli/subj_files/ST01_112522_cityB.csv,./stimuli/hallstatt.jpg,./stimuli/street_plate2.png,TOBOZ UTCA,stimuli/objects/057a.jpg,object,0,stimuli/objects/057a.jpg,stimuli/objects/057a.jpg,stimuli/objects/057b.jpg,stimuli/objects/110b.jpg,stimuli/objects/110a.jpg,target,lure,dist2,dist1,0,0,0,0,0,10,10,22,,,,,,,,,,,103.73723670002073,None,104.77264280000236,None,104.77264280000236,None,104.77264280000236,None,104.77264280000236,None,104.77264280000236,None,104.77264280000236,None,104.77264280000236,None,104.77264280000236,None,104.77264280000236,None,104.77264280000236,None,104.77264280000236,None,d,1.9564168999786489,104.77264280000236,None,target,None,None,None,None,None,None,None,,,,,,,,,,,,,,ST01_112522,2022-11-25_13h28.27.147,Hippopolis_4AFCT,2021.1.4,60.19849853380518,
Camponello,stimuli/subj_files/ST01_112522_cityB.csv,./stimuli/hallstatt.jpg,./stimuli/street_plate2.png,HARMONIKA UTCA,stimuli/objects/068a.jpg,object,0,stimuli/objects/068a.jpg,stimuli/objects/068b.jpg,stimuli/scenes/012b.jpg,stimuli/objects/068a.jpg,stimuli/scenes/012a.jpg,lure,dist2,target,dist1,0,0,0,0,0,11,11,38,,,,,,,,,,,106.75412310002139,None,107.7744617999997,None,107.7744617999997,None,107.7744617999997,None,107.7744617999997,None,107.7744617999997,None,107.7744617999997,None,107.7744617999997,None,107.7744617999997,None,107.7744617999997,None,107.7744617999997,None,107.7744617999997,None,d,1.9475516000238713,107.7744617999997,None,lure,None,None,None,None,None,None,None,,,,,,,,,,,,,,ST01_112522,2022-11-25_13h28.27.147,Hippopolis_4AFCT,2021.1.4,60.19849853380518,
Camponello,stimuli/subj_files/ST01_112522_cityB.csv,./stimuli/hallstatt.jpg,./stimuli/street_plate2.png,TÁSKA UTCA,stimuli/scenes/012a.jpg,scene,0,stimuli/scenes/012a.jpg,stimuli/scenes/012b.jpg,stimuli/scenes/012a.jpg,stimuli/objects/033b.jpg,stimuli/objects/033a.jpg,lure,target,dist2,dist1,0,0,0,0,0,12,12,61,,,,,,,,,,,109.75368510000408,None,110.76427040001727,None,110.76427040001727,None,110.76427040001727,None,110.76427040001727,None,110.76427040001727,None,110.76427040001727,None,110.76427040001727,None,110.76427040001727,None,110.76427040001727,None,110.76427040001727,None,110.76427040001727,None,f,4.008798399998341,110.76427040001727,None,target,114.25441140000476,None,None,None,None,None,None,,,,,,,,,,,,,,ST01_112522,2022-11-25_13h28.27.147,Hippopolis_4AFCT,2021.1.4,60.19849853380518,
Camponello,stimuli/subj_files/ST01_112522_cityB.csv,./stimuli/hallstatt.jpg,./stimuli/street_plate2.png,BONBON UTCA,stimuli/scenes/102a.jpg,scene,2,stimuli/objects/058a.jpg,stimuli/scenes/097a.jpg,stimuli/objects/058b.jpg,stimuli/objects/058a.jpg,stimuli/scenes/097b.jpg,dist1,lure,target,dist2,0,0,0,0,0,13,13,54,,,,,,,,,,,114.80386030001682,None,115.81822420001845,None,115.81822420001845,None,115.81822420001845,None,115.81822420001845,None,115.81822420001845,None,115.81822420001845,None,115.81822420001845,None,115.81822420001845,None,115.81822420001845,None,115.81822420001845,None,115.81822420001845,None,j,2.1368604000017513,115.81822420001845,None,target,None,None,None,None,None,None,None,,,,,,,,,,,,,,ST01_112522,2022-11-25_13h28.27.147,Hippopolis_4AFCT,2021.1.4,60.19849853380518,
Camponello,stimuli/subj_files/ST01_112522_cityB.csv,./stimuli/hallstatt.jpg,./stimuli/street_plate2.png,KÁRTYA UTCA,stimuli/objects/038a.jpg,object,0,stimuli/objects/038a.jpg,stimuli/objects/038b.jpg,stimuli/scenes/035b.jpg,stimuli/scenes/035a.jpg,stimuli/objects/038a.jpg,lure,dist2,dist1,target,0,0,0,0,0,14,14,69,,,,,,,,,,,117.9868606000091,None,119.01390790002188,None,119.01390790002188,None,119.01390790002188,None,119.01390790002188,None,119.01390790002188,None,119.01390790002188,None,119.01390790002188,None,119.01390790002188,None,119.01390790002188,None,119.01390790002188,None,119.01390790002188,None,k,2.5754423000034876,119.01390790002188,None,target,None,None,None,None,None,None,None,,,,,,,,,,,,,,ST01_112522,2022-11-25_13h28.27.147,Hippopolis_4AFCT,2021.1.4,60.19849853380518,
Camponello,stimuli/subj_files/ST01_112522_cityB.csv,./stimuli/hallstatt.jpg,./stimuli/street_plate2.png,TÜKÖR UTCA,stimuli/scenes/093a.jpg,scene,0,stimuli/scenes/093a.jpg,stimuli/scenes/093b.jpg,stimuli/scenes/093a.jpg,stimuli/scenes/104b.jpg,stimuli/scenes/104a.jpg,lure,target,dist2,dist1,0,0,0,0,0,15,15,27,,,,,,,,,,,121.62056960002519,None,122.64309000002686,None,122.64309000002686,None,122.64309000002686,None,122.64309000002686,None,122.64309000002686,None,122.64309000002686,None,122.64309000002686,None,122.64309000002686,None,122.64309000002686,None,122.64309000002686,None,122.64309000002686,None,f,2.3195027000037953,122.64309000002686,None,target,None,None,None,None,None,None,None,,,,,,,,,,,,,,ST01_112522,2022-11-25_13h28.27.147,Hippopolis_4AFCT,2021.1.4,60.19849853380518,
Camponello,stimuli/subj_files/ST01_112522_cityB.csv,./stimuli/hallstatt.jpg,./stimuli/street_plate2.png,PETÁRDA UTCA,stimuli/objects/006a.jpg,object,1,stimuli/objects/100a.jpg,stimuli/objects/100a.jpg,stimuli/objects/100b.jpg,stimuli/scenes/082a.jpg,stimuli/scenes/082b.jpg,target,lure,dist1,dist2,0,0,0,0,0,16,16,3,,,,,,,,,,,124.98711720001302,None,126.0098756000225,None,126.0098756000225,None,126.0098756000225,None,126.0098756000225,None,126.0098756000225,None,126.0098756000225,None,126.0098756000225,None,126.0098756000225,None,126.0098756000225,None,126.0098756000225,None,126.0098756000225,None,d,2.249173800024437,126.0098756000225,None,target,None,None,None,None,None,None,None,,,,,,,,,,,,,,ST01_112522,2022-11-25_13h28.27.147,Hippopolis_4AFCT,2021.1.4,60.19849853380518,
Camponello,stimuli/subj_files/ST01_112522_cityB.csv,./stimuli/hallstatt.jpg,./stimuli/street_plate2.png,LÉPCSŐ UTCA,stimuli/scenes/023a.jpg,scene,1,stimuli/scenes/120a.jpg,stimuli/scenes/089a.jpg,stimuli/scenes/120b.jpg,stimuli/scenes/120a.jpg,stimuli/scenes/089b.jpg,dist1,lure,target,dist2,0,0,0,0,0,17,17,0,,,,,,,,,,,128.28711890001432,None,129.3045426000026,None,129.3045426000026,None,129.3045426000026,None,129.3045426000026,None,129.3045426000026,None,129.3045426000026,None,129.3045426000026,None,129.3045426000026,None,129.3045426000026,None,129.3045426000026,None,129.3045426000026,None,d,2.8819914999767207,129.3045426000026,None,dist1,None,None,None,None,None,None,None,,,,,,,,,,,,,,ST01_112522,2022-11-25_13h28.27.147,Hippopolis_4AFCT,2021.1.4,60.19849853380518,
Camponello,stimuli/subj_files/ST01_112522_cityB.csv,./stimuli/hallstatt.jpg,./stimuli/street_plate2.png,KÖNYVTÁR UTCA,stimuli/scenes/008a.jpg,scene,0,stimuli/scenes/008a.jpg,stimuli/scenes/106b.jpg,stimuli/scenes/106a.jpg,stimuli/scenes/008a.jpg,stimuli/scenes/008b.jpg,dist2,dist1,target,lure,0,0,0,0,0,18,18,51,,,,,,,,,,,132.20332700002473,None,133.2251876000082,None,133.2251876000082,None,133.2251876000082,None,133.2251876000082,None,133.2251876000082,None,133.2251876000082,None,133.2251876000082,None,133.2251876000082,None,133.2251876000082,None,133.2251876000082,None,133.2251876000082,None,j,2.4798132000141777,133.2251876000082,None,target,None,None,None,None,None,None,None,,,,,,,,,,,,,,ST01_112522,2022-11-25_13h28.27.147,Hippopolis_4AFCT,2021.1.4,60.19849853380518,
