CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,learning_instructions_text.stopped,intro_key.keys,intro_key.rt,intro_key.started,intro_key.stopped,cityname_text.started,cityname_text.stopped,city_image.started,city_image.stopped,fx_cross.started,fx_cross.stopped,plate.started,plate.stopped,city_text.started,city_text.stopped,street_text.started,street_text.stopped,fx_cross_prediction.started,fx_cross_prediction.stopped,plate_updating.started,plate_updating.stopped,city_text_updating.started,city_text_updating.stopped,street_text_updating.started,street_text_updating.stopped,updating_image.started,updating_image.stopped,short_break_text.started,short_break_text.stopped,short_break_key.keys,short_break_key.started,short_break_key.stopped,short_break_key.rt,break_text.started,break_text.stopped,break_key_resp.keys,break_key_resp.rt,break_key_resp.started,break_key_resp.stopped,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,77.66375920001883,None,space,18.53828129998874,77.66375920001883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,LÁNDZSA UTCA,stimuli/scenes/090a.jpg,scene,0,stimuli/scenes/090a.jpg,stimuli/scenes/090a.jpg,stimuli/objects/091b.jpg,stimuli/scenes/090b.jpg,stimuli/objects/091a.jpg,target,dist2,lure,dist1,0,0,0,0,0,0,0,39,,,,,,,96.32474000001093,None,96.32474000001093,None,99.23242090002168,None,100.26084750000155,None,100.26084750000155,None,100.26084750000155,None,100.26084750000155,None,103.22793410002487,None,103.22793410002487,None,103.22793410002487,None,103.22793410002487,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,VASALÓ UTCA,stimuli/objects/025a.jpg,object,2,stimuli/scenes/056a.jpg,stimuli/scenes/044a.jpg,stimuli/scenes/056b.jpg,stimuli/scenes/056a.jpg,stimuli/scenes/044b.jpg,dist1,lure,target,dist2,0,0,0,0,0,1,1,70,,,,,,,,,,,105.2203109000111,None,106.22252190002473,None,106.22252190002473,None,106.22252190002473,None,106.22252190002473,None,109.24511139999959,None,109.24511139999959,None,109.24511139999959,None,109.24511139999959,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,CUKOR UTCA,stimuli/objects/111a.jpg,object,0,stimuli/objects/111a.jpg,stimuli/objects/089b.jpg,stimuli/objects/111b.jpg,stimuli/objects/111a.jpg,stimuli/objects/089a.jpg,dist2,lure,target,dist1,0,0,0,0,0,2,2,30,,,,,,,,,,,111.23704050001106,None,112.24278770000092,None,112.24278770000092,None,112.24278770000092,None,112.24278770000092,None,115.26788570001372,None,115.26788570001372,None,115.26788570001372,None,115.26788570001372,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KÖMÉNYMAG UTCA,stimuli/objects/068a.jpg,object,1,stimuli/objects/045a.jpg,stimuli/objects/045a.jpg,stimuli/objects/045b.jpg,stimuli/objects/071a.jpg,stimuli/objects/071b.jpg,target,lure,dist1,dist2,0,0,0,0,0,3,3,18,,,,,,,,,,,117.25391860000673,None,118.26142740002251,None,118.26142740002251,None,118.26142740002251,None,118.26142740002251,None,121.28444050002145,None,121.28444050002145,None,121.28444050002145,None,121.28444050002145,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TOBOZ UTCA,stimuli/objects/001a.jpg,object,2,stimuli/scenes/059a.jpg,stimuli/scenes/059a.jpg,stimuli/objects/085a.jpg,stimuli/objects/085b.jpg,stimuli/scenes/059b.jpg,target,dist1,dist2,lure,0,0,0,0,0,4,4,40,,,,,,,,,,,123.27056520001497,None,124.27261750001344,None,124.27261750001344,None,124.27261750001344,None,124.27261750001344,None,127.29507800002466,None,127.29507800002466,None,127.29507800002466,None,127.29507800002466,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TERASZ UTCA,stimuli/objects/063a.jpg,object,2,stimuli/scenes/104a.jpg,stimuli/scenes/104a.jpg,stimuli/scenes/056a.jpg,stimuli/scenes/104b.jpg,stimuli/scenes/056b.jpg,target,dist1,lure,dist2,0,0,0,0,0,5,5,48,,,,,,,,,,,129.28693349999958,None,130.28993170001195,None,130.28993170001195,None,130.28993170001195,None,130.28993170001195,None,133.31297389999963,None,133.31297389999963,None,133.31297389999963,None,133.31297389999963,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KORONG UTCA,stimuli/scenes/065a.jpg,scene,1,stimuli/scenes/004a.jpg,stimuli/scenes/004a.jpg,stimuli/scenes/011b.jpg,stimuli/scenes/011a.jpg,stimuli/scenes/004b.jpg,target,dist2,dist1,lure,0,0,0,0,0,6,6,53,,,,,,,,,,,135.30332200002158,None,136.30338710002252,None,136.30338710002252,None,136.30338710002252,None,136.30338710002252,None,139.31175810002605,None,139.31175810002605,None,139.31175810002605,None,139.31175810002605,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,LÉTRA UTCA,stimuli/objects/047a.jpg,object,1,stimuli/objects/015a.jpg,stimuli/objects/108b.jpg,stimuli/objects/015b.jpg,stimuli/objects/108a.jpg,stimuli/objects/015a.jpg,dist2,lure,dist1,target,0,0,0,0,0,7,7,33,,,,,,,,,,,141.3194719000021,None,142.32173510000575,None,142.32173510000575,None,142.32173510000575,None,142.32173510000575,None,145.35544980000122,None,145.35544980000122,None,145.35544980000122,None,145.35544980000122,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,ÜVEG UTCA,stimuli/scenes/061a.jpg,scene,2,stimuli/objects/085a.jpg,stimuli/objects/085b.jpg,stimuli/scenes/084a.jpg,stimuli/objects/085a.jpg,stimuli/scenes/084b.jpg,lure,dist1,target,dist2,0,0,0,0,0,8,8,19,,,,,,,,,,,147.33609060000163,None,148.34063120000064,None,148.34063120000064,None,148.34063120000064,None,148.34063120000064,None,151.36714650000795,None,151.36714650000795,None,151.36714650000795,None,151.36714650000795,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KAKAS UTCA,stimuli/objects/002a.jpg,object,2,stimuli/scenes/074a.jpg,stimuli/scenes/074b.jpg,stimuli/scenes/074a.jpg,stimuli/scenes/070a.jpg,stimuli/scenes/070b.jpg,lure,target,dist1,dist2,0,0,0,0,0,9,9,24,,,,,,,,,,,153.35224910001853,None,154.35295870000846,None,154.35295870000846,None,154.35295870000846,None,154.35295870000846,None,157.35438180001802,None,157.35438180001802,None,157.35438180001802,None,157.35438180001802,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,HAJÓ UTCA,stimuli/objects/086a.jpg,object,1,stimuli/objects/041a.jpg,stimuli/scenes/014a.jpg,stimuli/scenes/014b.jpg,stimuli/objects/041a.jpg,stimuli/objects/041b.jpg,dist1,dist2,target,lure,0,0,0,0,0,10,10,71,,,,,,,,,,,159.36903490000986,None,160.3712314000004,None,160.3712314000004,None,160.3712314000004,None,160.3712314000004,None,163.38640820002183,None,163.38640820002183,None,163.38640820002183,None,163.38640820002183,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,OLDAL UTCA,stimuli/scenes/093a.jpg,scene,2,stimuli/objects/107a.jpg,stimuli/objects/107b.jpg,stimuli/objects/022a.jpg,stimuli/objects/107a.jpg,stimuli/objects/022b.jpg,lure,dist1,target,dist2,0,0,0,0,0,11,11,11,,,,,,,,,,,165.38565560002462,None,166.38645390002057,None,166.38645390002057,None,166.38645390002057,None,166.38645390002057,None,169.39011330000358,None,169.39011330000358,None,169.39011330000358,None,169.39011330000358,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TOLLTARTÓ UTCA,stimuli/objects/032a.jpg,object,2,stimuli/scenes/119a.jpg,stimuli/scenes/119a.jpg,stimuli/scenes/104b.jpg,stimuli/scenes/104a.jpg,stimuli/scenes/119b.jpg,target,dist2,dist1,lure,0,0,0,0,0,12,12,67,,,,,,,,,,,171.40263500000583,None,172.40302260001772,None,172.40302260001772,None,172.40302260001772,None,172.40302260001772,None,175.41632700001355,None,175.41632700001355,None,175.41632700001355,None,175.41632700001355,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,NARANCS UTCA,stimuli/objects/017a.jpg,object,1,stimuli/objects/075a.jpg,stimuli/objects/075a.jpg,stimuli/scenes/041b.jpg,stimuli/scenes/041a.jpg,stimuli/objects/075b.jpg,target,dist2,dist1,lure,0,0,0,0,0,13,13,76,,,,,,,,,,,177.41907020000508,None,178.41917580002337,None,178.41917580002337,None,178.41917580002337,None,178.41917580002337,None,181.43163200002164,None,181.43163200002164,None,181.43163200002164,None,181.43163200002164,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KÖNYVTÁR UTCA,stimuli/objects/113a.jpg,object,1,stimuli/objects/109a.jpg,stimuli/objects/109a.jpg,stimuli/objects/109b.jpg,stimuli/scenes/067a.jpg,stimuli/scenes/067b.jpg,target,lure,dist1,dist2,0,0,0,0,0,14,14,42,,,,,,,,,,,183.43567590002203,None,184.43582290000631,None,184.43582290000631,None,184.43582290000631,None,184.43582290000631,None,187.4446566000115,None,187.4446566000115,None,187.4446566000115,None,187.4446566000115,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KORONA UTCA,stimuli/scenes/108a.jpg,scene,1,stimuli/scenes/011a.jpg,stimuli/objects/076a.jpg,stimuli/scenes/011b.jpg,stimuli/objects/076b.jpg,stimuli/scenes/011a.jpg,dist1,lure,dist2,target,0,0,0,0,0,15,15,9,,,,,,,,,,,189.4517716000264,None,190.45228720002342,None,190.45228720002342,None,190.45228720002342,None,190.45228720002342,None,193.4553225999989,None,193.4553225999989,None,193.4553225999989,None,193.4553225999989,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,AKÁC UTCA,stimuli/scenes/081a.jpg,scene,2,stimuli/objects/055a.jpg,stimuli/objects/055b.jpg,stimuli/objects/107b.jpg,stimuli/objects/107a.jpg,stimuli/objects/055a.jpg,lure,dist2,dist1,target,0,0,0,0,0,16,16,74,,,,,,,,,,,195.46863180000219,None,196.4687191999983,None,196.4687191999983,None,196.4687191999983,None,196.4687191999983,None,199.47253470000578,None,199.47253470000578,None,199.47253470000578,None,199.47253470000578,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,RÁDIÓ UTCA,stimuli/scenes/068a.jpg,scene,1,stimuli/scenes/067a.jpg,stimuli/scenes/018b.jpg,stimuli/scenes/067a.jpg,stimuli/scenes/067b.jpg,stimuli/scenes/018a.jpg,dist2,target,lure,dist1,0,0,0,0,0,17,17,44,,,,,,,,,,,201.48518440002226,None,202.48570090002613,None,202.48570090002613,None,202.48570090002613,None,202.48570090002613,None,205.49071670000558,None,205.49071670000558,None,205.49071670000558,None,205.49071670000558,None,None,None,None,None,None,,,,,,,,,,student1,2022-10-21_12h59.46.468,Hippopolis_Updating,2021.1.4,60.083949289667174,
