CityName,StimuliFile,CityImage,StreetSign,LearningVideoFile,UpdatingVideoFile,Cue,Image,Category,CorrectResponse,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlockLearning.thisRepN,CityBlockLearning.thisTrialN,CityBlockLearning.thisN,CityBlockLearning.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,learning_cityname_text.started,learning_city_image.started,load_video_2.started,learning_movie.started,learning_end_vid_key.started,learning_end_vid_key.keys,text_countdown.started,cityname_text_start.started,Phase,fx_cross.started,plate_learning.started,learning_city_text.started,learning_street_text.started,learning_image.started,learning_skip_key.started,learning_skip_key.keys,short_break_key.keys,fx_cross.stopped,plate_learning.stopped,learning_city_text.stopped,learning_street_text.stopped,learning_image.stopped,learning_skip_key.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,PETÁRDA UTCA,stimuli/scenes/099a.jpg,scene,right,0,stimuli/scenes/099a.jpg,stimuli/scenes/099a.jpg,stimuli/objects/104b.jpg,stimuli/objects/104a.jpg,stimuli/scenes/099b.jpg,target,dist2,dist1,lure,0,0,0,0,0,9,9,58,,,,,,,,,,,,,Learning,120.65800439985469,121.65890249982476,121.65890249982476,121.65890249982476,121.65890249982476,121.65890249982476,None,None,121.65890249982476,124.65799469989724,124.65799469989724,124.65799469989724,124.65799469989724,124.65799469989724,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,MÁRVÁNY UTCA,stimuli/scenes/113a.jpg,scene,right,0,stimuli/scenes/113a.jpg,stimuli/scenes/113b.jpg,stimuli/scenes/067a.jpg,stimuli/scenes/113a.jpg,stimuli/scenes/067b.jpg,lure,dist1,target,dist2,0,0,0,0,0,10,10,37,,,,,,,,,,,,,Learning,124.65799469989724,125.66754629998468,125.66754629998468,125.66754629998468,125.66754629998468,125.66754629998468,None,None,125.66754629998468,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,OROSZLÁN UTCA,stimuli/objects/111a.jpg,object,left,0,stimuli/objects/111a.jpg,stimuli/objects/111b.jpg,stimuli/objects/009a.jpg,stimuli/objects/111a.jpg,stimuli/objects/009b.jpg,lure,dist1,target,dist2,0,0,0,0,0,11,11,61,,,,,,,,,,,,,Learning,128.67508689989336,129.6864078999497,129.6864078999497,129.6864078999497,129.6864078999497,129.6864078999497,None,None,129.6864078999497,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,ZÁSZLÓ UTCA,stimuli/scenes/028a.jpg,scene,right,0,stimuli/scenes/028a.jpg,stimuli/objects/100b.jpg,stimuli/scenes/028b.jpg,stimuli/objects/100a.jpg,stimuli/scenes/028a.jpg,dist2,lure,dist1,target,0,0,0,0,0,12,12,53,,,,,,,,,,,,,Learning,132.6913220998831,133.6995557998307,133.6995557998307,133.6995557998307,133.6995557998307,133.6995557998307,None,None,133.6995557998307,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,TÜKÖR UTCA,stimuli/objects/002a.jpg,object,left,1,stimuli/objects/017a.jpg,stimuli/objects/017b.jpg,stimuli/objects/017a.jpg,stimuli/scenes/020b.jpg,stimuli/scenes/020a.jpg,lure,target,dist2,dist1,0,0,0,0,0,13,13,14,,,,,,,,,,,,,Learning,136.7075951998122,137.71628649998456,137.71628649998456,137.71628649998456,137.71628649998456,137.71628649998456,None,None,137.71628649998456,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,HEGESZTŐ UTCA,stimuli/objects/093a.jpg,object,left,2,stimuli/scenes/033a.jpg,stimuli/scenes/030a.jpg,stimuli/scenes/033b.jpg,stimuli/scenes/033a.jpg,stimuli/scenes/030b.jpg,dist1,lure,target,dist2,0,0,0,0,0,14,14,16,,,,,,,,,,,,,Learning,140.72430229978636,141.73702399991453,141.73702399991453,141.73702399991453,141.73702399991453,141.73702399991453,None,None,141.73702399991453,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,ZEBRA UTCA,stimuli/objects/104a.jpg,object,left,0,stimuli/objects/104a.jpg,stimuli/scenes/113a.jpg,stimuli/objects/104a.jpg,stimuli/objects/104b.jpg,stimuli/scenes/113b.jpg,dist1,target,lure,dist2,0,0,0,0,0,15,15,8,,,,,,,,,,,,,Learning,144.74118429981172,145.74668079987168,145.74668079987168,145.74668079987168,145.74668079987168,145.74668079987168,None,None,145.74668079987168,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,KESELYŰ UTCA,stimuli/objects/018a.jpg,object,left,2,stimuli/scenes/030a.jpg,stimuli/scenes/030a.jpg,stimuli/scenes/030b.jpg,stimuli/scenes/033b.jpg,stimuli/scenes/033a.jpg,target,lure,dist2,dist1,0,0,0,0,0,16,16,68,,,,,,,,,,,,,Learning,148.75736979977228,149.76398939988576,149.76398939988576,149.76398939988576,149.76398939988576,149.76398939988576,None,None,149.76398939988576,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,MANDARIN UTCA,stimuli/objects/091a.jpg,object,left,0,stimuli/objects/091a.jpg,stimuli/objects/091a.jpg,stimuli/scenes/029a.jpg,stimuli/scenes/029b.jpg,stimuli/objects/091b.jpg,target,dist1,dist2,lure,0,0,0,0,0,17,17,28,,,,,,,,,,,,,Learning,152.7740477998741,153.78134599979967,153.78134599979967,153.78134599979967,153.78134599979967,153.78134599979967,None,None,153.78134599979967,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,SZIKLA UTCA,stimuli/objects/082a.jpg,object,left,1,stimuli/objects/039a.jpg,stimuli/objects/039b.jpg,stimuli/objects/039a.jpg,stimuli/objects/054a.jpg,stimuli/objects/054b.jpg,lure,target,dist1,dist2,0,0,0,0,0,18,18,25,,,,,,,,,,,,,Learning,156.7910455998499,157.79559379979037,157.79559379979037,157.79559379979037,157.79559379979037,157.79559379979037,None,None,157.79559379979037,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,TOLMÁCS UTCA,stimuli/scenes/068a.jpg,scene,right,0,stimuli/scenes/068a.jpg,stimuli/scenes/068a.jpg,stimuli/scenes/068b.jpg,stimuli/objects/048a.jpg,stimuli/objects/048b.jpg,target,lure,dist1,dist2,0,0,0,0,0,19,19,38,,,,,,,,,,,,,Learning,160.80727249989286,161.81195309991017,161.81195309991017,161.81195309991017,161.81195309991017,161.81195309991017,None,None,161.81195309991017,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,MUSTÁR UTCA,stimuli/scenes/041a.jpg,scene,right,1,stimuli/scenes/057a.jpg,stimuli/scenes/057a.jpg,stimuli/scenes/048b.jpg,stimuli/scenes/048a.jpg,stimuli/scenes/057b.jpg,target,dist2,dist1,lure,0,0,0,0,0,20,20,75,,,,,,,,,,,,,Learning,164.82417569984682,165.82826869981363,165.82826869981363,165.82826869981363,165.82826869981363,165.82826869981363,None,None,165.82826869981363,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,RÁDIÓ UTCA,stimuli/scenes/098a.jpg,scene,right,0,stimuli/scenes/098a.jpg,stimuli/objects/030a.jpg,stimuli/objects/030b.jpg,stimuli/scenes/098b.jpg,stimuli/scenes/098a.jpg,dist1,dist2,lure,target,0,0,0,0,0,21,21,43,,,,,,,,,,,,,Learning,168.84073469997384,169.8439553999342,169.8439553999342,169.8439553999342,169.8439553999342,169.8439553999342,None,None,169.8439553999342,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,KALAPÁCS UTCA,stimuli/objects/003a.jpg,object,left,0,stimuli/objects/003a.jpg,stimuli/objects/003b.jpg,stimuli/objects/003a.jpg,stimuli/objects/024b.jpg,stimuli/objects/024a.jpg,lure,target,dist2,dist1,0,0,0,0,0,22,22,57,,,,,,,,,,,,,Learning,172.85737979994155,173.86136879981495,173.86136879981495,173.86136879981495,173.86136879981495,173.86136879981495,None,None,173.86136879981495,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,ÁLLOMÁS UTCA,stimuli/scenes/077a.jpg,scene,right,0,stimuli/scenes/077a.jpg,stimuli/objects/036b.jpg,stimuli/scenes/077b.jpg,stimuli/scenes/077a.jpg,stimuli/objects/036a.jpg,dist2,lure,target,dist1,0,0,0,0,0,23,23,30,,,,,,,,,,,,,Learning,176.87358249980025,177.87688779993914,177.87688779993914,177.87688779993914,177.87688779993914,177.87688779993914,None,None,177.87688779993914,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,KOCKA UTCA,stimuli/scenes/009a.jpg,scene,right,0,stimuli/scenes/009a.jpg,stimuli/objects/035b.jpg,stimuli/objects/035a.jpg,stimuli/scenes/009a.jpg,stimuli/scenes/009b.jpg,dist2,dist1,target,lure,0,0,0,0,0,24,24,36,,,,,,,,,,,,,Learning,180.89051739987917,181.89490239997394,181.89490239997394,181.89490239997394,181.89490239997394,181.89490239997394,None,None,181.89490239997394,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,MOCSÁR UTCA,stimuli/scenes/022a.jpg,scene,right,0,stimuli/scenes/022a.jpg,stimuli/objects/007a.jpg,stimuli/objects/007b.jpg,stimuli/scenes/022a.jpg,stimuli/scenes/022b.jpg,dist1,dist2,target,lure,0,0,0,0,0,25,25,73,,,,,,,,,,,,,Learning,184.906802599784,185.91145569994114,185.91145569994114,185.91145569994114,185.91145569994114,185.91145569994114,None,None,185.91145569994114,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
Camponello,stimuli/subj_files/ST01_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,PAPRIKA UTCA,stimuli/scenes/056a.jpg,scene,right,0,stimuli/scenes/056a.jpg,stimuli/scenes/079a.jpg,stimuli/scenes/056a.jpg,stimuli/scenes/079b.jpg,stimuli/scenes/056b.jpg,dist1,target,dist2,lure,0,0,0,0,0,26,26,51,,,,,,,,,,,,,Learning,188.92370629985817,189.92658619978465,189.92658619978465,189.92658619978465,189.92658619978465,189.92658619978465,None,None,189.92658619978465,,,,,,,,,ST01_121322,2022-12-13_13h10.46.353,MemoryLand,2022.2.4,60.140174722414336,
