CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,test_resp,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,key_resp.keys,key_resp.rt,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PAPAGÁJ UTCA,stimuli/scenes/023a.jpg,scene,1,stimuli/scenes/113a.jpg,stimuli/objects/070b.jpg,stimuli/scenes/113b.jpg,stimuli/objects/070a.jpg,stimuli/scenes/113a.jpg,dist2,lure,dist1,target,0,0,0,0,0,9,9,53,,,,,,,67.79888647422194,invalid,68.8517911490053,68.8517911490053,68.8517911490053,68.8517911490053,68.8517911490053,68.8517911490053,68.8517911490053,68.8517911490053,68.8517911490053,68.8517911490053,68.8517911490053,68.8517911490053,j,2.3494416009634733,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,GYŰRŰ UTCA,stimuli/scenes/007a.jpg,scene,0,stimuli/scenes/007a.jpg,stimuli/scenes/076a.jpg,stimuli/scenes/007b.jpg,stimuli/scenes/007a.jpg,stimuli/scenes/076b.jpg,dist1,lure,target,dist2,0,0,0,0,0,10,10,76,,,,,,,71.21959694847465,invalid,72.2655027359724,72.2655027359724,72.2655027359724,72.2655027359724,72.2655027359724,72.2655027359724,72.2655027359724,72.2655027359724,72.2655027359724,72.2655027359724,72.2655027359724,72.2655027359724,j,2.7590479031205177,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,NARANCS UTCA,stimuli/scenes/103a.jpg,scene,2,stimuli/objects/097a.jpg,stimuli/objects/097b.jpg,stimuli/objects/046a.jpg,stimuli/objects/046b.jpg,stimuli/objects/097a.jpg,lure,dist1,dist2,target,0,0,0,0,0,11,11,13,,,,,,,75.05641998164356,invalid,76.11011678911746,76.11011678911746,76.11011678911746,76.11011678911746,76.11011678911746,76.11011678911746,76.11011678911746,76.11011678911746,76.11011678911746,76.11011678911746,76.11011678911746,76.11011678911746,k,2.354317558929324,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PAPRIKA UTCA,stimuli/scenes/118a.jpg,scene,0,stimuli/scenes/118a.jpg,stimuli/scenes/118a.jpg,stimuli/objects/068b.jpg,stimuli/scenes/118b.jpg,stimuli/objects/068a.jpg,target,dist2,lure,dist1,0,0,0,0,0,12,12,20,,,,,,,78.50264728814363,invalid,79.55973997525871,79.55973997525871,79.55973997525871,79.55973997525871,79.55973997525871,79.55973997525871,79.55973997525871,79.55973997525871,79.55973997525871,79.55973997525871,79.55973997525871,79.55973997525871,d,2.728849494829774,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KÖNYVTÁR UTCA,stimuli/objects/070a.jpg,object,0,stimuli/objects/070a.jpg,stimuli/objects/070a.jpg,stimuli/scenes/100b.jpg,stimuli/scenes/100a.jpg,stimuli/objects/070b.jpg,target,dist2,dist1,lure,0,0,0,0,0,13,13,79,,,,,,,82.32778674177825,invalid,83.37785752676427,83.37785752676427,83.37785752676427,83.37785752676427,83.37785752676427,83.37785752676427,83.37785752676427,83.37785752676427,83.37785752676427,83.37785752676427,83.37785752676427,83.37785752676427,d,2.335502604022622,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TRIATLON UTCA,stimuli/objects/119a.jpg,object,2,stimuli/scenes/018a.jpg,stimuli/objects/017a.jpg,stimuli/objects/017b.jpg,stimuli/scenes/018b.jpg,stimuli/scenes/018a.jpg,dist1,dist2,lure,target,0,0,0,0,0,14,14,75,,,,,,,85.73553540371358,invalid,86.79999334551394,86.79999334551394,86.79999334551394,86.79999334551394,86.79999334551394,86.79999334551394,86.79999334551394,86.79999334551394,86.79999334551394,86.79999334551394,86.79999334551394,86.79999334551394,d,1.4888564348220825,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TENISZ UTCA,stimuli/objects/089a.jpg,object,2,stimuli/scenes/120a.jpg,stimuli/objects/040a.jpg,stimuli/objects/040b.jpg,stimuli/scenes/120b.jpg,stimuli/scenes/120a.jpg,dist1,dist2,lure,target,0,0,0,0,0,15,15,0,,,,,,,88.32182817161083,invalid,89.39094965346158,89.39094965346158,89.39094965346158,89.39094965346158,89.39094965346158,89.39094965346158,89.39094965346158,89.39094965346158,89.39094965346158,89.39094965346158,89.39094965346158,89.39094965346158,k,1.68177992105484,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TOLMÁCS UTCA,stimuli/objects/049a.jpg,object,2,stimuli/scenes/097a.jpg,stimuli/scenes/097b.jpg,stimuli/scenes/077a.jpg,stimuli/scenes/097a.jpg,stimuli/scenes/077b.jpg,lure,dist1,target,dist2,0,0,0,0,0,16,16,23,,,,,,,91.09285562485456,invalid,92.13429131731391,92.13429131731391,92.13429131731391,92.13429131731391,92.13429131731391,92.13429131731391,92.13429131731391,92.13429131731391,92.13429131731391,92.13429131731391,92.13429131731391,92.13429131731391,j,1.8504330907016993,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,ÁLLOMÁS UTCA,stimuli/objects/041a.jpg,object,1,stimuli/objects/022a.jpg,stimuli/objects/022b.jpg,stimuli/objects/022a.jpg,stimuli/objects/062b.jpg,stimuli/objects/062a.jpg,lure,target,dist2,dist1,0,0,0,0,0,17,17,24,,,,,,,94.0064160618931,invalid,95.04658938013017,95.04658938013017,95.04658938013017,95.04658938013017,95.04658938013017,95.04658938013017,95.04658938013017,95.04658938013017,95.04658938013017,95.04658938013017,95.04658938013017,95.04658938013017,f,1.7704263851046562,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KORONG UTCA,stimuli/objects/104a.jpg,object,0,stimuli/objects/104a.jpg,stimuli/objects/076b.jpg,stimuli/objects/104a.jpg,stimuli/objects/104b.jpg,stimuli/objects/076a.jpg,dist2,target,lure,dist1,0,0,0,0,0,18,18,5,,,,,,,96.84018470160663,invalid,97.88909792155027,97.88909792155027,97.88909792155027,97.88909792155027,97.88909792155027,97.88909792155027,97.88909792155027,97.88909792155027,97.88909792155027,97.88909792155027,97.88909792155027,97.88909792155027,f,2.591447802260518,None,,,,,,,,,,,,,,pilot1,2022-10-14_15h29.51.521,Hippopolis_4AFCT,2022.2.2,60.00903258085784,
