CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,clock0.started,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,14.913228284567595,14.913228284567595,space,53.69824991375208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-21_15h16.27.082,Hippopolis_4AFCT,2022.2.2,59.938558811190426,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MUNKA UTCA,stimuli/scenes/039a.jpg,scene,2,stimuli/objects/067a.jpg,stimuli/scenes/097a.jpg,stimuli/objects/067b.jpg,stimuli/objects/067a.jpg,stimuli/scenes/097b.jpg,dist1,lure,target,dist2,0,0,0,0,0,0,0,4,,,,,68.70152561180294,68.70152561180294,71.66495250351727,72.7003919929266,72.7003919929266,72.7003919929266,72.7003919929266,72.7003919929266,72.7003919929266,72.7003919929266,72.7003919929266,72.7003919929266,72.7003919929266,72.7003919929266,72.7003919929266,j,3.1107451543211937,target,None,,,,,,,,,,,,,,,student1,2022-10-21_15h16.27.082,Hippopolis_4AFCT,2022.2.2,59.938558811190426,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TALICSKA UTCA,stimuli/objects/014a.jpg,object,1,stimuli/objects/108a.jpg,stimuli/objects/109a.jpg,stimuli/objects/109b.jpg,stimuli/objects/108a.jpg,stimuli/objects/108b.jpg,dist1,dist2,target,lure,0,0,0,0,0,1,1,13,,,,,,,75.83673719502985,76.8909428101033,76.8909428101033,76.8909428101033,76.8909428101033,76.8909428101033,76.8909428101033,76.8909428101033,76.8909428101033,76.8909428101033,76.8909428101033,76.8909428101033,76.8909428101033,j,3.2561670765280724,target,None,,,,,,,,,,,,,,,student1,2022-10-21_15h16.27.082,Hippopolis_4AFCT,2022.2.2,59.938558811190426,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MARTINI UTCA,stimuli/objects/060a.jpg,object,1,stimuli/objects/011a.jpg,stimuli/objects/075b.jpg,stimuli/objects/075a.jpg,stimuli/objects/011b.jpg,stimuli/objects/011a.jpg,dist2,dist1,lure,target,0,0,0,0,0,2,2,60,,,,,,,80.17812735587358,81.24324742890894,81.24324742890894,81.24324742890894,81.24324742890894,81.24324742890894,81.24324742890894,81.24324742890894,81.24324742890894,81.24324742890894,81.24324742890894,81.24324742890894,81.24324742890894,f,3.1435868069529533,dist1,None,,,,,,,,,,,,,,,student1,2022-10-21_15h16.27.082,Hippopolis_4AFCT,2022.2.2,59.938558811190426,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KORONG UTCA,stimuli/scenes/065a.jpg,scene,1,stimuli/scenes/004a.jpg,stimuli/scenes/004a.jpg,stimuli/scenes/011b.jpg,stimuli/scenes/011a.jpg,stimuli/scenes/004b.jpg,target,dist2,dist1,lure,0,0,0,0,0,3,3,53,,,,,,,84.41690251417458,85.46964173391461,85.46964173391461,85.46964173391461,85.46964173391461,85.46964173391461,85.46964173391461,85.46964173391461,85.46964173391461,85.46964173391461,85.46964173391461,85.46964173391461,85.46964173391461,k,2.8701335042715073,lure,None,,,,,,,,,,,,,,,student1,2022-10-21_15h16.27.082,Hippopolis_4AFCT,2022.2.2,59.938558811190426,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,BOLYGÓ UTCA,stimuli/scenes/118a.jpg,scene,1,stimuli/scenes/087a.jpg,stimuli/objects/011a.jpg,stimuli/scenes/087b.jpg,stimuli/objects/011b.jpg,stimuli/scenes/087a.jpg,dist1,lure,dist2,target,0,0,0,0,0,4,4,31,,,,,,,88.36684883385897,89.41995970718563,89.41995970718563,89.41995970718563,89.41995970718563,89.41995970718563,89.41995970718563,89.41995970718563,89.41995970718563,89.41995970718563,89.41995970718563,89.41995970718563,89.41995970718563,d,3.2389363907277584,dist1,None,,,,,,,,,,,,,,,student1,2022-10-21_15h16.27.082,Hippopolis_4AFCT,2022.2.2,59.938558811190426,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PÉKSÉG UTCA,stimuli/scenes/073a.jpg,scene,2,stimuli/objects/059a.jpg,stimuli/objects/059a.jpg,stimuli/objects/046b.jpg,stimuli/objects/059b.jpg,stimuli/objects/046a.jpg,target,dist2,lure,dist1,0,0,0,0,0,5,5,61,,,,,,,92.68339020572603,93.75082852132618,93.75082852132618,93.75082852132618,93.75082852132618,93.75082852132618,93.75082852132618,93.75082852132618,93.75082852132618,93.75082852132618,93.75082852132618,93.75082852132618,93.75082852132618,d,2.092147283256054,target,None,,,,,,,,,,,,,,,student1,2022-10-21_15h16.27.082,Hippopolis_4AFCT,2022.2.2,59.938558811190426,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KOKTÉL UTCA,stimuli/scenes/008a.jpg,scene,2,stimuli/objects/012a.jpg,stimuli/objects/036b.jpg,stimuli/objects/012b.jpg,stimuli/objects/036a.jpg,stimuli/objects/012a.jpg,dist2,lure,dist1,target,0,0,0,0,0,6,6,46,,,,,,,95.88300343975425,96.95683884434402,96.95683884434402,96.95683884434402,96.95683884434402,96.95683884434402,96.95683884434402,96.95683884434402,96.95683884434402,96.95683884434402,96.95683884434402,96.95683884434402,96.95683884434402,f,2.7417360693216324,lure,None,,,,,,,,,,,,,,,student1,2022-10-21_15h16.27.082,Hippopolis_4AFCT,2022.2.2,59.938558811190426,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,CUKOR UTCA,stimuli/objects/111a.jpg,object,0,stimuli/objects/111a.jpg,stimuli/objects/089b.jpg,stimuli/objects/111b.jpg,stimuli/objects/111a.jpg,stimuli/objects/089a.jpg,dist2,lure,target,dist1,0,0,0,0,0,7,7,30,,,,,,,99.73624480888247,100.80459312908351,100.80459312908351,100.80459312908351,100.80459312908351,100.80459312908351,100.80459312908351,100.80459312908351,100.80459312908351,100.80459312908351,100.80459312908351,100.80459312908351,100.80459312908351,j,3.630072647705674,target,None,104.2414050269872,,,,,,,,,,,,,,student1,2022-10-21_15h16.27.082,Hippopolis_4AFCT,2022.2.2,59.938558811190426,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KÖNYVTÁR UTCA,stimuli/objects/113a.jpg,object,1,stimuli/objects/109a.jpg,stimuli/objects/109a.jpg,stimuli/objects/109b.jpg,stimuli/scenes/067a.jpg,stimuli/scenes/067b.jpg,target,lure,dist1,dist2,0,0,0,0,0,8,8,42,,,,,,,104.46643899008632,105.52542601712048,105.52542601712048,105.52542601712048,105.52542601712048,105.52542601712048,105.52542601712048,105.52542601712048,105.52542601712048,105.52542601712048,105.52542601712048,105.52542601712048,105.52542601712048,d,2.92499440908432,target,None,,,,,,,,,,,,,,,student1,2022-10-21_15h16.27.082,Hippopolis_4AFCT,2022.2.2,59.938558811190426,
