CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learning_instructions_text.started,learning_instructions_text.stopped,intro_key.keys,intro_key.rt,intro_key.started,intro_key.stopped,cityname_text.started,cityname_text.stopped,city_image.started,city_image.stopped,fx_cross.started,fx_cross.stopped,plate.started,plate.stopped,city_text.started,city_text.stopped,street_text.started,street_text.stopped,learning_image.started,learning_image.stopped,short_break_text.started,short_break_text.stopped,short_break_key.keys,short_break_key.started,short_break_key.stopped,short_break_key.rt,test_text.started,test_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,plate_test.started,plate_test.stopped,city_text_test.started,city_text_test.stopped,street_text_test.started,street_text_test.stopped,test_question.started,test_question.stopped,test_key_resp.keys,test_key_resp.started,test_key_resp.stopped,button_image.started,button_image.stopped,plate_verbal.started,plate_verbal.stopped,street_text_verbal.started,street_text_verbal.stopped,city_text_verbal.started,city_text_verbal.stopped,question_verbal.started,question_verbal.stopped,verbal_test_key_resp.keys,verbal_test_key_resp.started,verbal_test_key_resp.stopped,test_key_resp.rt,verbal_test_key_resp.rt,n_remembered,break_text.started,break_text.stopped,break_key_resp.keys,break_key_resp.rt,break_key_resp.started,break_key_resp.stopped,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/ST01_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,BAGOLY UTCA,stimuli/scenes/076a.jpg,scene,0,stimuli/scenes/076a.jpg,stimuli/scenes/014a.jpg,stimuli/scenes/014b.jpg,stimuli/scenes/076a.jpg,stimuli/scenes/076b.jpg,dist1,dist2,target,lure,1,1,3,1,,,,,0,45,45,0,,,,,,,,,,,2473.4122493999894,None,,,,,,,,,,,,,,,,,,,,,2472.5419930999924,None,2472.5419930999924,None,2472.5419930999924,None,2472.5419930999924,None,right,2472.5419930999924,None,2472.5419930999924,None,None,None,None,None,None,None,None,None,None,None,None,0.8341359999903943,,,,,,,,,,,ST01_112522,2022-11-25_12h23.23.259,Hippopolis_Learning,2021.1.4,60.18538301655544,
Hippopolis,stimuli/subj_files/ST01_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,SZAPPAN UTCA,stimuli/scenes/112a.jpg,scene,0,stimuli/scenes/112a.jpg,stimuli/scenes/112a.jpg,stimuli/scenes/057a.jpg,stimuli/scenes/057b.jpg,stimuli/scenes/112b.jpg,target,dist1,dist2,lure,1,1,3,1,,,,,0,46,46,71,,,,,,,,,,,2475.1415729,None,,,,,,,,,,,,,,,,,,,,,2474.4264154999983,None,2474.4264154999983,None,2474.4264154999983,None,2474.4264154999983,None,right,2474.4264154999983,None,2474.4264154999983,None,None,None,None,None,None,None,None,None,None,None,None,0.6816807999857701,,,,,,,,,,,ST01_112522,2022-11-25_12h23.23.259,Hippopolis_Learning,2021.1.4,60.18538301655544,
Hippopolis,stimuli/subj_files/ST01_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,SZIKLA UTCA,stimuli/objects/010a.jpg,object,2,stimuli/scenes/107a.jpg,stimuli/scenes/107a.jpg,stimuli/scenes/107b.jpg,stimuli/objects/112a.jpg,stimuli/objects/112b.jpg,target,lure,dist1,dist2,1,1,3,1,,,,,0,47,47,74,,,,,,,,,,,2477.0097027999873,None,,,,,,,,,,,,,,,,,,,,,2476.1434998999757,None,2476.1434998999757,None,2476.1434998999757,None,2476.1434998999757,None,right,2476.1434998999757,None,2476.1434998999757,None,None,None,None,None,None,None,None,None,None,None,None,0.8420279000129085,,,,,,,,,,,ST01_112522,2022-11-25_12h23.23.259,Hippopolis_Learning,2021.1.4,60.18538301655544,
Hippopolis,stimuli/subj_files/ST01_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,KÖTÉNY UTCA,stimuli/objects/082a.jpg,object,1,stimuli/objects/005a.jpg,stimuli/objects/005b.jpg,stimuli/objects/005a.jpg,stimuli/objects/008b.jpg,stimuli/objects/008a.jpg,lure,target,dist2,dist1,1,1,3,1,,,,,0,48,48,19,,,,,,,,,,,2478.993702799984,None,,,,,,,,,,,,,,,,,,,,,2478.008273299987,None,2478.008273299987,None,2478.008273299987,None,2478.008273299987,None,right,2478.008273299987,None,2478.008273299987,None,None,None,None,None,None,None,None,None,None,None,None,0.9532516000035685,,,,,,,,,,,ST01_112522,2022-11-25_12h23.23.259,Hippopolis_Learning,2021.1.4,60.18538301655544,
Hippopolis,stimuli/subj_files/ST01_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,TOLLTARTÓ UTCA,stimuli/scenes/022a.jpg,scene,1,stimuli/scenes/007a.jpg,stimuli/scenes/007b.jpg,stimuli/scenes/071a.jpg,stimuli/scenes/071b.jpg,stimuli/scenes/007a.jpg,lure,dist1,dist2,target,1,1,3,1,,,,,0,49,49,43,,,,,,,,,,,2481.445534700004,None,,,,,,,,,,,,,,,,,,,,,2480.0081882999802,None,2480.0081882999802,None,2480.0081882999802,None,2480.0081882999802,None,right,2480.0081882999802,None,2480.0081882999802,None,None,None,None,None,None,None,None,None,None,None,None,1.4021057000209112,,,,,,,,,,,ST01_112522,2022-11-25_12h23.23.259,Hippopolis_Learning,2021.1.4,60.18538301655544,
Hippopolis,stimuli/subj_files/ST01_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,ECSET UTCA,stimuli/objects/101a.jpg,object,2,stimuli/scenes/059a.jpg,stimuli/scenes/059b.jpg,stimuli/scenes/059a.jpg,stimuli/objects/116a.jpg,stimuli/objects/116b.jpg,lure,target,dist1,dist2,1,1,3,1,,,,,0,50,50,40,,,,,,,,,,,2483.177646600001,None,,,,,,,,,,,,,,,,,,,,,2482.4587710999767,None,2482.4587710999767,None,2482.4587710999767,None,2482.4587710999767,None,right,2482.4587710999767,None,2482.4587710999767,None,None,None,None,None,None,None,None,None,None,None,None,0.6973972000123467,,,,,,,,,,,ST01_112522,2022-11-25_12h23.23.259,Hippopolis_Learning,2021.1.4,60.18538301655544,
Hippopolis,stimuli/subj_files/ST01_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,KECSKE UTCA,stimuli/scenes/114a.jpg,scene,2,stimuli/objects/088a.jpg,stimuli/scenes/029b.jpg,stimuli/scenes/029a.jpg,stimuli/objects/088b.jpg,stimuli/objects/088a.jpg,dist2,dist1,lure,target,1,1,3,1,,,,,0,51,51,33,,,,,,,,,,,2486.143251200003,None,,,,,,,,,,,,,,,,,,,,,2484.192006700003,None,2484.192006700003,None,2484.192006700003,None,2484.192006700003,None,right,2484.192006700003,None,2484.192006700003,None,None,None,None,None,None,None,None,None,None,None,None,1.9258011000056285,,,,,,,,,,,ST01_112522,2022-11-25_12h23.23.259,Hippopolis_Learning,2021.1.4,60.18538301655544,
Hippopolis,stimuli/subj_files/ST01_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,LEVÉL UTCA,stimuli/objects/080a.jpg,object,0,stimuli/objects/080a.jpg,stimuli/scenes/091a.jpg,stimuli/scenes/091b.jpg,stimuli/objects/080b.jpg,stimuli/objects/080a.jpg,dist1,dist2,lure,target,1,1,3,1,,,,,0,52,52,32,,,,,,,,,,,2489.311527599988,None,,,,,,,,,,,,,,,,,,,,,2487.158192999981,None,2487.158192999981,None,2487.158192999981,None,2487.158192999981,None,right,2487.158192999981,None,2487.158192999981,None,None,None,None,None,None,None,None,None,None,None,None,2.127048200025456,,,,,,,,,,,ST01_112522,2022-11-25_12h23.23.259,Hippopolis_Learning,2021.1.4,60.18538301655544,
Hippopolis,stimuli/subj_files/ST01_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,MAJOM UTCA,stimuli/scenes/094a.jpg,scene,1,stimuli/scenes/098a.jpg,stimuli/scenes/098a.jpg,stimuli/objects/102b.jpg,stimuli/scenes/098b.jpg,stimuli/objects/102a.jpg,target,dist2,lure,dist1,1,1,3,1,,,,,0,53,53,46,,,,,,,,,,,2490.9920554999844,None,,,,,,,,,,,,,,,,,,,,,2490.3248757999972,None,2490.3248757999972,None,2490.3248757999972,None,2490.3248757999972,None,right,2490.3248757999972,None,2490.3248757999972,None,None,None,None,None,None,None,None,None,None,None,None,0.6400605000089854,,,,,,,,,,,ST01_112522,2022-11-25_12h23.23.259,Hippopolis_Learning,2021.1.4,60.18538301655544,
Hippopolis,stimuli/subj_files/ST01_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,ZONGORA UTCA,stimuli/scenes/108a.jpg,scene,0,stimuli/scenes/108a.jpg,stimuli/scenes/108a.jpg,stimuli/scenes/108b.jpg,stimuli/scenes/070a.jpg,stimuli/scenes/070b.jpg,target,lure,dist1,dist2,1,1,3,1,,,,,0,54,54,1,,,,,,,,,,,2493.557713099988,None,,,,,,,,,,,,,,,,,,,,,2491.991420699982,None,2491.991420699982,None,2491.991420699982,None,2491.991420699982,None,right,2491.991420699982,None,2491.991420699982,None,None,None,None,None,None,None,None,None,None,None,None,1.5383578000182752,,,,,,,,,,,ST01_112522,2022-11-25_12h23.23.259,Hippopolis_Learning,2021.1.4,60.18538301655544,
