CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,learning_instructions_text.stopped,intro_key.keys,intro_key.rt,intro_key.started,intro_key.stopped,cityname_text.started,cityname_text.stopped,city_image.started,city_image.stopped,test_resp,fx_cross.started,fx_cross.stopped,plate_updating.started,plate_updating.stopped,city_text_updating.started,city_text_updating.stopped,street_text_updating.started,street_text_updating.stopped,test_image1.started,test_image1.stopped,test_image2.started,test_image2.stopped,test_image3.started,test_image3.stopped,test_image4.started,test_image4.stopped,button_d.started,button_d.stopped,button_f.started,button_f.stopped,button_j.started,button_j.stopped,button_k.started,button_k.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,short_break_text.started,short_break_text.stopped,short_break_key.keys,short_break_key.started,short_break_key.stopped,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_text.stopped,break_key_resp.keys,break_key_resp.rt,break_key_resp.started,break_key_resp.stopped,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,HARCSA UTCA,stimuli/objects/020a.jpg,object,0,stimuli/objects/020a.jpg,stimuli/objects/020a.jpg,stimuli/scenes/056a.jpg,stimuli/objects/020b.jpg,stimuli/scenes/056b.jpg,target,dist1,lure,dist2,0,0,0,1,0,31,31,19,,,,,,,,,,,invalid,179.4887956767343,None,180.53554960805923,None,180.53554960805923,None,180.53554960805923,None,180.53554960805923,None,180.53554960805923,None,180.53554960805923,None,180.53554960805923,None,180.53554960805923,None,180.53554960805923,None,180.53554960805923,None,180.53554960805923,None,d,1.802466344088316,180.53554960805923,None,None,None,None,None,None,,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,TERASZ UTCA,stimuli/objects/050a.jpg,object,0,stimuli/objects/050a.jpg,stimuli/scenes/049a.jpg,stimuli/objects/050a.jpg,stimuli/objects/050b.jpg,stimuli/scenes/049b.jpg,dist1,target,lure,dist2,0,0,0,1,0,32,32,62,,,,,,,,,,,dist1,182.373689962551,None,183.42168418783695,None,183.42168418783695,None,183.42168418783695,None,183.42168418783695,None,183.42168418783695,None,183.42168418783695,None,183.42168418783695,None,183.42168418783695,None,183.42168418783695,None,183.42168418783695,None,183.42168418783695,None,f,1.651936358306557,183.42168418783695,None,None,None,None,None,None,,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,RÁDIÓ UTCA,stimuli/scenes/115a.jpg,scene,0,stimuli/scenes/115a.jpg,stimuli/objects/095b.jpg,stimuli/scenes/115a.jpg,stimuli/scenes/115b.jpg,stimuli/objects/095a.jpg,dist2,target,lure,dist1,0,0,0,1,0,33,33,72,,,,,,,,,,,target,185.10598793439567,None,186.15573779167607,None,186.15573779167607,None,186.15573779167607,None,186.15573779167607,None,186.15573779167607,None,186.15573779167607,None,186.15573779167607,None,186.15573779167607,None,186.15573779167607,None,186.15573779167607,None,186.15573779167607,None,f,2.789842275902629,186.15573779167607,None,None,None,None,None,None,,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,BÖGRE UTCA,stimuli/scenes/081a.jpg,scene,1,stimuli/scenes/083a.jpg,stimuli/scenes/040b.jpg,stimuli/scenes/083a.jpg,stimuli/scenes/040a.jpg,stimuli/scenes/083b.jpg,dist2,target,dist1,lure,0,0,0,1,0,34,34,24,,,,,,,,,,,target,188.97556949965656,None,190.01136480271816,None,190.01136480271816,None,190.01136480271816,None,190.01136480271816,None,190.01136480271816,None,190.01136480271816,None,190.01136480271816,None,190.01136480271816,None,190.01136480271816,None,190.01136480271816,None,190.01136480271816,None,f,2.150196587201208,190.01136480271816,None,None,None,None,None,None,,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,SZÁMOLÓGÉP UTCA,stimuli/objects/051a.jpg,object,0,stimuli/objects/051a.jpg,stimuli/objects/051b.jpg,stimuli/objects/051a.jpg,stimuli/scenes/039b.jpg,stimuli/scenes/039a.jpg,lure,target,dist2,dist1,0,0,0,1,0,35,35,5,,,,,,,,,,,target,192.19883335242048,None,193.25220332620665,None,193.25220332620665,None,193.25220332620665,None,193.25220332620665,None,193.25220332620665,None,193.25220332620665,None,193.25220332620665,None,193.25220332620665,None,193.25220332620665,None,193.25220332620665,None,193.25220332620665,None,d,3.6131236692890525,193.25220332620665,None,None,None,None,None,None,,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,MOSODA UTCA,stimuli/objects/002a.jpg,object,0,stimuli/objects/002a.jpg,stimuli/objects/002b.jpg,stimuli/objects/092a.jpg,stimuli/objects/002a.jpg,stimuli/objects/092b.jpg,lure,dist1,target,dist2,0,0,0,1,0,36,36,2,,,,,,,,,,,lure,196.9035154939629,None,197.9569171909243,None,197.9569171909243,None,197.9569171909243,None,197.9569171909243,None,197.9569171909243,None,197.9569171909243,None,197.9569171909243,None,197.9569171909243,None,197.9569171909243,None,197.9569171909243,None,197.9569171909243,None,j,1.9324574558995664,197.9569171909243,None,None,None,None,None,None,,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,KALAPÁCS UTCA,stimuli/objects/069a.jpg,object,1,stimuli/objects/096a.jpg,stimuli/objects/031a.jpg,stimuli/objects/031b.jpg,stimuli/objects/096b.jpg,stimuli/objects/096a.jpg,dist1,dist2,lure,target,0,0,0,1,0,37,37,36,,,,,,,,,,,lure,199.94163526035845,None,200.99329998530447,None,200.99329998530447,None,200.99329998530447,None,200.99329998530447,None,200.99329998530447,None,200.99329998530447,None,200.99329998530447,None,200.99329998530447,None,200.99329998530447,None,200.99329998530447,None,200.99329998530447,None,j,4.224159551318735,200.99329998530447,None,None,None,None,None,None,,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,BOLYGÓ UTCA,stimuli/objects/113a.jpg,object,0,stimuli/objects/113a.jpg,stimuli/objects/113a.jpg,stimuli/scenes/112a.jpg,stimuli/objects/113b.jpg,stimuli/scenes/112b.jpg,target,dist1,lure,dist2,0,0,0,1,0,38,38,64,,,,,,,,,,,lure,205.25196011923254,None,206.3054803092964,None,206.3054803092964,None,206.3054803092964,None,206.3054803092964,None,206.3054803092964,None,206.3054803092964,None,206.3054803092964,None,206.3054803092964,None,206.3054803092964,None,206.3054803092964,None,206.3054803092964,None,d,2.9119596336968243,206.3054803092964,None,None,None,None,None,None,,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,SZOMSZÉD UTCA,stimuli/scenes/038a.jpg,scene,0,stimuli/scenes/038a.jpg,stimuli/scenes/038b.jpg,stimuli/scenes/016b.jpg,stimuli/scenes/038a.jpg,stimuli/scenes/016a.jpg,lure,dist2,target,dist1,0,0,0,1,0,39,39,1,,,,,,,,,,,lure,209.2515698056668,None,210.2902329005301,None,210.2902329005301,None,210.2902329005301,None,210.2902329005301,None,210.2902329005301,None,210.2902329005301,None,210.2902329005301,None,210.2902329005301,None,210.2902329005301,None,210.2902329005301,None,210.2902329005301,None,j,1.3429513154551387,210.2902329005301,None,211.67435153573751,None,space,211.67435153573751,None,12.054956418462098,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,AKÁC UTCA,stimuli/scenes/015a.jpg,scene,0,stimuli/scenes/015a.jpg,stimuli/scenes/015b.jpg,stimuli/objects/075b.jpg,stimuli/scenes/015a.jpg,stimuli/objects/075a.jpg,lure,dist2,target,dist1,0,0,0,1,0,40,40,75,,,,,,,,,,,target,223.77013752097264,None,224.83859193651006,None,224.83859193651006,None,224.83859193651006,None,224.83859193651006,None,224.83859193651006,None,224.83859193651006,None,224.83859193651006,None,224.83859193651006,None,224.83859193651006,None,224.83859193651006,None,224.83859193651006,None,j,2.618457121308893,224.83859193651006,None,None,None,None,None,None,,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,FÉNYMÁSOLÓ UTCA,stimuli/objects/075a.jpg,object,0,stimuli/objects/075a.jpg,stimuli/objects/075b.jpg,stimuli/objects/029a.jpg,stimuli/objects/075a.jpg,stimuli/objects/029b.jpg,lure,dist1,target,dist2,0,0,0,1,0,41,41,39,,,,,,,,,,,target,227.48412404675037,None,228.53836390655488,None,228.53836390655488,None,228.53836390655488,None,228.53836390655488,None,228.53836390655488,None,228.53836390655488,None,228.53836390655488,None,228.53836390655488,None,228.53836390655488,None,228.53836390655488,None,228.53836390655488,None,j,4.614665640052408,228.53836390655488,None,None,None,None,None,None,,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,HAJÓ UTCA,stimuli/objects/078a.jpg,object,1,stimuli/objects/083a.jpg,stimuli/scenes/066b.jpg,stimuli/objects/083a.jpg,stimuli/objects/083b.jpg,stimuli/scenes/066a.jpg,dist2,target,lure,dist1,0,0,0,1,0,42,42,78,,,,,,,,,,,lure,233.18028523027897,None,234.23231010092422,None,234.23231010092422,None,234.23231010092422,None,234.23231010092422,None,234.23231010092422,None,234.23231010092422,None,234.23231010092422,None,234.23231010092422,None,234.23231010092422,None,234.23231010092422,None,234.23231010092422,None,f,4.8086678152903914,234.23231010092422,None,None,None,None,None,None,,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,TELEP UTCA,stimuli/scenes/033a.jpg,scene,0,stimuli/scenes/033a.jpg,stimuli/scenes/033a.jpg,stimuli/scenes/011a.jpg,stimuli/scenes/011b.jpg,stimuli/scenes/033b.jpg,target,dist1,dist2,lure,0,0,0,1,0,43,43,17,,,,,,,,,,,dist1,239.08986131008714,None,240.13227452198043,None,240.13227452198043,None,240.13227452198043,None,240.13227452198043,None,240.13227452198043,None,240.13227452198043,None,240.13227452198043,None,240.13227452198043,None,240.13227452198043,None,240.13227452198043,None,240.13227452198043,None,d,2.34864833438769,240.13227452198043,None,None,None,None,None,None,,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,MÁRVÁNY UTCA,stimuli/scenes/036a.jpg,scene,2,stimuli/objects/029a.jpg,stimuli/objects/029a.jpg,stimuli/objects/108b.jpg,stimuli/objects/108a.jpg,stimuli/objects/029b.jpg,target,dist2,dist1,lure,0,0,0,1,0,44,44,71,,,,,,,,,,,target,242.5075182733126,None,243.57438002387062,None,243.57438002387062,None,243.57438002387062,None,243.57438002387062,None,243.57438002387062,None,243.57438002387062,None,243.57438002387062,None,243.57438002387062,None,243.57438002387062,None,243.57438002387062,None,243.57438002387062,None,d,2.090478346683085,243.57438002387062,None,None,None,None,None,None,,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,PULYKA UTCA,stimuli/scenes/009a.jpg,scene,2,stimuli/objects/081a.jpg,stimuli/objects/081a.jpg,stimuli/objects/043b.jpg,stimuli/objects/043a.jpg,stimuli/objects/081b.jpg,target,dist2,dist1,lure,0,0,0,1,0,45,45,50,,,,,,,,,,,target,245.71005571400747,None,246.7529130433686,None,246.7529130433686,None,246.7529130433686,None,246.7529130433686,None,246.7529130433686,None,246.7529130433686,None,246.7529130433686,None,246.7529130433686,None,246.7529130433686,None,246.7529130433686,None,246.7529130433686,None,k,3.840063619427383,246.7529130433686,None,None,None,None,None,None,,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,SIRÁLY UTCA,stimuli/scenes/013a.jpg,scene,0,stimuli/scenes/013a.jpg,stimuli/scenes/013a.jpg,stimuli/scenes/102a.jpg,stimuli/scenes/102b.jpg,stimuli/scenes/013b.jpg,target,dist1,dist2,lure,0,0,0,1,0,46,46,40,,,,,,,,,,,lure,250.62179111177102,None,251.6715073804371,None,251.6715073804371,None,251.6715073804371,None,251.6715073804371,None,251.6715073804371,None,251.6715073804371,None,251.6715073804371,None,251.6715073804371,None,251.6715073804371,None,251.6715073804371,None,251.6715073804371,None,d,1.657270743045956,251.6715073804371,None,None,None,None,None,None,,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
Camponello,stimuli/subj_files/pilot1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,ÜVEG UTCA,stimuli/objects/103a.jpg,object,0,stimuli/objects/103a.jpg,stimuli/objects/103b.jpg,stimuli/objects/103a.jpg,stimuli/scenes/025a.jpg,stimuli/scenes/025b.jpg,lure,target,dist1,dist2,0,0,0,1,0,47,47,79,,,,,,,,,,,lure,253.35702529689297,None,254.40093880472705,None,254.40093880472705,None,254.40093880472705,None,254.40093880472705,None,254.40093880472705,None,254.40093880472705,None,254.40093880472705,None,254.40093880472705,None,254.40093880472705,None,254.40093880472705,None,254.40093880472705,None,f,1.1837535756640136,254.40093880472705,None,None,None,None,None,None,,,,,,,,,,,,,,pilot1,2022_Jun_16_1024,Hippopolis_4AFCT,2021.1.2,59.999813475294616,
