CityName,StimuliFile,CityImage,StreetSign,VideoFile,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,clock0.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,clock0.stopped,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/ST04_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,SAJTÓ UTCA,stimuli/scenes/103a.jpg,scene,0,stimuli/scenes/103a.jpg,stimuli/scenes/105b.jpg,stimuli/scenes/103a.jpg,stimuli/scenes/103b.jpg,stimuli/scenes/105a.jpg,dist2,target,lure,dist1,0,1,1,1,0,35,35,75,,,,,,,474.3632707055658,475.4099997263402,475.4099997263402,475.4099997263402,475.4099997263402,475.4099997263402,475.4099997263402,475.4099997263402,475.4099997263402,475.4099997263402,475.4099997263402,475.4099997263402,475.4099997263402,,f,1.6779072899371386,target,None,,,,,,,,,,,,,,,,ST04_112822,2022-11-29_16h21.45.848,Hippopolis_4AFCT,2022.2.2,59.99716392154619,
Camponello,stimuli/subj_files/ST04_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,VITORLA UTCA,stimuli/scenes/068a.jpg,scene,2,stimuli/objects/020a.jpg,stimuli/objects/020b.jpg,stimuli/scenes/007a.jpg,stimuli/objects/020a.jpg,stimuli/scenes/007b.jpg,lure,dist1,target,dist2,0,1,1,1,0,36,36,11,,,,,,,477.11302905343473,478.1664817221463,478.1664817221463,478.1664817221463,478.1664817221463,478.1664817221463,478.1664817221463,478.1664817221463,478.1664817221463,478.1664817221463,478.1664817221463,478.1664817221463,478.1664817221463,,f,3.1613328270614147,dist1,None,,,,,,,,,,,,,,,,ST04_112822,2022-11-29_16h21.45.848,Hippopolis_4AFCT,2022.2.2,59.99716392154619,
Camponello,stimuli/subj_files/ST04_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,TOBOZ UTCA,stimuli/objects/032a.jpg,object,0,stimuli/objects/032a.jpg,stimuli/objects/032b.jpg,stimuli/objects/113a.jpg,stimuli/objects/113b.jpg,stimuli/objects/032a.jpg,lure,dist1,dist2,target,0,1,1,1,0,37,37,70,,,,,,,481.34749677218497,482.412317968905,482.412317968905,482.412317968905,482.412317968905,482.412317968905,482.412317968905,482.412317968905,482.412317968905,482.412317968905,482.412317968905,482.412317968905,482.412317968905,,k,2.563343420624733,target,None,,,,,,,,,,,,,,,,ST04_112822,2022-11-29_16h21.45.848,Hippopolis_4AFCT,2022.2.2,59.99716392154619,
Camponello,stimuli/subj_files/ST04_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,SZOMSZÉD UTCA,stimuli/objects/113a.jpg,object,0,stimuli/objects/113a.jpg,stimuli/objects/113a.jpg,stimuli/scenes/049b.jpg,stimuli/scenes/049a.jpg,stimuli/objects/113b.jpg,target,dist2,dist1,lure,0,1,1,1,0,38,38,0,,,,,,,485.0070632677525,486.0432497933507,486.0432497933507,486.0432497933507,486.0432497933507,486.0432497933507,486.0432497933507,486.0432497933507,486.0432497933507,486.0432497933507,486.0432497933507,486.0432497933507,486.0432497933507,,d,1.7483545914292336,target,None,,,,,,,,,,,,,,,,ST04_112822,2022-11-29_16h21.45.848,Hippopolis_4AFCT,2022.2.2,59.99716392154619,
Camponello,stimuli/subj_files/ST04_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,SÜTŐ UTCA,stimuli/objects/070a.jpg,object,1,stimuli/objects/011a.jpg,stimuli/objects/011a.jpg,stimuli/scenes/001a.jpg,stimuli/scenes/001b.jpg,stimuli/objects/011b.jpg,target,dist1,dist2,lure,0,1,1,1,0,39,39,39,,,,,,,487.8129918575287,488.87613921798766,488.87613921798766,488.87613921798766,488.87613921798766,488.87613921798766,488.87613921798766,488.87613921798766,488.87613921798766,488.87613921798766,488.87613921798766,488.87613921798766,488.87613921798766,,f,1.7000139355659485,dist1,None,,,,,,,,,,,,,,,,ST04_112822,2022-11-29_16h21.45.848,Hippopolis_4AFCT,2022.2.2,59.99716392154619,
Camponello,stimuli/subj_files/ST04_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,AKÁC UTCA,stimuli/scenes/008a.jpg,scene,2,stimuli/objects/046a.jpg,stimuli/objects/046a.jpg,stimuli/objects/009a.jpg,stimuli/objects/046b.jpg,stimuli/objects/009b.jpg,target,dist1,lure,dist2,0,1,1,1,0,40,40,44,,,,,,,490.59612616710365,491.64695674180984,491.64695674180984,491.64695674180984,491.64695674180984,491.64695674180984,491.64695674180984,491.64695674180984,491.64695674180984,491.64695674180984,491.64695674180984,491.64695674180984,491.64695674180984,,f,3.392820794135332,dist1,None,,,,,,,,,,,,,,,,ST04_112822,2022-11-29_16h21.45.848,Hippopolis_4AFCT,2022.2.2,59.99716392154619,
Camponello,stimuli/subj_files/ST04_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,PÁFRÁNY UTCA,stimuli/scenes/083a.jpg,scene,0,stimuli/scenes/083a.jpg,stimuli/scenes/019b.jpg,stimuli/scenes/083a.jpg,stimuli/scenes/083b.jpg,stimuli/scenes/019a.jpg,dist2,target,lure,dist1,0,1,1,1,0,41,41,29,,,,,,,495.0646122004837,496.12527897395194,496.12527897395194,496.12527897395194,496.12527897395194,496.12527897395194,496.12527897395194,496.12527897395194,496.12527897395194,496.12527897395194,496.12527897395194,496.12527897395194,496.12527897395194,,f,3.0108729116618633,target,None,,,,,,,,,,,,,,,,ST04_112822,2022-11-29_16h21.45.848,Hippopolis_4AFCT,2022.2.2,59.99716392154619,
Camponello,stimuli/subj_files/ST04_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,HEGESZTŐ UTCA,stimuli/objects/016a.jpg,object,2,stimuli/scenes/060a.jpg,stimuli/scenes/084a.jpg,stimuli/scenes/060b.jpg,stimuli/scenes/060a.jpg,stimuli/scenes/084b.jpg,dist1,lure,target,dist2,0,1,1,1,0,42,42,32,,,,,,,499.1539714895189,500.1991594750434,500.1991594750434,500.1991594750434,500.1991594750434,500.1991594750434,500.1991594750434,500.1991594750434,500.1991594750434,500.1991594750434,500.1991594750434,500.1991594750434,500.1991594750434,503.6474661696702,j,3.672546783462167,target,None,,,,,,,,,,,,,,,,ST04_112822,2022-11-29_16h21.45.848,Hippopolis_4AFCT,2022.2.2,59.99716392154619,
Camponello,stimuli/subj_files/ST04_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,MOTOR UTCA,stimuli/objects/073a.jpg,object,0,stimuli/objects/073a.jpg,stimuli/objects/028a.jpg,stimuli/objects/073b.jpg,stimuli/objects/073a.jpg,stimuli/objects/028b.jpg,dist1,lure,target,dist2,0,1,1,1,0,43,43,7,,,,,,,503.90344215743244,504.9626913629472,504.9626913629472,504.9626913629472,504.9626913629472,504.9626913629472,504.9626913629472,504.9626913629472,504.9626913629472,504.9626913629472,504.9626913629472,504.9626913629472,504.9626913629472,,j,2.445197068154812,target,None,,,,,,,,,,,,,,,,ST04_112822,2022-11-29_16h21.45.848,Hippopolis_4AFCT,2022.2.2,59.99716392154619,
Camponello,stimuli/subj_files/ST04_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,PÁLMAFA UTCA,stimuli/scenes/043a.jpg,scene,1,stimuli/scenes/001a.jpg,stimuli/scenes/001a.jpg,stimuli/objects/001b.jpg,stimuli/objects/001a.jpg,stimuli/scenes/001b.jpg,target,dist2,dist1,lure,0,1,1,1,0,44,44,68,,,,,,,507.4509698431939,508.4998678229749,508.4998678229749,508.4998678229749,508.4998678229749,508.4998678229749,508.4998678229749,508.4998678229749,508.4998678229749,508.4998678229749,508.4998678229749,508.4998678229749,508.4998678229749,,j,2.251449106261134,dist1,space,,510.77577403374016,510.77577403374016,3.559622850269079,,,,,,,,,,,,ST04_112822,2022-11-29_16h21.45.848,Hippopolis_4AFCT,2022.2.2,59.99716392154619,
