CityName,StimuliFile,CityImage,StreetSign,LearningVideoFile,UpdatingVideoFile,Cue,Image,Category,CorrectResponse,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text_intro.started,city_image.started,load_video.started,movie.started,end_vid_key.started,end_vid_key.keys,text_countdown.started,cityname_text_start.started,fx_cross.started,plate.started,city_text.started,street_text.started,learning_image.started,key_resp_2.started,key_resp_2.keys,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,test_text.started,key_resp.started,key_resp.keys,key_resp.rt,plate_test.started,city_text_test.started,street_text_test.started,test_question.started,test_key_resp.started,button_image.started,test_key_resp.keys,test_key_resp.corr,text_response_test.text,written_text_mouse.x,written_text_mouse.y,written_text_mouse.leftButton,written_text_mouse.midButton,written_text_mouse.rightButton,written_text_mouse.time,test_key_resp.rt,plate_verbal.started,street_text_verbal.started,city_text_verbal.started,question_verbal.started,text_response_test.started,written_text_mouse.started,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/ST01_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,MÁRVÁNY UTCA,stimuli/scenes/037a.jpg,scene,right,0,stimuli/scenes/037a.jpg,stimuli/objects/051b.jpg,stimuli/scenes/037a.jpg,stimuli/scenes/037b.jpg,stimuli/objects/051a.jpg,dist2,target,lure,dist1,0,0,0,0,0,9,9,4,,,,,,,,,,,,,,,,,94.5482479762286,95.57724932208657,95.57724932208657,95.57724932208657,95.57724932208657,95.57724932208657,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_120922,2022-12-09_12h11.18.881,Hippopolis_Learning,2022.2.2,59.80444413313406,
Camponello,stimuli/subj_files/ST01_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,TELEP UTCA,stimuli/objects/045a.jpg,object,left,1,stimuli/objects/049a.jpg,stimuli/objects/052a.jpg,stimuli/objects/049b.jpg,stimuli/objects/049a.jpg,stimuli/objects/052b.jpg,dist1,lure,target,dist2,0,0,0,0,0,10,10,72,,,,,,,,,,,,,,,,,98.55480772256851,99.59126451425254,99.59126451425254,99.59126451425254,99.59126451425254,99.59126451425254,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_120922,2022-12-09_12h11.18.881,Hippopolis_Learning,2022.2.2,59.80444413313406,
Camponello,stimuli/subj_files/ST01_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,BOHÓC UTCA,stimuli/objects/044a.jpg,object,left,1,stimuli/objects/027a.jpg,stimuli/scenes/113a.jpg,stimuli/scenes/113b.jpg,stimuli/objects/027a.jpg,stimuli/objects/027b.jpg,dist1,dist2,target,lure,0,0,0,0,0,11,11,64,,,,,,,,,,,,,,,,,102.55633507482708,103.59921446070075,103.59921446070075,103.59921446070075,103.59921446070075,103.59921446070075,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_120922,2022-12-09_12h11.18.881,Hippopolis_Learning,2022.2.2,59.80444413313406,
Camponello,stimuli/subj_files/ST01_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,KÁRTYA UTCA,stimuli/objects/061a.jpg,object,left,2,stimuli/scenes/032a.jpg,stimuli/objects/118a.jpg,stimuli/objects/118b.jpg,stimuli/scenes/032b.jpg,stimuli/scenes/032a.jpg,dist1,dist2,lure,target,0,0,0,0,0,12,12,2,,,,,,,,,,,,,,,,,106.55737539194524,107.59147008880973,107.59147008880973,107.59147008880973,107.59147008880973,107.59147008880973,None,None,107.59147008880973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_120922,2022-12-09_12h11.18.881,Hippopolis_Learning,2022.2.2,59.80444413313406,
Camponello,stimuli/subj_files/ST01_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,SÜTŐ UTCA,stimuli/scenes/015a.jpg,scene,right,2,stimuli/objects/118a.jpg,stimuli/scenes/079a.jpg,stimuli/objects/118a.jpg,stimuli/scenes/079b.jpg,stimuli/objects/118b.jpg,dist1,target,dist2,lure,0,0,0,0,0,13,13,76,,,,,,,,,,,,,,,,,110.55763974785805,111.59969869628549,111.59969869628549,111.59969869628549,111.59969869628549,111.59969869628549,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_120922,2022-12-09_12h11.18.881,Hippopolis_Learning,2022.2.2,59.80444413313406,
Camponello,stimuli/subj_files/ST01_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,PAPAGÁJ UTCA,stimuli/objects/082a.jpg,object,left,0,stimuli/objects/082a.jpg,stimuli/scenes/092a.jpg,stimuli/objects/082a.jpg,stimuli/scenes/092b.jpg,stimuli/objects/082b.jpg,dist1,target,dist2,lure,0,0,0,0,0,14,14,44,,,,,,,,,,,,,,,,,114.57039909623563,115.60755036398768,115.60755036398768,115.60755036398768,115.60755036398768,115.60755036398768,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_120922,2022-12-09_12h11.18.881,Hippopolis_Learning,2022.2.2,59.80444413313406,
Camponello,stimuli/subj_files/ST01_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,CUKOR UTCA,stimuli/objects/030a.jpg,object,left,1,stimuli/objects/022a.jpg,stimuli/objects/022a.jpg,stimuli/objects/049a.jpg,stimuli/objects/049b.jpg,stimuli/objects/022b.jpg,target,dist1,dist2,lure,0,0,0,0,0,15,15,29,,,,,,,,,,,,,,,,,118.58652757667005,119.61744441092014,119.61744441092014,119.61744441092014,119.61744441092014,119.61744441092014,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_120922,2022-12-09_12h11.18.881,Hippopolis_Learning,2022.2.2,59.80444413313406,
Camponello,stimuli/subj_files/ST01_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,TISZTÁS UTCA,stimuli/objects/017a.jpg,object,left,0,stimuli/objects/017a.jpg,stimuli/objects/017b.jpg,stimuli/objects/088a.jpg,stimuli/objects/088b.jpg,stimuli/objects/017a.jpg,lure,dist1,dist2,target,0,0,0,0,0,16,16,77,,,,,,,,,,,,,,,,,122.58805057406425,123.64629180915654,123.64629180915654,123.64629180915654,123.64629180915654,123.64629180915654,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_120922,2022-12-09_12h11.18.881,Hippopolis_Learning,2022.2.2,59.80444413313406,
Camponello,stimuli/subj_files/ST01_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,ZEBRA UTCA,stimuli/scenes/035a.jpg,scene,right,0,stimuli/scenes/035a.jpg,stimuli/scenes/035b.jpg,stimuli/objects/090b.jpg,stimuli/scenes/035a.jpg,stimuli/objects/090a.jpg,lure,dist2,target,dist1,0,0,0,0,0,17,17,6,,,,,,,,,,,,,,,,,126.59778818488121,127.62780496664345,127.62780496664345,127.62780496664345,127.62780496664345,127.62780496664345,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_120922,2022-12-09_12h11.18.881,Hippopolis_Learning,2022.2.2,59.80444413313406,
Camponello,stimuli/subj_files/ST01_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,BAGOLY UTCA,stimuli/objects/116a.jpg,object,left,0,stimuli/objects/116a.jpg,stimuli/objects/016a.jpg,stimuli/objects/016b.jpg,stimuli/objects/116a.jpg,stimuli/objects/116b.jpg,dist1,dist2,target,lure,0,0,0,0,0,18,18,36,,,,,,,,,,,,,,,,,130.60468039661646,131.64520608447492,131.64520608447492,131.64520608447492,131.64520608447492,131.64520608447492,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_120922,2022-12-09_12h11.18.881,Hippopolis_Learning,2022.2.2,59.80444413313406,
Camponello,stimuli/subj_files/ST01_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,KERET UTCA,stimuli/objects/023a.jpg,object,left,2,stimuli/scenes/108a.jpg,stimuli/scenes/108b.jpg,stimuli/scenes/094b.jpg,stimuli/scenes/094a.jpg,stimuli/scenes/108a.jpg,lure,dist2,dist1,target,0,0,0,0,0,19,19,38,,,,,,,,,,,,,,,,,134.621024094522,135.66133549809456,135.66133549809456,135.66133549809456,135.66133549809456,135.66133549809456,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_120922,2022-12-09_12h11.18.881,Hippopolis_Learning,2022.2.2,59.80444413313406,
Camponello,stimuli/subj_files/ST01_120922_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,ZSEMLE UTCA,stimuli/scenes/105a.jpg,scene,right,0,stimuli/scenes/105a.jpg,stimuli/scenes/105a.jpg,stimuli/objects/038a.jpg,stimuli/objects/038b.jpg,stimuli/scenes/105b.jpg,target,dist1,dist2,lure,0,0,0,0,0,20,20,40,,,,,,,,,,,,,,,,,138.62161936052144,139.65232906490564,139.65232906490564,139.65232906490564,139.65232906490564,139.65232906490564,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_120922,2022-12-09_12h11.18.881,Hippopolis_Learning,2022.2.2,59.80444413313406,
