CityName,StimuliFile,CityImage,StreetSign,LearningVideoFile,UpdatingVideoFile,Cue,Image,Category,CorrectResponse,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlockLearning.thisRepN,CityBlockLearning.thisTrialN,CityBlockLearning.thisN,CityBlockLearning.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,CityBlockUpdating.thisRepN,CityBlockUpdating.thisTrialN,CityBlockUpdating.thisN,CityBlockUpdating.thisIndex,UpdatingTrials.thisRepN,UpdatingTrials.thisTrialN,UpdatingTrials.thisN,UpdatingTrials.thisIndex,Test4afctTrials.thisRepN,Test4afctTrials.thisTrialN,Test4afctTrials.thisN,Test4afctTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,learning_cityname_text.started,learning_city_image.started,load_video_2.started,learning_movie.started,learning_end_vid_key.started,learning_end_vid_key.keys,text_countdown.started,cityname_text_start.started,Phase,fx_cross.started,plate_learning.started,learning_city_text.started,learning_street_text.started,learning_image.started,learning_skip_key.started,learning_skip_key.keys,short_break_key.keys,fx_cross.stopped,plate_learning.stopped,learning_city_text.stopped,learning_street_text.stopped,learning_image.stopped,learning_skip_key.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,learning_phase_test_text.started,learning_phase_key.started,learning_phase_key.keys,learning_phase_key.rt,text_countdown.stopped,cityname_text_start.stopped,plate_test.started,city_text_test.started,street_text_test.started,test_question.started,test_key_resp.started,button_image.started,test_key_resp.keys,test_key_resp.corr,text_response_test.text,written_text_mouse.x,written_text_mouse.y,written_text_mouse.leftButton,written_text_mouse.midButton,written_text_mouse.rightButton,written_text_mouse.time,test_key_resp.rt,plate_verbal.started,street_text_verbal.started,city_text_verbal.started,question_verbal.started,text_response_test.started,written_text_mouse.started,plate_test.stopped,city_text_test.stopped,street_text_test.stopped,test_question.stopped,test_key_resp.stopped,button_image.stopped,long_break1_break_text.started,long_break1_key.started,long_break1_key.keys,long_break1_key.rt,end_learning_text.started,continue_updating_key.started,continue_updating_key.keys,continue_updating_key.rt,updating_instructions_text.started,intro_updating_key.started,intro_updating_key.keys,intro_updating_key.rt,cityname_text_intro.started,city_image_update.started,load_video.started,movie.started,end_vid_key.started,end_vid_key.keys,cityname_text.started,city_image.started,plate.started,city_text.started,street_text.started,fx_cross_prediction.started,key_resp_update.started,button_image_updating.started,skip_key.started,key_resp_update.keys,key_resp_update.corr,key_resp_update.rt,skip_key.keys,plate_updating.started,city_text_updating.started,street_text_updating.started,updating_image.started,skip_key_updating.started,skip_key_updating.keys,plate.stopped,city_text.stopped,street_text.stopped,fx_cross_prediction.stopped,key_resp_update.stopped,button_image_updating.stopped,skip_key.stopped,plate_updating.stopped,city_text_updating.stopped,street_text_updating.stopped,updating_image.stopped,skip_key_updating.stopped,long_break2_text.started,long_break2_key_resp.started,long_break2_key_resp.keys,long_break2_key_resp.rt,end_text_updating.started,continue_key.started,continue_key.keys,continue_key.rt,instructions_4afct_text.started,intro_4afct_key.started,intro_4afct_key.keys,intro_4afct_key.rt,updating_cue,reinstated,street_text_4afct.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp_4afct.started,key_resp_4afct.keys,key_resp_4afct.rt,test4afct_resp,short_break_4afct_key.keys,short_break_4afct_text.started,short_break_4afct_key.started,short_break_4afct_key.rt,clock0.started,clock0.stopped,n_targets,n_lures,n_dist1s,n_dist2s,end_experiment_text.started,end_experiment_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,ZEBRA UTCA,stimuli/scenes/020a.jpg,scene,right,0,stimuli/scenes/020a.jpg,stimuli/scenes/020a.jpg,stimuli/scenes/020b.jpg,stimuli/scenes/066b.jpg,stimuli/scenes/066a.jpg,target,lure,dist2,dist1,0,0,0,0,0,9,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,100.6512601999566,101.65718370000832,101.65718370000832,101.65718370000832,101.65718370000832,101.65718370000832,None,None,101.65718370000832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,HEGESZTŐ UTCA,stimuli/scenes/093a.jpg,scene,right,0,stimuli/scenes/093a.jpg,stimuli/scenes/093b.jpg,stimuli/scenes/093a.jpg,stimuli/scenes/086a.jpg,stimuli/scenes/086b.jpg,lure,target,dist1,dist2,0,0,0,0,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,104.66772340005264,105.66780900000595,105.66780900000595,105.66780900000595,105.66780900000595,105.66780900000595,None,None,105.66780900000595,108.66778649995103,108.66778649995103,108.66778649995103,108.66778649995103,108.66778649995103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,MUSTÁR UTCA,stimuli/scenes/013a.jpg,scene,right,0,stimuli/scenes/013a.jpg,stimuli/objects/020a.jpg,stimuli/objects/020b.jpg,stimuli/scenes/013b.jpg,stimuli/scenes/013a.jpg,dist1,dist2,lure,target,0,0,0,0,0,11,11,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,108.66778649995103,109.66847830009647,109.66847830009647,109.66847830009647,109.66847830009647,109.66847830009647,None,None,109.66847830009647,112.6677522000391,112.6677522000391,112.6677522000391,112.6677522000391,112.6677522000391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,DOMINÓ UTCA,stimuli/objects/113a.jpg,object,left,0,stimuli/objects/113a.jpg,stimuli/scenes/093b.jpg,stimuli/scenes/093a.jpg,stimuli/objects/113a.jpg,stimuli/objects/113b.jpg,dist2,dist1,target,lure,0,0,0,0,0,12,12,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,112.6677522000391,113.67930050007999,113.67930050007999,113.67930050007999,113.67930050007999,113.67930050007999,None,None,113.67930050007999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,TERASZ UTCA,stimuli/objects/083a.jpg,object,left,1,stimuli/objects/062a.jpg,stimuli/scenes/003a.jpg,stimuli/objects/062a.jpg,stimuli/objects/062b.jpg,stimuli/scenes/003b.jpg,dist1,target,lure,dist2,0,0,0,0,0,13,13,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,116.68408309994265,117.69092079997063,117.69092079997063,117.69092079997063,117.69092079997063,117.69092079997063,None,None,117.69092079997063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,NARANCS UTCA,stimuli/scenes/052a.jpg,scene,right,0,stimuli/scenes/052a.jpg,stimuli/scenes/048a.jpg,stimuli/scenes/048b.jpg,stimuli/scenes/052b.jpg,stimuli/scenes/052a.jpg,dist1,dist2,lure,target,0,0,0,0,0,14,14,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,120.70070650009438,121.70163069991395,121.70163069991395,121.70163069991395,121.70163069991395,121.70163069991395,None,None,121.70163069991395,124.70084480009973,124.70084480009973,124.70084480009973,124.70084480009973,124.70084480009973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,FÉNYKÉP UTCA,stimuli/objects/007a.jpg,object,left,2,stimuli/scenes/058a.jpg,stimuli/scenes/058a.jpg,stimuli/scenes/042b.jpg,stimuli/scenes/058b.jpg,stimuli/scenes/042a.jpg,target,dist2,lure,dist1,0,0,0,0,0,15,15,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,124.70084480009973,125.70140810008161,125.70140810008161,125.70140810008161,125.70140810008161,125.70140810008161,None,None,125.70140810008161,128.70055569987744,128.70055569987744,128.70055569987744,128.70055569987744,128.70055569987744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,KAKAÓ UTCA,stimuli/objects/027a.jpg,object,left,0,stimuli/objects/027a.jpg,stimuli/scenes/095a.jpg,stimuli/objects/027a.jpg,stimuli/scenes/095b.jpg,stimuli/objects/027b.jpg,dist1,target,dist2,lure,0,0,0,0,0,16,16,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,128.70055569987744,129.7030772001017,129.7030772001017,129.7030772001017,129.7030772001017,129.7030772001017,None,None,129.7030772001017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,TÉRKÉP UTCA,stimuli/scenes/069a.jpg,scene,right,1,stimuli/scenes/043a.jpg,stimuli/scenes/026b.jpg,stimuli/scenes/026a.jpg,stimuli/scenes/043b.jpg,stimuli/scenes/043a.jpg,dist2,dist1,lure,target,0,0,0,0,0,17,17,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,132.71729529998265,133.71805509994738,133.71805509994738,133.71805509994738,133.71805509994738,133.71805509994738,None,None,133.71805509994738,136.71713500004262,136.71713500004262,136.71713500004262,136.71713500004262,136.71713500004262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
Camponello,stimuli/subj_files/ST02_121322_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part,./stimuli/videos/campo-satellite.mp4,LEVÉL UTCA,stimuli/objects/111a.jpg,object,left,0,stimuli/objects/111a.jpg,stimuli/objects/111a.jpg,stimuli/scenes/076b.jpg,stimuli/objects/111b.jpg,stimuli/scenes/076a.jpg,target,dist2,lure,dist1,0,0,0,0,0,18,18,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learning,136.71713500004262,137.7262599999085,137.7262599999085,137.7262599999085,137.7262599999085,137.7262599999085,None,None,137.7262599999085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_121322,2022-12-13_14h58.16.808,MemoryLand,2022.2.4,59.99851205350997,
