CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,fx_cross_prediction.started,plate_updating.started,city_text_updating.started,street_text_updating.started,updating_image.started,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PADLÓ UTCA,stimuli/objects/053a.jpg,object,0,stimuli/objects/053a.jpg,stimuli/objects/053a.jpg,stimuli/objects/053b.jpg,stimuli/objects/064b.jpg,stimuli/objects/064a.jpg,target,lure,dist2,dist1,0,0,0,0,0,56,56,74,,,,,,,505.4901482500136,506.5101434737444,506.5101434737444,506.5101434737444,506.5101434737444,509.533913070336,509.533913070336,509.533913070336,509.533913070336,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TOLLTARTÓ UTCA,stimuli/objects/117a.jpg,object,2,stimuli/scenes/045a.jpg,stimuli/scenes/045b.jpg,stimuli/scenes/120b.jpg,stimuli/scenes/045a.jpg,stimuli/scenes/120a.jpg,lure,dist2,target,dist1,0,0,0,0,0,57,57,58,,,,,,,512.5026799421757,513.5273284427822,513.5273284427822,513.5273284427822,513.5273284427822,516.5290902927518,516.5290902927518,516.5290902927518,516.5290902927518,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TÖLCSÉR UTCA,stimuli/scenes/068a.jpg,scene,0,stimuli/scenes/068a.jpg,stimuli/objects/039a.jpg,stimuli/scenes/068a.jpg,stimuli/scenes/068b.jpg,stimuli/objects/039b.jpg,dist1,target,lure,dist2,0,0,0,0,0,58,58,46,,,,,,,519.5055670142174,520.5266743954271,520.5266743954271,520.5266743954271,520.5266743954271,523.519507875666,523.519507875666,523.519507875666,523.519507875666,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MANDARIN UTCA,stimuli/scenes/047a.jpg,scene,1,stimuli/scenes/024a.jpg,stimuli/scenes/024a.jpg,stimuli/scenes/024b.jpg,stimuli/scenes/069a.jpg,stimuli/scenes/069b.jpg,target,lure,dist1,dist2,0,0,0,0,0,59,59,60,,,,,,,526.5065214931965,527.5276518892497,527.5276518892497,527.5276518892497,527.5276518892497,530.5517573729157,530.5517573729157,530.5517573729157,530.5517573729157,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,GYŰRŰ UTCA,stimuli/scenes/007a.jpg,scene,0,stimuli/scenes/007a.jpg,stimuli/scenes/076a.jpg,stimuli/scenes/007b.jpg,stimuli/scenes/007a.jpg,stimuli/scenes/076b.jpg,dist1,lure,target,dist2,0,0,0,0,0,60,60,76,,,,,,,533.5174129363149,534.5458392314613,534.5458392314613,534.5458392314613,534.5458392314613,537.5360512379557,537.5360512379557,537.5360512379557,537.5360512379557,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,ÁRNYÉK UTCA,stimuli/scenes/088a.jpg,scene,0,stimuli/scenes/088a.jpg,stimuli/scenes/088a.jpg,stimuli/objects/038a.jpg,stimuli/objects/038b.jpg,stimuli/scenes/088b.jpg,target,dist1,dist2,lure,0,0,0,0,0,61,61,42,,,,,,,540.5325642339885,541.5639385599643,541.5639385599643,541.5639385599643,541.5639385599643,544.5635793469846,544.5635793469846,544.5635793469846,544.5635793469846,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,SÜTEMÉNY UTCA,stimuli/scenes/043a.jpg,scene,2,stimuli/objects/033a.jpg,stimuli/objects/033b.jpg,stimuli/scenes/026a.jpg,stimuli/scenes/026b.jpg,stimuli/objects/033a.jpg,lure,dist1,dist2,target,0,0,0,0,0,62,62,2,,,,,,,547.539697477594,548.5596619099379,548.5596619099379,548.5596619099379,548.5596619099379,551.5889120623469,551.5889120623469,551.5889120623469,551.5889120623469,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,ASZTAL UTCA,stimuli/objects/016a.jpg,object,0,stimuli/objects/016a.jpg,stimuli/objects/016a.jpg,stimuli/scenes/046b.jpg,stimuli/scenes/046a.jpg,stimuli/objects/016b.jpg,target,dist2,dist1,lure,0,0,0,0,0,63,63,56,,,,,,,554.5519850291312,555.5772689152509,555.5772689152509,555.5772689152509,555.5772689152509,558.5793367978185,558.5793367978185,558.5793367978185,558.5793367978185,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,VÁSÁR UTCA,stimuli/objects/060a.jpg,object,1,stimuli/objects/076a.jpg,stimuli/objects/076b.jpg,stimuli/objects/076a.jpg,stimuli/objects/080b.jpg,stimuli/objects/080a.jpg,lure,target,dist2,dist1,0,0,0,0,0,64,64,40,,,,,,,561.5585898719728,562.5813499409705,562.5813499409705,562.5813499409705,562.5813499409705,565.5850275922567,565.5850275922567,565.5850275922567,565.5850275922567,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,BICIKLI UTCA,stimuli/objects/027a.jpg,object,2,stimuli/scenes/026a.jpg,stimuli/scenes/029b.jpg,stimuli/scenes/026b.jpg,stimuli/scenes/029a.jpg,stimuli/scenes/026a.jpg,dist2,lure,dist1,target,0,0,0,0,0,65,65,47,,,,,,,568.5723879821599,569.5913730561733,569.5913730561733,569.5913730561733,569.5913730561733,572.6027095504105,572.6027095504105,572.6027095504105,572.6027095504105,None,,,,,,,,,,pilot1,2022-10-14_15h06.43.688,Hippopolis_Updating,2022.2.2,60.04455661570678,
