CityName,StimuliFile,CityImage,StreetSign,VideoFile,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,fx_cross.stopped,clock0.started,short_break_text.started,short_break_key.started,short_break_key.rt,clock0.stopped,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,MOGYORÓ UTCA,stimuli/objects/088a.jpg,object,1,stimuli/objects/056a.jpg,stimuli/objects/056a.jpg,stimuli/objects/052b.jpg,stimuli/objects/052a.jpg,stimuli/objects/056b.jpg,target,dist2,dist1,lure,0,0,0,1,0,19,19,53,,,,,,,106.54936573468149,107.61741393245757,107.61741393245757,107.61741393245757,107.61741393245757,107.61741393245757,107.61741393245757,107.61741393245757,107.61741393245757,107.61741393245757,107.61741393245757,107.61741393245757,107.61741393245757,d,3.5388359650969505,target,None,107.61741393245757,111.0403726734221,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KECSKE UTCA,stimuli/objects/016a.jpg,object,0,stimuli/objects/016a.jpg,stimuli/objects/016a.jpg,stimuli/objects/114b.jpg,stimuli/objects/114a.jpg,stimuli/objects/016b.jpg,target,dist2,dist1,lure,0,0,0,1,0,20,20,33,,,,,,,111.18060701154172,112.27340416423976,112.27340416423976,112.27340416423976,112.27340416423976,112.27340416423976,112.27340416423976,112.27340416423976,112.27340416423976,112.27340416423976,112.27340416423976,112.27340416423976,112.27340416423976,d,2.4670109059661627,target,None,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,HORDÓ UTCA,stimuli/scenes/076a.jpg,scene,0,stimuli/scenes/076a.jpg,stimuli/objects/016a.jpg,stimuli/scenes/076b.jpg,stimuli/scenes/076a.jpg,stimuli/objects/016b.jpg,dist1,lure,target,dist2,0,0,0,1,0,21,21,72,,,,,,,114.76388363726437,115.82480543479323,115.82480543479323,115.82480543479323,115.82480543479323,115.82480543479323,115.82480543479323,115.82480543479323,115.82480543479323,115.82480543479323,115.82480543479323,115.82480543479323,115.82480543479323,j,3.730611216276884,target,None,,119.26479270868003,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,VÖDÖR UTCA,stimuli/objects/027a.jpg,object,0,stimuli/objects/027a.jpg,stimuli/scenes/020a.jpg,stimuli/scenes/020b.jpg,stimuli/objects/027a.jpg,stimuli/objects/027b.jpg,dist1,dist2,target,lure,0,0,0,1,0,22,22,60,,,,,,,119.58317150734365,120.65177889540792,120.65177889540792,120.65177889540792,120.65177889540792,120.65177889540792,120.65177889540792,120.65177889540792,120.65177889540792,120.65177889540792,120.65177889540792,120.65177889540792,120.65177889540792,d,3.799789300188422,dist1,None,,124.08097300305963,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,SZIKLA UTCA,stimuli/scenes/012a.jpg,scene,1,stimuli/scenes/116a.jpg,stimuli/objects/056a.jpg,stimuli/scenes/116b.jpg,stimuli/objects/056b.jpg,stimuli/scenes/116a.jpg,dist1,lure,dist2,target,0,0,0,1,0,23,23,34,,,,,,,124.47178736701608,125.56773905828595,125.56773905828595,125.56773905828595,125.56773905828595,125.56773905828595,125.56773905828595,125.56773905828595,125.56773905828595,125.56773905828595,125.56773905828595,125.56773905828595,125.56773905828595,k,3.65210947021842,target,None,,128.96434094011784,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,SZOBOR UTCA,stimuli/objects/114a.jpg,object,0,stimuli/objects/114a.jpg,stimuli/objects/113a.jpg,stimuli/objects/113b.jpg,stimuli/objects/114b.jpg,stimuli/objects/114a.jpg,dist1,dist2,lure,target,0,0,0,1,0,24,24,18,,,,,,,129.2496805973351,130.3198427055031,130.3198427055031,130.3198427055031,130.3198427055031,130.3198427055031,130.3198427055031,130.3198427055031,130.3198427055031,130.3198427055031,130.3198427055031,130.3198427055031,130.3198427055031,d,3.5394110176712275,dist1,None,130.3198427055031,133.75860430300236,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KORONG UTCA,stimuli/objects/112a.jpg,object,0,stimuli/objects/112a.jpg,stimuli/scenes/054b.jpg,stimuli/objects/112a.jpg,stimuli/scenes/054a.jpg,stimuli/objects/112b.jpg,dist2,target,dist1,lure,0,0,0,1,0,25,25,25,,,,,,,133.88803023658693,134.96334883011878,134.96334883011878,134.96334883011878,134.96334883011878,134.96334883011878,134.96334883011878,134.96334883011878,134.96334883011878,134.96334883011878,134.96334883011878,134.96334883011878,134.96334883011878,d,2.912778854370117,dist2,None,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,POGÁCSA UTCA,stimuli/scenes/019a.jpg,scene,1,stimuli/scenes/040a.jpg,stimuli/scenes/040b.jpg,stimuli/scenes/040a.jpg,stimuli/scenes/075b.jpg,stimuli/scenes/075a.jpg,lure,target,dist2,dist1,0,0,0,1,0,26,26,3,,,,,,,137.8966525774449,138.9462329056114,138.9462329056114,138.9462329056114,138.9462329056114,138.9462329056114,138.9462329056114,138.9462329056114,138.9462329056114,138.9462329056114,138.9462329056114,138.9462329056114,138.9462329056114,f,2.5614486187696457,target,None,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,VIHAR UTCA,stimuli/objects/054a.jpg,object,0,stimuli/objects/054a.jpg,stimuli/objects/054b.jpg,stimuli/scenes/060a.jpg,stimuli/objects/054a.jpg,stimuli/scenes/060b.jpg,lure,dist1,target,dist2,0,0,0,1,0,27,27,69,,,,,,,141.53179480694234,142.61665569990873,142.61665569990873,142.61665569990873,142.61665569990873,142.61665569990873,142.61665569990873,142.61665569990873,142.61665569990873,142.61665569990873,142.61665569990873,142.61665569990873,142.61665569990873,j,2.923232400789857,target,None,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
Camponello,stimuli/subj_files/ST02_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KANÁL UTCA,stimuli/objects/066a.jpg,object,0,stimuli/objects/066a.jpg,stimuli/objects/066a.jpg,stimuli/scenes/079b.jpg,stimuli/objects/066b.jpg,stimuli/scenes/079a.jpg,target,dist2,lure,dist1,0,0,0,1,0,28,28,30,,,,,,,145.56318779103458,146.60767725668848,146.60767725668848,146.60767725668848,146.60767725668848,146.60767725668848,146.60767725668848,146.60767725668848,146.60767725668848,146.60767725668848,146.60767725668848,146.60767725668848,146.60767725668848,k,3.219509219750762,dist1,None,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_12h09.25.884,Hippopolis_4AFCT,2022.2.2,60.00097052832705,
