CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learning_instructions_text.started,learning_instructions_text.stopped,intro_key.keys,intro_key.rt,intro_key.started,intro_key.stopped,cityname_text.started,cityname_text.stopped,city_image.started,city_image.stopped,fx_cross.started,fx_cross.stopped,plate.started,plate.stopped,city_text.started,city_text.stopped,street_text.started,street_text.stopped,learning_image.started,learning_image.stopped,short_break_text.started,short_break_text.stopped,short_break_key.keys,short_break_key.started,short_break_key.stopped,short_break_key.rt,test_text.started,test_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,plate_test.started,plate_test.stopped,city_text_test.started,city_text_test.stopped,street_text_test.started,street_text_test.stopped,test_question.started,test_question.stopped,test_key_resp.keys,test_key_resp.rt,test_key_resp.started,test_key_resp.stopped,button_image.started,button_image.stopped,plate_verbal.started,plate_verbal.stopped,street_text_verbal.started,street_text_verbal.stopped,city_text_verbal.started,city_text_verbal.stopped,question_verbal.started,question_verbal.stopped,verbal_test_key_resp.keys,verbal_test_key_resp.started,verbal_test_key_resp.stopped,verbal_test_key_resp.rt,n_remembered,break_text.started,break_text.stopped,break_key_resp.keys,break_key_resp.rt,break_key_resp.started,break_key_resp.stopped,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,SZAPPAN UTCA,stimuli/objects/011a.jpg,object,0,stimuli/objects/011a.jpg,stimuli/objects/011b.jpg,stimuli/scenes/010a.jpg,stimuli/scenes/010b.jpg,stimuli/objects/011a.jpg,lure,dist1,dist2,target,1,0,2,0,0,11,11,76,,,,,,,,,,,,,,,1702.458302300016,None,1703.4594683000178,None,1703.4594683000178,None,1703.4594683000178,None,1703.4594683000178,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,TISZTÁS UTCA,stimuli/scenes/031a.jpg,scene,2,stimuli/objects/068a.jpg,stimuli/objects/068b.jpg,stimuli/scenes/047b.jpg,stimuli/objects/068a.jpg,stimuli/scenes/047a.jpg,lure,dist2,target,dist1,1,0,2,0,0,12,12,51,,,,,,,,,,,,,,,1706.4582467,None,1707.4591319000174,None,1707.4591319000174,None,1707.4591319000174,None,1707.4591319000174,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,VASALÓ UTCA,stimuli/objects/057a.jpg,object,0,stimuli/objects/057a.jpg,stimuli/scenes/016b.jpg,stimuli/objects/057b.jpg,stimuli/scenes/016a.jpg,stimuli/objects/057a.jpg,dist2,lure,dist1,target,1,0,2,0,0,13,13,64,,,,,,,,,,,,,,,1710.4582406000118,None,1711.4596172000165,None,1711.4596172000165,None,1711.4596172000165,None,1711.4596172000165,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,PADLÓ UTCA,stimuli/scenes/062a.jpg,scene,2,stimuli/objects/028a.jpg,stimuli/objects/028a.jpg,stimuli/objects/028b.jpg,stimuli/objects/103b.jpg,stimuli/objects/103a.jpg,target,lure,dist2,dist1,1,0,2,0,0,14,14,32,,,,,,,,,,,,,,,1714.4748604000197,None,1715.4760661000037,None,1715.4760661000037,None,1715.4760661000037,None,1715.4760661000037,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,TOJÁS UTCA,stimuli/scenes/001a.jpg,scene,2,stimuli/objects/072a.jpg,stimuli/scenes/108b.jpg,stimuli/scenes/108a.jpg,stimuli/objects/072a.jpg,stimuli/objects/072b.jpg,dist2,dist1,target,lure,1,0,2,0,0,15,15,65,,,,,,,,,,,,,,,1718.4749276000075,None,1719.475064600003,None,1719.475064600003,None,1719.475064600003,None,1719.475064600003,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,AKÁC UTCA,stimuli/scenes/063a.jpg,scene,1,stimuli/scenes/071a.jpg,stimuli/scenes/071a.jpg,stimuli/scenes/071b.jpg,stimuli/scenes/091b.jpg,stimuli/scenes/091a.jpg,target,lure,dist2,dist1,1,0,2,0,0,16,16,50,,,,,,,,,,,,,,,1722.4746075000148,None,1723.4756437000178,None,1723.4756437000178,None,1723.4756437000178,None,1723.4756437000178,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,TOLMÁCS UTCA,stimuli/objects/044a.jpg,object,2,stimuli/scenes/110a.jpg,stimuli/scenes/110a.jpg,stimuli/scenes/110b.jpg,stimuli/objects/028b.jpg,stimuli/objects/028a.jpg,target,lure,dist2,dist1,1,0,2,0,0,17,17,63,,,,,,,,,,,,,,,1726.4746876000136,None,1727.4774232000054,None,1727.4774232000054,None,1727.4774232000054,None,1727.4774232000054,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,TELEFON UTCA,stimuli/objects/113a.jpg,object,2,stimuli/scenes/088a.jpg,stimuli/scenes/088b.jpg,stimuli/scenes/094b.jpg,stimuli/scenes/094a.jpg,stimuli/scenes/088a.jpg,lure,dist2,dist1,target,1,0,2,0,0,18,18,7,,,,,,,,,,,,,,,1730.490999600006,None,1731.4956667000079,None,1731.4956667000079,None,1731.4956667000079,None,1731.4956667000079,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,BOHÓC UTCA,stimuli/objects/120a.jpg,object,2,stimuli/scenes/079a.jpg,stimuli/scenes/038b.jpg,stimuli/scenes/079a.jpg,stimuli/scenes/038a.jpg,stimuli/scenes/079b.jpg,dist2,target,dist1,lure,1,0,2,0,0,19,19,36,,,,,,,,,,,,,,,1734.5078358000028,None,1735.5109405000112,None,1735.5109405000112,None,1735.5109405000112,None,1735.5109405000112,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,FÉSŰ UTCA,stimuli/scenes/092a.jpg,scene,1,stimuli/scenes/091a.jpg,stimuli/scenes/020b.jpg,stimuli/scenes/091b.jpg,stimuli/scenes/091a.jpg,stimuli/scenes/020a.jpg,dist2,lure,target,dist1,1,0,2,0,0,20,20,54,,,,,,,,,,,,,,,1738.5243532000168,None,1739.5271536000073,None,1739.5271536000073,None,1739.5271536000073,None,1739.5271536000073,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,KÓKUSZ UTCA,stimuli/scenes/070a.jpg,scene,2,stimuli/objects/091a.jpg,stimuli/objects/117b.jpg,stimuli/objects/117a.jpg,stimuli/objects/091a.jpg,stimuli/objects/091b.jpg,dist2,dist1,target,lure,1,0,2,0,0,21,21,39,,,,,,,,,,,,,,,1742.5410435000085,None,1743.5421325000061,None,1743.5421325000061,None,1743.5421325000061,None,1743.5421325000061,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,PIZSAMA UTCA,stimuli/scenes/008a.jpg,scene,2,stimuli/objects/006a.jpg,stimuli/objects/006b.jpg,stimuli/objects/091a.jpg,stimuli/objects/006a.jpg,stimuli/objects/091b.jpg,lure,dist1,target,dist2,1,0,2,0,0,22,22,11,,,,,,,,,,,,,,,1746.5413568000076,None,1747.541673300002,None,1747.541673300002,None,1747.541673300002,None,1747.541673300002,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,HAJÓ UTCA,stimuli/scenes/032a.jpg,scene,2,stimuli/objects/056a.jpg,stimuli/scenes/088b.jpg,stimuli/scenes/088a.jpg,stimuli/objects/056a.jpg,stimuli/objects/056b.jpg,dist2,dist1,target,lure,1,0,2,0,0,23,23,34,,,,,,,,,,,,,,,1750.54099400001,None,1751.5415165000013,None,1751.5415165000013,None,1751.5415165000013,None,1751.5415165000013,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,FÜGE UTCA,stimuli/objects/080a.jpg,object,1,stimuli/objects/030a.jpg,stimuli/objects/030b.jpg,stimuli/objects/030a.jpg,stimuli/objects/070a.jpg,stimuli/objects/070b.jpg,lure,target,dist1,dist2,1,0,2,0,0,24,24,22,,,,,,,,,,,,,,,1754.5409187000187,None,1755.5443809000135,None,1755.5443809000135,None,1755.5443809000135,None,1755.5443809000135,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,VITORLA UTCA,stimuli/objects/027a.jpg,object,2,stimuli/scenes/094a.jpg,stimuli/objects/056a.jpg,stimuli/scenes/094a.jpg,stimuli/objects/056b.jpg,stimuli/scenes/094b.jpg,dist1,target,dist2,lure,1,0,2,0,0,25,25,17,,,,,,,,,,,,,,,1758.5572449000028,None,1759.5608076000062,None,1759.5608076000062,None,1759.5608076000062,None,1759.5608076000062,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,SZOMSZÉD UTCA,stimuli/scenes/017a.jpg,scene,1,stimuli/scenes/013a.jpg,stimuli/scenes/015a.jpg,stimuli/scenes/015b.jpg,stimuli/scenes/013b.jpg,stimuli/scenes/013a.jpg,dist1,dist2,lure,target,1,0,2,0,0,26,26,12,,,,,,,,,,,,,,,1762.573990200006,None,1763.5744792000041,None,1763.5744792000041,None,1763.5744792000041,None,1763.5744792000041,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,PAPRIKA UTCA,stimuli/scenes/082a.jpg,scene,2,stimuli/objects/009a.jpg,stimuli/objects/106b.jpg,stimuli/objects/106a.jpg,stimuli/objects/009a.jpg,stimuli/objects/009b.jpg,dist2,dist1,target,lure,1,0,2,0,0,27,27,59,,,,,,,,,,,,,,,1766.573730300006,None,1767.574584600021,None,1767.574584600021,None,1767.574584600021,None,1767.574584600021,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,LÁNDZSA UTCA,stimuli/objects/065a.jpg,object,1,stimuli/objects/038a.jpg,stimuli/objects/003a.jpg,stimuli/objects/038a.jpg,stimuli/objects/003b.jpg,stimuli/objects/038b.jpg,dist1,target,dist2,lure,1,0,2,0,0,28,28,18,,,,,,,,,,,,,,,1770.5737441999954,None,1771.5749036000052,None,1771.5749036000052,None,1771.5749036000052,None,1771.5749036000052,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,HARCSA UTCA,stimuli/objects/098a.jpg,object,2,stimuli/scenes/090a.jpg,stimuli/scenes/090b.jpg,stimuli/scenes/090a.jpg,stimuli/scenes/110a.jpg,stimuli/scenes/110b.jpg,lure,target,dist1,dist2,1,0,2,0,0,29,29,78,,,,,,,,,,,,,,,1774.573745200003,None,1775.576464200014,None,1775.576464200014,None,1775.576464200014,None,1775.576464200014,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,MÁRVÁNY UTCA,stimuli/scenes/035a.jpg,scene,1,stimuli/scenes/042a.jpg,stimuli/scenes/112a.jpg,stimuli/scenes/042b.jpg,stimuli/scenes/112b.jpg,stimuli/scenes/042a.jpg,dist1,lure,dist2,target,1,0,2,0,0,30,30,61,,,,,,,,,,,,,,,1778.5903930000204,None,1779.5914569000015,None,1779.5914569000015,None,1779.5914569000015,None,1779.5914569000015,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,MENTA UTCA,stimuli/objects/109a.jpg,object,2,stimuli/scenes/038a.jpg,stimuli/scenes/038a.jpg,stimuli/scenes/038b.jpg,stimuli/objects/061b.jpg,stimuli/objects/061a.jpg,target,lure,dist2,dist1,1,0,2,0,0,31,31,66,,,,,,,,,,,,,,,1782.5904205999977,None,1783.5909100999997,None,1783.5909100999997,None,1783.5909100999997,None,1783.5909100999997,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,SZILVA UTCA,stimuli/objects/045a.jpg,object,1,stimuli/objects/092a.jpg,stimuli/objects/092b.jpg,stimuli/objects/097b.jpg,stimuli/objects/092a.jpg,stimuli/objects/097a.jpg,lure,dist2,target,dist1,1,0,2,0,0,32,32,0,,,,,,,,,,,,,,,1786.5906939000124,None,1787.5941853999975,None,1787.5941853999975,None,1787.5941853999975,None,1787.5941853999975,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112522,2022-11-25_14h18.28.134,Hippopolis_Learning,2021.1.4,60.21132973258861,
