CityName,StimuliFile,CityImage,StreetSign,LearningVideoFile,UpdatingVideoFile,Cue,Image,Category,CorrectResponse,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,UpdatingTrials.thisRepN,UpdatingTrials.thisTrialN,UpdatingTrials.thisN,UpdatingTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text_intro.started,city_image_update.started,load_video.started,movie.started,end_vid_key.started,end_vid_key.keys,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,fx_cross_prediction.started,key_resp_update.started,button_image_updating.started,key_resp_update.keys,key_resp_update.corr,plate_updating.started,city_text_updating.started,street_text_updating.started,updating_image.started,short_break_key.keys,key_resp_update.rt,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/ST02_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,HERNYÓ UTCA,stimuli/objects/013a.jpg,object,left,1,stimuli/objects/101a.jpg,stimuli/scenes/116b.jpg,stimuli/objects/101b.jpg,stimuli/objects/101a.jpg,stimuli/scenes/116a.jpg,dist2,lure,target,dist1,0,1,1,1,0,68,68,26,,,,,,,,,,,,,1138.2906678169966,1139.3145891856402,1139.3145891856402,1139.3145891856402,1139.3145891856402,1139.3145891856402,1139.3145891856402,left,0,1143.3086048010737,1143.3086048010737,1143.3086048010737,1143.3086048010737,None,1.4958618227392435,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Hippopolis,stimuli/subj_files/ST02_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,TELEP UTCA,stimuli/scenes/043a.jpg,scene,right,1,stimuli/scenes/088a.jpg,stimuli/scenes/102a.jpg,stimuli/scenes/102b.jpg,stimuli/scenes/088b.jpg,stimuli/scenes/088a.jpg,dist1,dist2,lure,target,0,1,1,1,0,69,69,29,,,,,,,,,,,,,1145.3069825917482,1146.3324148282409,1146.3324148282409,1146.3324148282409,1146.3324148282409,1146.3324148282409,1146.3324148282409,down,0,1150.3237408604473,1150.3237408604473,1150.3237408604473,1150.3237408604473,None,2.670300954952836,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Hippopolis,stimuli/subj_files/ST02_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,PIZSAMA UTCA,stimuli/scenes/082a.jpg,scene,right,0,stimuli/scenes/082a.jpg,stimuli/scenes/082b.jpg,stimuli/objects/095a.jpg,stimuli/objects/095b.jpg,stimuli/scenes/082a.jpg,lure,dist1,dist2,target,0,1,1,1,0,70,70,7,,,,,,,,,,,,,1152.3219584822655,1153.3438231647015,1153.3438231647015,1153.3438231647015,1153.3438231647015,1153.3438231647015,1153.3438231647015,down,0,1157.3518349993974,1157.3518349993974,1157.3518349993974,1157.3518349993974,None,0.9540734495967627,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Hippopolis,stimuli/subj_files/ST02_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,FOGAS UTCA,stimuli/scenes/075a.jpg,scene,right,1,stimuli/scenes/061a.jpg,stimuli/scenes/061b.jpg,stimuli/objects/090b.jpg,stimuli/objects/090a.jpg,stimuli/scenes/061a.jpg,lure,dist2,dist1,target,0,1,1,1,0,71,71,39,,,,,,,,,,,,,1159.324180001393,1160.3444744125009,1160.3444744125009,1160.3444744125009,1160.3444744125009,1160.3444744125009,1160.3444744125009,right,0,1164.3519242592156,1164.3519242592156,1164.3519242592156,1164.3519242592156,None,2.2737867776304483,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Hippopolis,stimuli/subj_files/ST02_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,BANÁN UTCA,stimuli/scenes/056a.jpg,scene,right,2,stimuli/objects/110a.jpg,stimuli/scenes/084a.jpg,stimuli/objects/110b.jpg,stimuli/scenes/084b.jpg,stimuli/objects/110a.jpg,dist1,lure,dist2,target,0,1,1,1,0,72,72,11,,,,,,,,,,,,,1166.340791784227,1167.3698721267283,1167.3698721267283,1167.3698721267283,1167.3698721267283,1167.3698721267283,1167.3698721267283,right,0,1171.3573202192783,1171.3573202192783,1171.3573202192783,1171.3573202192783,None,1.599639991298318,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Hippopolis,stimuli/subj_files/ST02_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,KARTON UTCA,stimuli/objects/104a.jpg,object,left,1,stimuli/objects/117a.jpg,stimuli/objects/029b.jpg,stimuli/objects/029a.jpg,stimuli/objects/117b.jpg,stimuli/objects/117a.jpg,dist2,dist1,lure,target,0,1,1,1,0,73,73,79,,,,,,,,,,,,,1173.3563498798758,1174.3837849982083,1174.3837849982083,1174.3837849982083,1174.3837849982083,1174.3837849982083,1174.3837849982083,down,0,1178.4139914941043,1178.4139914941043,1178.4139914941043,1178.4139914941043,None,1.8818695824593306,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Hippopolis,stimuli/subj_files/ST02_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,RÁDIÓ UTCA,stimuli/scenes/094a.jpg,scene,right,1,stimuli/scenes/098a.jpg,stimuli/scenes/087b.jpg,stimuli/scenes/098a.jpg,stimuli/scenes/087a.jpg,stimuli/scenes/098b.jpg,dist2,target,dist1,lure,0,1,1,1,0,74,74,58,,,,,,,,,,,,,1180.3588425964117,1181.3819410409778,1181.3819410409778,1181.3819410409778,1181.3819410409778,1181.3819410409778,1181.3819410409778,left,0,1185.4093497227877,1185.4093497227877,1185.4093497227877,1185.4093497227877,None,3.1553661171346903,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Hippopolis,stimuli/subj_files/ST02_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,CITROM UTCA,stimuli/objects/111a.jpg,object,left,2,stimuli/scenes/049a.jpg,stimuli/scenes/049a.jpg,stimuli/scenes/049b.jpg,stimuli/scenes/002a.jpg,stimuli/scenes/002b.jpg,target,lure,dist1,dist2,0,1,1,1,0,75,75,73,,,,,,,,,,,,,1187.375788712874,1188.4005429558456,1188.4005429558456,1188.4005429558456,1188.4005429558456,1188.4005429558456,1188.4005429558456,down,0,1192.4014560692012,1192.4014560692012,1192.4014560692012,1192.4014560692012,None,3.0489733181893826,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Hippopolis,stimuli/subj_files/ST02_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,KECSKE UTCA,stimuli/objects/012a.jpg,object,left,2,stimuli/scenes/015a.jpg,stimuli/scenes/015a.jpg,stimuli/scenes/015b.jpg,stimuli/scenes/049b.jpg,stimuli/scenes/049a.jpg,target,lure,dist2,dist1,0,1,1,1,0,76,76,28,,,,,,,,,,,,,1194.3851873259991,1195.4114794954658,1195.4114794954658,1195.4114794954658,1195.4114794954658,1195.4114794954658,1195.4114794954658,left,0,1199.4109395872802,1199.4109395872802,1199.4109395872802,1199.4109395872802,None,1.782176174223423,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Hippopolis,stimuli/subj_files/ST02_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,MÁLNA UTCA,stimuli/scenes/115a.jpg,scene,right,2,stimuli/objects/114a.jpg,stimuli/scenes/031b.jpg,stimuli/objects/114a.jpg,stimuli/scenes/031a.jpg,stimuli/objects/114b.jpg,dist2,target,dist1,lure,0,1,1,1,0,77,77,15,,,,,,,,,,,,,1201.3945971354842,1202.4263154324144,1202.4263154324144,1202.4263154324144,1202.4263154324144,1202.4263154324144,1202.4263154324144,left,0,1206.4250748287886,1206.4250748287886,1206.4250748287886,1206.4250748287886,None,1.5676122419536114,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Hippopolis,stimuli/subj_files/ST02_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,KORONG UTCA,stimuli/scenes/057a.jpg,scene,right,0,stimuli/scenes/057a.jpg,stimuli/scenes/057b.jpg,stimuli/scenes/057a.jpg,stimuli/objects/063b.jpg,stimuli/objects/063a.jpg,lure,target,dist2,dist1,0,1,1,1,0,78,78,59,,,,,,,,,,,,,1208.3984134942293,1209.429082768038,1209.429082768038,1209.429082768038,1209.429082768038,1209.429082768038,1209.429082768038,down,0,1213.4372756090015,1213.4372756090015,1213.4372756090015,1213.4372756090015,None,1.7319868952035904,,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
Hippopolis,stimuli/subj_files/ST02_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,HARCSA UTCA,stimuli/objects/028a.jpg,object,left,0,stimuli/objects/028a.jpg,stimuli/scenes/008a.jpg,stimuli/objects/028a.jpg,stimuli/objects/028b.jpg,stimuli/scenes/008b.jpg,dist1,target,lure,dist2,0,1,1,1,0,79,79,36,,,,,,,,,,,,,1215.4097714480013,1216.4305354785174,1216.4305354785174,1216.4305354785174,1216.4305354785174,1216.4305354785174,1216.4305354785174,down,0,1220.4531674142927,1220.4531674142927,1220.4531674142927,1220.4531674142927,None,1.9468276221305132,1216.4305354785174,,,,,,,,,,ST02_120922,2022-12-09_14h59.08.284,Hippopolis_Updating,2022.2.2,60.00220172735682,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,1222.425166575238,1227.4266071561724,,,,,,
