CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,cityname_text.started,cityname_text.stopped,city_image.started,city_image.stopped,plate.started,plate.stopped,city_text.started,city_text.stopped,street_text.started,street_text.stopped,learning_image.started,learning_image.stopped,fx_cross.started,fx_cross.stopped,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/pilot_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,PETÁRDA,stimuli/scenes/023a.jpg,scene,0,stimuli/scenes/023a.jpg,stimuli/scenes/023a.jpg,stimuli/scenes/019b.jpg,stimuli/scenes/019a.jpg,stimuli/scenes/023b.jpg,target,dist2,dist1,lure,0,0,0,0,0,0,0,51,13.999652294907719,None,13.999652294907719,None,17.03103285934776,None,17.03103285934776,None,17.03103285934776,None,17.03103285934776,None,19.929766315966845,None,pilot,2022_Jun_14_1510,Hippopolis_Learning,2021.1.2,59.73086084385516,
Camponello,stimuli/subj_files/pilot_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,MAJORÁNNA,stimuli/scenes/031a.jpg,scene,0,stimuli/scenes/031a.jpg,stimuli/objects/044b.jpg,stimuli/objects/044a.jpg,stimuli/scenes/031b.jpg,stimuli/scenes/031a.jpg,dist2,dist1,lure,target,0,0,0,0,0,1,1,3,,,,,20.969201018102467,None,20.969201018102467,None,20.969201018102467,None,20.969201018102467,None,23.92367214197293,None,pilot,2022_Jun_14_1510,Hippopolis_Learning,2021.1.2,59.73086084385516,
Camponello,stimuli/subj_files/pilot_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,KIRAKÓ,stimuli/scenes/032a.jpg,scene,0,stimuli/scenes/032a.jpg,stimuli/scenes/032a.jpg,stimuli/scenes/064a.jpg,stimuli/scenes/032b.jpg,stimuli/scenes/064b.jpg,target,dist1,lure,dist2,0,0,0,0,0,2,2,46,,,,,24.966011334676296,None,24.966011334676296,None,24.966011334676296,None,24.966011334676296,None,27.932257167994976,None,pilot,2022_Jun_14_1510,Hippopolis_Learning,2021.1.2,59.73086084385516,
