CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,clock0.started,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,BAGOLY UTCA,stimuli/scenes/029a.jpg,scene,2,stimuli/objects/028a.jpg,stimuli/objects/028b.jpg,stimuli/objects/028a.jpg,stimuli/scenes/028a.jpg,stimuli/scenes/028b.jpg,lure,target,dist1,dist2,0,1,1,0,0,59,59,21,,,,,,,618.5306447036564,619.5774990599602,619.5774990599602,619.5774990599602,619.5774990599602,619.5774990599602,619.5774990599602,619.5774990599602,619.5774990599602,619.5774990599602,619.5774990599602,619.5774990599602,619.5774990599602,f,3.0852207839488983,target,None,,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,EGÉR UTCA,stimuli/scenes/071a.jpg,scene,1,stimuli/scenes/116a.jpg,stimuli/scenes/116b.jpg,stimuli/scenes/116a.jpg,stimuli/scenes/009b.jpg,stimuli/scenes/009a.jpg,lure,target,dist2,dist1,0,1,1,0,0,60,60,29,,,,,,,622.6872065644711,623.7246666625142,623.7246666625142,623.7246666625142,623.7246666625142,623.7246666625142,623.7246666625142,623.7246666625142,623.7246666625142,623.7246666625142,623.7246666625142,623.7246666625142,623.7246666625142,f,3.0017986074090004,target,None,,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,HERNYÓ UTCA,stimuli/scenes/066a.jpg,scene,1,stimuli/scenes/037a.jpg,stimuli/scenes/037a.jpg,stimuli/objects/045b.jpg,stimuli/scenes/037b.jpg,stimuli/objects/045a.jpg,target,dist2,lure,dist1,0,1,1,0,0,61,61,5,,,,,,,626.7537249233574,627.7866427730769,627.7866427730769,627.7866427730769,627.7866427730769,627.7866427730769,627.7866427730769,627.7866427730769,627.7866427730769,627.7866427730769,627.7866427730769,627.7866427730769,627.7866427730769,d,3.6915140617638826,target,None,631.2542048059404,627.7866427730769,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,FÉNYKÉP UTCA,stimuli/scenes/010a.jpg,scene,1,stimuli/scenes/078a.jpg,stimuli/scenes/088a.jpg,stimuli/scenes/078a.jpg,stimuli/scenes/088b.jpg,stimuli/scenes/078b.jpg,dist1,target,dist2,lure,0,1,1,0,0,62,62,32,,,,,,,631.4952512420714,632.5408628173172,632.5408628173172,632.5408628173172,632.5408628173172,632.5408628173172,632.5408628173172,632.5408628173172,632.5408628173172,632.5408628173172,632.5408628173172,632.5408628173172,632.5408628173172,f,3.7371959257870913,target,None,635.991467539221,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,CSILLAG UTCA,stimuli/scenes/083a.jpg,scene,1,stimuli/scenes/117a.jpg,stimuli/scenes/117a.jpg,stimuli/scenes/117b.jpg,stimuli/objects/041a.jpg,stimuli/objects/041b.jpg,target,lure,dist1,dist2,0,1,1,0,0,63,63,15,,,,,,,636.3105656951666,637.3765124231577,637.3765124231577,637.3765124231577,637.3765124231577,637.3765124231577,637.3765124231577,637.3765124231577,637.3765124231577,637.3765124231577,637.3765124231577,637.3765124231577,637.3765124231577,f,2.3737495001405478,lure,None,,637.3765124231577,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TELEP UTCA,stimuli/scenes/048a.jpg,scene,2,stimuli/objects/120a.jpg,stimuli/objects/120a.jpg,stimuli/objects/120b.jpg,stimuli/scenes/119b.jpg,stimuli/scenes/119a.jpg,target,lure,dist2,dist1,0,1,1,0,0,64,64,75,,,,,,,639.7812399696559,640.8355329763144,640.8355329763144,640.8355329763144,640.8355329763144,640.8355329763144,640.8355329763144,640.8355329763144,640.8355329763144,640.8355329763144,640.8355329763144,640.8355329763144,640.8355329763144,d,2.8986831959336996,target,None,,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MUSTÁR UTCA,stimuli/scenes/050a.jpg,scene,0,stimuli/scenes/050a.jpg,stimuli/objects/009a.jpg,stimuli/objects/009b.jpg,stimuli/scenes/050a.jpg,stimuli/scenes/050b.jpg,dist1,dist2,target,lure,0,1,1,0,0,65,65,78,,,,,,,643.7641557659954,644.82134735398,644.82134735398,644.82134735398,644.82134735398,644.82134735398,644.82134735398,644.82134735398,644.82134735398,644.82134735398,644.82134735398,644.82134735398,644.82134735398,j,1.953259527683258,target,None,,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,CSAVAR UTCA,stimuli/objects/078a.jpg,object,0,stimuli/objects/078a.jpg,stimuli/objects/078b.jpg,stimuli/objects/024b.jpg,stimuli/objects/078a.jpg,stimuli/objects/024a.jpg,lure,dist2,target,dist1,0,1,1,0,0,66,66,10,,,,,,,646.7954691331834,647.8336243312806,647.8336243312806,647.8336243312806,647.8336243312806,647.8336243312806,647.8336243312806,647.8336243312806,647.8336243312806,647.8336243312806,647.8336243312806,647.8336243312806,647.8336243312806,j,2.845111409202218,target,None,,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KORONG UTCA,stimuli/scenes/065a.jpg,scene,1,stimuli/scenes/004a.jpg,stimuli/scenes/004a.jpg,stimuli/scenes/011b.jpg,stimuli/scenes/011a.jpg,stimuli/scenes/004b.jpg,target,dist2,dist1,lure,0,1,1,0,0,67,67,53,,,,,,,650.7110476922244,651.7503417953849,651.7503417953849,651.7503417953849,651.7503417953849,651.7503417953849,651.7503417953849,651.7503417953849,651.7503417953849,651.7503417953849,651.7503417953849,651.7503417953849,651.7503417953849,d,2.3031995687633753,target,None,,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TOLLTARTÓ UTCA,stimuli/objects/032a.jpg,object,2,stimuli/scenes/119a.jpg,stimuli/scenes/119a.jpg,stimuli/scenes/104b.jpg,stimuli/scenes/104a.jpg,stimuli/scenes/119b.jpg,target,dist2,dist1,lure,0,1,1,0,0,68,68,67,,,,,,,654.0700445473194,655.1232036259025,655.1232036259025,655.1232036259025,655.1232036259025,655.1232036259025,655.1232036259025,655.1232036259025,655.1232036259025,655.1232036259025,655.1232036259025,655.1232036259025,655.1232036259025,k,2.659148558974266,lure,None,,,,,,,,,,,,,,,student1,2022-10-25_16h15.10.114,Hippopolis_4AFCT,2022.2.2,60.009145267768794,
