CityName,StimuliFile,CityImage,StreetSign,VideoFile,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,clock0.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,HORGONY UTCA,stimuli/objects/105a.jpg,object,0,stimuli/objects/105a.jpg,stimuli/objects/105a.jpg,stimuli/scenes/017a.jpg,stimuli/scenes/017b.jpg,stimuli/objects/105b.jpg,target,dist1,dist2,lure,0,1,1,0,0,47,47,75,,,,,,,552.173808099702,553.2173654772341,553.2173654772341,553.2173654772341,553.2173654772341,553.2173654772341,553.2173654772341,553.2173654772341,553.2173654772341,553.2173654772341,553.2173654772341,553.2173654772341,553.2173654772341,556.6808001436293,d,4.531368033960462,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,LÉPCSŐ UTCA,stimuli/objects/060a.jpg,object,0,stimuli/objects/060a.jpg,stimuli/scenes/066b.jpg,stimuli/objects/060a.jpg,stimuli/objects/060b.jpg,stimuli/scenes/066a.jpg,dist2,target,lure,dist1,0,1,1,0,0,48,48,11,,,,,,,557.788939865306,558.8680406101048,558.8680406101048,558.8680406101048,558.8680406101048,558.8680406101048,558.8680406101048,558.8680406101048,558.8680406101048,558.8680406101048,558.8680406101048,558.8680406101048,558.8680406101048,,f,3.2164507377892733,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,TALICSKA UTCA,stimuli/scenes/050a.jpg,scene,1,stimuli/scenes/099a.jpg,stimuli/objects/001b.jpg,stimuli/scenes/099a.jpg,stimuli/scenes/099b.jpg,stimuli/objects/001a.jpg,dist2,target,lure,dist1,0,1,1,0,0,49,49,24,,,,,,,562.1162877772003,563.1687772590667,563.1687772590667,563.1687772590667,563.1687772590667,563.1687772590667,563.1687772590667,563.1687772590667,563.1687772590667,563.1687772590667,563.1687772590667,563.1687772590667,563.1687772590667,,f,2.419405110180378,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,LEGELŐ UTCA,stimuli/scenes/053a.jpg,scene,1,stimuli/scenes/119a.jpg,stimuli/scenes/119b.jpg,stimuli/scenes/089b.jpg,stimuli/scenes/089a.jpg,stimuli/scenes/119a.jpg,lure,dist2,dist1,target,0,1,1,0,0,50,50,77,,,,,,,565.6106486096978,566.6716263890266,566.6716263890266,566.6716263890266,566.6716263890266,566.6716263890266,566.6716263890266,566.6716263890266,566.6716263890266,566.6716263890266,566.6716263890266,566.6716263890266,566.6716263890266,,d,3.0289098396897316,lure,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KRÉTA UTCA,stimuli/scenes/066a.jpg,scene,0,stimuli/scenes/066a.jpg,stimuli/objects/094a.jpg,stimuli/scenes/066b.jpg,stimuli/objects/094b.jpg,stimuli/scenes/066a.jpg,dist1,lure,dist2,target,0,1,1,0,0,51,51,22,,,,,,,569.724911114201,570.7967025861144,570.7967025861144,570.7967025861144,570.7967025861144,570.7967025861144,570.7967025861144,570.7967025861144,570.7967025861144,570.7967025861144,570.7967025861144,570.7967025861144,570.7967025861144,,k,1.7194289341568947,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,CSILLAG UTCA,stimuli/scenes/006a.jpg,scene,2,stimuli/objects/082a.jpg,stimuli/scenes/109b.jpg,stimuli/objects/082a.jpg,stimuli/objects/082b.jpg,stimuli/scenes/109a.jpg,dist2,target,lure,dist1,0,1,1,0,0,52,52,47,,,,,,,572.5350233633071,573.6119364872575,573.6119364872575,573.6119364872575,573.6119364872575,573.6119364872575,573.6119364872575,573.6119364872575,573.6119364872575,573.6119364872575,573.6119364872575,573.6119364872575,573.6119364872575,,j,2.680799763649702,lure,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,BONBON UTCA,stimuli/objects/041a.jpg,object,0,stimuli/objects/041a.jpg,stimuli/scenes/079a.jpg,stimuli/scenes/079b.jpg,stimuli/objects/041a.jpg,stimuli/objects/041b.jpg,dist1,dist2,target,lure,0,1,1,0,0,53,53,4,,,,,,,576.3179234843701,577.3611798081547,577.3611798081547,577.3611798081547,577.3611798081547,577.3611798081547,577.3611798081547,577.3611798081547,577.3611798081547,577.3611798081547,577.3611798081547,577.3611798081547,577.3611798081547,,j,2.803911332041025,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,LIGET UTCA,stimuli/scenes/085a.jpg,scene,0,stimuli/scenes/085a.jpg,stimuli/scenes/085b.jpg,stimuli/objects/074a.jpg,stimuli/objects/074b.jpg,stimuli/scenes/085a.jpg,lure,dist1,dist2,target,0,1,1,0,0,54,54,38,,,,,,,580.1902273707092,581.2431507054716,581.2431507054716,581.2431507054716,581.2431507054716,581.2431507054716,581.2431507054716,581.2431507054716,581.2431507054716,581.2431507054716,581.2431507054716,581.2431507054716,581.2431507054716,,k,1.7527433168143034,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,PADLÓ UTCA,stimuli/objects/026a.jpg,object,0,stimuli/objects/026a.jpg,stimuli/objects/026b.jpg,stimuli/scenes/025a.jpg,stimuli/objects/026a.jpg,stimuli/scenes/025b.jpg,lure,dist1,target,dist2,0,1,1,0,0,55,55,37,,,,,,,583.0275623183697,584.0533777158707,584.0533777158707,584.0533777158707,584.0533777158707,584.0533777158707,584.0533777158707,584.0533777158707,584.0533777158707,584.0533777158707,584.0533777158707,584.0533777158707,584.0533777158707,,j,1.967037295922637,target,None,584.0533777158707,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,GYŰRŰ UTCA,stimuli/scenes/022a.jpg,scene,1,stimuli/scenes/058a.jpg,stimuli/scenes/099b.jpg,stimuli/scenes/099a.jpg,stimuli/scenes/058a.jpg,stimuli/scenes/058b.jpg,dist2,dist1,target,lure,0,1,1,0,0,56,56,72,,,,,,,586.0455002356321,587.0697279442102,587.0697279442102,587.0697279442102,587.0697279442102,587.0697279442102,587.0697279442102,587.0697279442102,587.0697279442102,587.0697279442102,587.0697279442102,587.0697279442102,587.0697279442102,,j,2.119097338989377,target,None,,,,,,,,,,,,,,ST01_112822,2022-11-29_10h34.50.560,Hippopolis_4AFCT,2022.2.2,60.060034425918744,
