CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,learning_image.started,short_break_key.keys,fx_cross.stopped,plate.stopped,city_text.stopped,street_text.stopped,learning_image.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,test_text.started,key_resp.started,key_resp.keys,key_resp.rt,plate_test.started,city_text_test.started,street_text_test.started,test_question.started,test_key_resp.started,button_image.started,test_key_resp.keys,verbal_test_key_resp.keys,test_key_resp.rt,plate_test.stopped,city_text_test.stopped,street_text_test.stopped,test_question.stopped,test_key_resp.stopped,button_image.stopped,plate_verbal.started,street_text_verbal.started,city_text_verbal.started,question_verbal.started,verbal_test_key_resp.started,verbal_test_key_resp.rt,n_remembered,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KARTON UTCA,stimuli/objects/101a.jpg,object,2,stimuli/scenes/044a.jpg,stimuli/scenes/074a.jpg,stimuli/scenes/044b.jpg,stimuli/scenes/044a.jpg,stimuli/scenes/074b.jpg,dist1,lure,target,dist2,1,0,2,0,0,55,55,8,,,,,,,,,,,1663.7585888999747,1664.769128200016,1664.769128200016,1664.769128200016,1664.769128200016,None,1664.769128200016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,DOMINÓ UTCA,stimuli/scenes/042a.jpg,scene,0,stimuli/scenes/042a.jpg,stimuli/scenes/042a.jpg,stimuli/scenes/042b.jpg,stimuli/objects/070a.jpg,stimuli/objects/070b.jpg,target,lure,dist1,dist2,1,0,2,0,0,56,56,63,,,,,,,,,,,1667.7749058000045,1668.7825023999903,1668.7825023999903,1668.7825023999903,1668.7825023999903,None,1668.7825023999903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TOJÁS UTCA,stimuli/objects/021a.jpg,object,2,stimuli/scenes/034a.jpg,stimuli/scenes/034a.jpg,stimuli/objects/059a.jpg,stimuli/objects/059b.jpg,stimuli/scenes/034b.jpg,target,dist1,dist2,lure,1,0,2,0,0,57,57,37,,,,,,,,,,,1671.7915901000379,1672.80206180003,1672.80206180003,1672.80206180003,1672.80206180003,None,1672.80206180003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,RÓZSA UTCA,stimuli/objects/091a.jpg,object,0,stimuli/objects/091a.jpg,stimuli/objects/091b.jpg,stimuli/objects/078b.jpg,stimuli/objects/078a.jpg,stimuli/objects/091a.jpg,lure,dist2,dist1,target,1,0,2,0,0,58,58,45,,,,,,,,,,,1675.8078513999935,1676.8147077000467,1676.8147077000467,1676.8147077000467,1676.8147077000467,None,1676.8147077000467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MÁLNA UTCA,stimuli/objects/069a.jpg,object,2,stimuli/scenes/053a.jpg,stimuli/objects/073a.jpg,stimuli/objects/073b.jpg,stimuli/scenes/053b.jpg,stimuli/scenes/053a.jpg,dist1,dist2,lure,target,1,0,2,0,0,59,59,14,,,,,,,,,,,1679.824183800025,1680.8291696000379,1680.8291696000379,1680.8291696000379,1680.8291696000379,None,1680.8291696000379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,AJÁNDÉK UTCA,stimuli/scenes/005a.jpg,scene,1,stimuli/scenes/009a.jpg,stimuli/scenes/078b.jpg,stimuli/scenes/078a.jpg,stimuli/scenes/009a.jpg,stimuli/scenes/009b.jpg,dist2,dist1,target,lure,1,0,2,0,0,60,60,28,,,,,,,,,,,1683.8411783999763,1684.841914699995,1684.841914699995,1684.841914699995,1684.841914699995,None,1684.841914699995,1687.8410774000222,1687.8410774000222,1687.8410774000222,1687.8410774000222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,RÁDIÓ UTCA,stimuli/scenes/068a.jpg,scene,1,stimuli/scenes/067a.jpg,stimuli/scenes/018b.jpg,stimuli/scenes/067a.jpg,stimuli/scenes/067b.jpg,stimuli/scenes/018a.jpg,dist2,target,lure,dist1,1,0,2,0,0,61,61,44,,,,,,,,,,,1687.8410774000222,1688.8417068000417,1688.8417068000417,1688.8417068000417,1688.8417068000417,None,1688.8417068000417,1691.8409013999626,1691.8409013999626,1691.8409013999626,1691.8409013999626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TELEP UTCA,stimuli/scenes/048a.jpg,scene,2,stimuli/objects/120a.jpg,stimuli/objects/120a.jpg,stimuli/objects/120b.jpg,stimuli/scenes/119b.jpg,stimuli/scenes/119a.jpg,target,lure,dist2,dist1,1,0,2,0,0,62,62,75,,,,,,,,,,,1691.8409013999626,1692.8418759000488,1692.8418759000488,1692.8418759000488,1692.8418759000488,None,1692.8418759000488,1695.8413299999665,1695.8413299999665,1695.8413299999665,1695.8413299999665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MOCSÁR UTCA,stimuli/objects/080a.jpg,object,0,stimuli/objects/080a.jpg,stimuli/objects/080b.jpg,stimuli/objects/080a.jpg,stimuli/scenes/043b.jpg,stimuli/scenes/043a.jpg,lure,target,dist2,dist1,1,0,2,0,0,63,63,17,,,,,,,,,,,1695.8413299999665,1696.8464932000497,1696.8464932000497,1696.8464932000497,1696.8464932000497,None,1696.8464932000497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,HEGEDŰ UTCA,stimuli/scenes/113a.jpg,scene,2,stimuli/objects/036a.jpg,stimuli/objects/036b.jpg,stimuli/scenes/059b.jpg,stimuli/scenes/059a.jpg,stimuli/objects/036a.jpg,lure,dist2,dist1,target,1,0,2,0,0,64,64,69,,,,,,,,,,,1699.857580199954,1700.8580829000566,1700.8580829000566,1700.8580829000566,1700.8580829000566,None,1700.8580829000566,1703.8574521000264,1703.8574521000264,1703.8574521000264,1703.8574521000264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PADLÓ UTCA,stimuli/objects/100a.jpg,object,0,stimuli/objects/100a.jpg,stimuli/scenes/058a.jpg,stimuli/scenes/058b.jpg,stimuli/objects/100a.jpg,stimuli/objects/100b.jpg,dist1,dist2,target,lure,1,0,2,0,0,65,65,59,,,,,,,,,,,1703.8574521000264,1704.8583725000499,1704.8583725000499,1704.8583725000499,1704.8583725000499,None,1704.8583725000499,1707.8578316000057,1707.8578316000057,1707.8578316000057,1707.8578316000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,FOGAS UTCA,stimuli/scenes/025a.jpg,scene,1,stimuli/scenes/018a.jpg,stimuli/scenes/018b.jpg,stimuli/scenes/064a.jpg,stimuli/scenes/018a.jpg,stimuli/scenes/064b.jpg,lure,dist1,target,dist2,1,0,2,0,0,66,66,38,,,,,,,,,,,1707.8578316000057,1708.8593559999717,1708.8593559999717,1708.8593559999717,1708.8593559999717,None,1708.8593559999717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MOTOR UTCA,stimuli/objects/097a.jpg,object,1,stimuli/objects/071a.jpg,stimuli/objects/015b.jpg,stimuli/objects/071b.jpg,stimuli/objects/071a.jpg,stimuli/objects/015a.jpg,dist2,lure,target,dist1,1,0,2,0,0,67,67,36,,,,,,,,,,,1711.8743960000575,1712.8861032000277,1712.8861032000277,1712.8861032000277,1712.8861032000277,None,1712.8861032000277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,HAJÓ UTCA,stimuli/objects/086a.jpg,object,1,stimuli/objects/041a.jpg,stimuli/scenes/014a.jpg,stimuli/scenes/014b.jpg,stimuli/objects/041a.jpg,stimuli/objects/041b.jpg,dist1,dist2,target,lure,1,0,2,0,0,68,68,71,,,,,,,,,,,1715.8910100000212,1716.8915846999735,1716.8915846999735,1716.8915846999735,1716.8915846999735,None,1716.8915846999735,1719.8909596999874,1719.8909596999874,1719.8909596999874,1719.8909596999874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,OLDAL UTCA,stimuli/scenes/093a.jpg,scene,2,stimuli/objects/107a.jpg,stimuli/objects/107b.jpg,stimuli/objects/022a.jpg,stimuli/objects/107a.jpg,stimuli/objects/022b.jpg,lure,dist1,target,dist2,1,0,2,0,0,69,69,11,,,,,,,,,,,1719.8909596999874,1720.8977530000266,1720.8977530000266,1720.8977530000266,1720.8977530000266,None,1720.8977530000266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PÁLMAFA UTCA,stimuli/objects/090a.jpg,object,1,stimuli/objects/007a.jpg,stimuli/objects/053a.jpg,stimuli/objects/007a.jpg,stimuli/objects/053b.jpg,stimuli/objects/007b.jpg,dist1,target,dist2,lure,1,0,2,0,0,70,70,12,,,,,,,,,,,1723.9070945000276,1724.9212134999689,1724.9212134999689,1724.9212134999689,1724.9212134999689,None,1724.9212134999689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MOGYORÓ UTCA,stimuli/objects/106a.jpg,object,1,stimuli/objects/103a.jpg,stimuli/scenes/116a.jpg,stimuli/objects/103b.jpg,stimuli/objects/103a.jpg,stimuli/scenes/116b.jpg,dist1,lure,target,dist2,1,0,2,0,0,71,71,54,,,,,,,,,,,1727.9240091999527,1728.9248607000336,1728.9248607000336,1728.9248607000336,1728.9248607000336,None,1728.9248607000336,1731.9241295000538,1731.9241295000538,1731.9241295000538,1731.9241295000538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TALICSKA UTCA,stimuli/objects/014a.jpg,object,1,stimuli/objects/108a.jpg,stimuli/objects/109a.jpg,stimuli/objects/109b.jpg,stimuli/objects/108a.jpg,stimuli/objects/108b.jpg,dist1,dist2,target,lure,1,0,2,0,0,72,72,13,,,,,,,,,,,1731.9241295000538,1732.9373510000296,1732.9373510000296,1732.9373510000296,1732.9373510000296,None,1732.9373510000296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KAKAS UTCA,stimuli/objects/002a.jpg,object,2,stimuli/scenes/074a.jpg,stimuli/scenes/074b.jpg,stimuli/scenes/074a.jpg,stimuli/scenes/070a.jpg,stimuli/scenes/070b.jpg,lure,target,dist1,dist2,1,0,2,0,0,73,73,24,,,,,,,,,,,1735.9401989000617,1736.9450634999666,1736.9450634999666,1736.9450634999666,1736.9450634999666,None,1736.9450634999666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,OROSZLÁN UTCA,stimuli/scenes/072a.jpg,scene,0,stimuli/scenes/072a.jpg,stimuli/scenes/072a.jpg,stimuli/scenes/072b.jpg,stimuli/scenes/027b.jpg,stimuli/scenes/027a.jpg,target,lure,dist2,dist1,1,0,2,0,0,74,74,66,,,,,,,,,,,1739.957050099969,1740.957868300029,1740.957868300029,1740.957868300029,1740.957868300029,None,1740.957868300029,1743.9571087000659,1743.9571087000659,1743.9571087000659,1743.9571087000659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,FÉNYKÉP UTCA,stimuli/scenes/010a.jpg,scene,1,stimuli/scenes/078a.jpg,stimuli/scenes/088a.jpg,stimuli/scenes/078a.jpg,stimuli/scenes/088b.jpg,stimuli/scenes/078b.jpg,dist1,target,dist2,lure,1,0,2,0,0,75,75,32,,,,,,,,,,,1743.9571087000659,1744.9571498000296,1744.9571498000296,1744.9571498000296,1744.9571498000296,None,1744.9571498000296,1747.9568614000455,1747.9568614000455,1747.9568614000455,1747.9568614000455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PAPAGÁJ UTCA,stimuli/objects/093a.jpg,object,2,stimuli/scenes/097a.jpg,stimuli/scenes/097a.jpg,stimuli/scenes/109b.jpg,stimuli/scenes/109a.jpg,stimuli/scenes/097b.jpg,target,dist2,dist1,lure,1,0,2,0,0,76,76,55,,,,,,,,,,,1747.9568614000455,1748.972168499953,1748.972168499953,1748.972168499953,1748.972168499953,None,1748.972168499953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KERÉK UTCA,stimuli/scenes/096a.jpg,scene,1,stimuli/scenes/041a.jpg,stimuli/scenes/117a.jpg,stimuli/scenes/041b.jpg,stimuli/scenes/041a.jpg,stimuli/scenes/117b.jpg,dist1,lure,target,dist2,1,0,2,0,0,77,77,20,,,,,,,,,,,1751.9733971999958,1752.9734778000275,1752.9734778000275,1752.9734778000275,1752.9734778000275,None,1752.9734778000275,1755.9737494,1755.9737494,1755.9737494,1755.9737494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,CSAVAR UTCA,stimuli/objects/078a.jpg,object,0,stimuli/objects/078a.jpg,stimuli/objects/078b.jpg,stimuli/objects/024b.jpg,stimuli/objects/078a.jpg,stimuli/objects/024a.jpg,lure,dist2,target,dist1,1,0,2,0,0,78,78,10,,,,,,,,,,,1755.9737494,1756.9743528000545,1756.9743528000545,1756.9743528000545,1756.9743528000545,None,1756.9743528000545,1759.9732862999663,1759.9732862999663,1759.9732862999663,1759.9732862999663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,BONBON UTCA,stimuli/objects/095a.jpg,object,2,stimuli/scenes/007a.jpg,stimuli/objects/028b.jpg,stimuli/objects/028a.jpg,stimuli/scenes/007a.jpg,stimuli/scenes/007b.jpg,dist2,dist1,target,lure,1,0,2,0,0,79,79,72,,,,,,,,,,,1759.9732862999663,1760.9871392999776,1760.9871392999776,1760.9871392999776,1760.9871392999776,None,1760.9871392999776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_13h10.18.953,Hippopolis_Learning,2022.2.4,59.97350369980095,
