CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,clock0.started,clock0.stopped,key_resp.keys,test_resp,short_break_key.keys,fx_cross.stopped,key_resp.rt,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,POLIP UTCA,stimuli/scenes/077a.jpg,scene,0,stimuli/scenes/077a.jpg,stimuli/scenes/077b.jpg,stimuli/scenes/077a.jpg,stimuli/scenes/091b.jpg,stimuli/scenes/091a.jpg,lure,target,dist2,dist1,0,0,0,1,0,41,41,49,,,,,,,184.67143019998912,185.69812049996108,185.69812049996108,185.69812049996108,185.69812049996108,185.69812049996108,185.69812049996108,185.69812049996108,185.69812049996108,185.69812049996108,185.69812049996108,185.69812049996108,185.69812049996108,,,f,target,None,185.69812049996108,2.604578600032255,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,TELEFON UTCA,stimuli/scenes/017a.jpg,scene,0,stimuli/scenes/017a.jpg,stimuli/objects/094b.jpg,stimuli/scenes/017b.jpg,stimuli/scenes/017a.jpg,stimuli/objects/094a.jpg,dist2,lure,target,dist1,0,0,0,1,0,42,42,27,,,,,,,188.3216134000104,189.3396725000348,189.3396725000348,189.3396725000348,189.3396725000348,189.3396725000348,189.3396725000348,189.3396725000348,189.3396725000348,189.3396725000348,189.3396725000348,189.3396725000348,189.3396725000348,,,j,target,None,189.3396725000348,2.3045508000068367,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,PAPRIKA UTCA,stimuli/objects/033a.jpg,object,0,stimuli/objects/033a.jpg,stimuli/scenes/023a.jpg,stimuli/objects/033b.jpg,stimuli/scenes/023b.jpg,stimuli/objects/033a.jpg,dist1,lure,dist2,target,0,0,0,1,0,43,43,30,,,,,,,191.67154829995707,192.68590769998264,192.68590769998264,192.68590769998264,192.68590769998264,192.68590769998264,192.68590769998264,192.68590769998264,192.68590769998264,192.68590769998264,192.68590769998264,192.68590769998264,192.68590769998264,196.17232240003068,,d,dist1,None,192.68590769998264,3.4942905000643805,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,TORONY UTCA,stimuli/scenes/094a.jpg,scene,2,stimuli/objects/054a.jpg,stimuli/scenes/001a.jpg,stimuli/scenes/001b.jpg,stimuli/objects/054b.jpg,stimuli/objects/054a.jpg,dist1,dist2,lure,target,0,0,0,1,0,44,44,62,,,,,,,196.20436620002147,197.21239739994053,197.21239739994053,197.21239739994053,197.21239739994053,197.21239739994053,197.21239739994053,197.21239739994053,197.21239739994053,197.21239739994053,197.21239739994053,197.21239739994053,197.21239739994053,,,k,target,space,197.21239739994053,3.0551337000215426,200.2877377999248,200.2877377999248,3.9624820000026375,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,LABDA UTCA,stimuli/objects/082a.jpg,object,0,stimuli/objects/082a.jpg,stimuli/scenes/049a.jpg,stimuli/scenes/049b.jpg,stimuli/objects/082b.jpg,stimuli/objects/082a.jpg,dist1,dist2,lure,target,0,0,0,1,0,45,45,72,,,,,,,204.2714246000396,205.28704460000154,205.28704460000154,205.28704460000154,205.28704460000154,205.28704460000154,205.28704460000154,205.28704460000154,205.28704460000154,205.28704460000154,205.28704460000154,205.28704460000154,205.28704460000154,,,k,target,None,205.28704460000154,1.9715890999650583,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,FÉSZEK UTCA,stimuli/objects/042a.jpg,object,1,stimuli/objects/044a.jpg,stimuli/scenes/020b.jpg,stimuli/objects/044a.jpg,stimuli/scenes/020a.jpg,stimuli/objects/044b.jpg,dist2,target,dist1,lure,0,0,0,1,0,46,46,10,,,,,,,207.28773039998487,208.32587499998044,208.32587499998044,208.32587499998044,208.32587499998044,208.32587499998044,208.32587499998044,208.32587499998044,208.32587499998044,208.32587499998044,208.32587499998044,208.32587499998044,208.32587499998044,,,f,target,None,208.32587499998044,2.3654267999809235,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,TÁNYÉR UTCA,stimuli/objects/118a.jpg,object,0,stimuli/objects/118a.jpg,stimuli/objects/102b.jpg,stimuli/objects/102a.jpg,stimuli/objects/118b.jpg,stimuli/objects/118a.jpg,dist2,dist1,lure,target,0,0,0,1,0,47,47,28,,,,,,,210.7210091999732,211.7488191999728,211.7488191999728,211.7488191999728,211.7488191999728,211.7488191999728,211.7488191999728,211.7488191999728,211.7488191999728,211.7488191999728,211.7488191999728,211.7488191999728,211.7488191999728,,,f,dist1,None,211.7488191999728,3.2975546999368817,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,VIHAR UTCA,stimuli/objects/048a.jpg,object,2,stimuli/scenes/054a.jpg,stimuli/scenes/054b.jpg,stimuli/scenes/100b.jpg,stimuli/scenes/054a.jpg,stimuli/scenes/100a.jpg,lure,dist2,target,dist1,0,0,0,1,0,48,48,65,,,,,,,215.0705062999623,216.07826069998555,216.07826069998555,216.07826069998555,216.07826069998555,216.07826069998555,216.07826069998555,216.07826069998555,216.07826069998555,216.07826069998555,216.07826069998555,216.07826069998555,216.07826069998555,,,j,target,None,216.07826069998555,2.724095799960196,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,HARCSA UTCA,stimuli/scenes/080a.jpg,scene,2,stimuli/objects/029a.jpg,stimuli/scenes/054b.jpg,stimuli/scenes/054a.jpg,stimuli/objects/029b.jpg,stimuli/objects/029a.jpg,dist2,dist1,lure,target,0,0,0,1,0,49,49,59,,,,,,,218.833714999957,219.8423164000269,219.8423164000269,219.8423164000269,219.8423164000269,219.8423164000269,219.8423164000269,219.8423164000269,219.8423164000269,219.8423164000269,219.8423164000269,219.8423164000269,219.8423164000269,,,k,target,None,219.8423164000269,3.0115652000531554,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,VÁSÁR UTCA,stimuli/scenes/089a.jpg,scene,0,stimuli/scenes/089a.jpg,stimuli/scenes/089a.jpg,stimuli/scenes/089b.jpg,stimuli/scenes/082b.jpg,stimuli/scenes/082a.jpg,target,lure,dist2,dist1,0,0,0,1,0,50,50,41,,,,,,,222.87086000002455,223.89103569998406,223.89103569998406,223.89103569998406,223.89103569998406,223.89103569998406,223.89103569998406,223.89103569998406,223.89103569998406,223.89103569998406,223.89103569998406,223.89103569998406,223.89103569998406,,,d,target,None,223.89103569998406,2.3349868000950664,,,,,,,,,,,,,,student1,2022-10-25_12h27.50.968,Hippopolis_4AFCT,2022.2.4,59.76636134237672,
