CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,learning_image.started,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,test_text.started,key_resp.started,key_resp.keys,key_resp.rt,plate_test.started,city_text_test.started,street_text_test.started,test_question.started,test_key_resp.started,button_image.started,test_key_resp.keys,verbal_test_key_resp.keys,test_key_resp.rt,plate_verbal.started,street_text_verbal.started,city_text_verbal.started,question_verbal.started,verbal_test_key_resp.started,verbal_test_key_resp.rt,n_remembered,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,FOGAS UTCA,stimuli/scenes/025a.jpg,scene,1,stimuli/scenes/018a.jpg,stimuli/scenes/018b.jpg,stimuli/scenes/064a.jpg,stimuli/scenes/018a.jpg,stimuli/scenes/064b.jpg,lure,dist1,target,dist2,0,0,0,0,0,9,9,38,,,,,,,,,,,68.80058767646551,69.84142561629415,69.84142561629415,69.84142561629415,69.84142561629415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_15h08.33.610,Hippopolis_Learning,2022.2.2,59.00494036260012,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KULLANCS UTCA,stimuli/objects/089a.jpg,object,0,stimuli/objects/089a.jpg,stimuli/scenes/072a.jpg,stimuli/objects/089a.jpg,stimuli/scenes/072b.jpg,stimuli/objects/089b.jpg,dist1,target,dist2,lure,0,0,0,0,0,10,10,34,,,,,,,,,,,72.80423795990646,73.83903117664158,73.83903117664158,73.83903117664158,73.83903117664158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_15h08.33.610,Hippopolis_Learning,2022.2.2,59.00494036260012,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KÖTÉL UTCA,stimuli/objects/051a.jpg,object,0,stimuli/objects/051a.jpg,stimuli/scenes/024b.jpg,stimuli/objects/051b.jpg,stimuli/scenes/024a.jpg,stimuli/objects/051a.jpg,dist2,lure,dist1,target,0,0,0,0,0,11,11,7,,,,,,,,,,,76.81638400256634,77.86014446802437,77.86014446802437,77.86014446802437,77.86014446802437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_15h08.33.610,Hippopolis_Learning,2022.2.2,59.00494036260012,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KARTON UTCA,stimuli/objects/101a.jpg,object,2,stimuli/scenes/044a.jpg,stimuli/scenes/074a.jpg,stimuli/scenes/044b.jpg,stimuli/scenes/044a.jpg,stimuli/scenes/074b.jpg,dist1,lure,target,dist2,0,0,0,0,0,12,12,8,,,,,,,,,,,80.81891683861613,81.84684956632555,81.84684956632555,81.84684956632555,81.84684956632555,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_15h08.33.610,Hippopolis_Learning,2022.2.2,59.00494036260012,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,SZOMSZÉD UTCA,stimuli/objects/026a.jpg,object,1,stimuli/objects/004a.jpg,stimuli/objects/027b.jpg,stimuli/objects/004b.jpg,stimuli/objects/004a.jpg,stimuli/objects/027a.jpg,dist2,lure,target,dist1,0,0,0,0,0,13,13,65,,,,,,,,,,,84.82694546878338,85.87190952897072,85.87190952897072,85.87190952897072,85.87190952897072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_15h08.33.610,Hippopolis_Learning,2022.2.2,59.00494036260012,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,OROSZLÁN UTCA,stimuli/scenes/072a.jpg,scene,0,stimuli/scenes/072a.jpg,stimuli/scenes/072a.jpg,stimuli/scenes/072b.jpg,stimuli/scenes/027b.jpg,stimuli/scenes/027a.jpg,target,lure,dist2,dist1,0,0,0,0,0,14,14,66,,,,,,,,,,,88.83827698603272,89.8762381169945,89.8762381169945,89.8762381169945,89.8762381169945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_15h08.33.610,Hippopolis_Learning,2022.2.2,59.00494036260012,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,BOLYGÓ UTCA,stimuli/scenes/118a.jpg,scene,1,stimuli/scenes/087a.jpg,stimuli/objects/011a.jpg,stimuli/scenes/087b.jpg,stimuli/objects/011b.jpg,stimuli/scenes/087a.jpg,dist1,lure,dist2,target,0,0,0,0,0,15,15,31,,,,,,,,,,,92.8388706985861,93.8954620435834,93.8954620435834,93.8954620435834,93.8954620435834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_15h08.33.610,Hippopolis_Learning,2022.2.2,59.00494036260012,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,RÁDIÓ UTCA,stimuli/scenes/068a.jpg,scene,1,stimuli/scenes/067a.jpg,stimuli/scenes/018b.jpg,stimuli/scenes/067a.jpg,stimuli/scenes/067b.jpg,stimuli/scenes/018a.jpg,dist2,target,lure,dist1,0,0,0,0,0,16,16,44,,,,,,,,,,,96.85162911377847,97.88029457256198,97.88029457256198,97.88029457256198,97.88029457256198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_15h08.33.610,Hippopolis_Learning,2022.2.2,59.00494036260012,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,HEGESZTŐ UTCA,stimuli/scenes/043a.jpg,scene,0,stimuli/scenes/043a.jpg,stimuli/scenes/043b.jpg,stimuli/scenes/043a.jpg,stimuli/objects/062a.jpg,stimuli/objects/062b.jpg,lure,target,dist1,dist2,0,0,0,0,0,17,17,77,,,,,,,,,,,100.85510181076825,101.90602786280215,101.90602786280215,101.90602786280215,101.90602786280215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_15h08.33.610,Hippopolis_Learning,2022.2.2,59.00494036260012,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TOLLTARTÓ UTCA,stimuli/objects/032a.jpg,object,2,stimuli/scenes/119a.jpg,stimuli/scenes/119a.jpg,stimuli/scenes/104b.jpg,stimuli/scenes/104a.jpg,stimuli/scenes/119b.jpg,target,dist2,dist1,lure,0,0,0,0,0,18,18,67,,,,,,,,,,,104.861622992903,105.91044415347278,105.91044415347278,105.91044415347278,105.91044415347278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_15h08.33.610,Hippopolis_Learning,2022.2.2,59.00494036260012,
