CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,fx_cross.stopped,clock0.started,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,KESELYŰ UTCA,stimuli/objects/003a.jpg,object,2,stimuli/scenes/100a.jpg,stimuli/objects/029a.jpg,stimuli/scenes/100b.jpg,stimuli/objects/029b.jpg,stimuli/scenes/100a.jpg,dist1,lure,dist2,target,0,0,0,1,0,48,48,6,,,,,,,218.55944296345115,219.61403702571988,219.61403702571988,219.61403702571988,219.61403702571988,219.61403702571988,219.61403702571988,219.61403702571988,219.61403702571988,219.61403702571988,219.61403702571988,219.61403702571988,219.61403702571988,j,1.755940055474639,dist2,None,,,,,,,,,,,,,,,,student1,2022-10-25_10h56.17.082,Hippopolis_4AFCT,2022.2.2,59.88776297983654,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,KÓKUSZ UTCA,stimuli/scenes/052a.jpg,scene,0,stimuli/scenes/052a.jpg,stimuli/scenes/052a.jpg,stimuli/objects/077b.jpg,stimuli/objects/077a.jpg,stimuli/scenes/052b.jpg,target,dist2,dist1,lure,0,0,0,1,0,49,49,19,,,,,,,221.39210473001003,222.43208087049425,222.43208087049425,222.43208087049425,222.43208087049425,222.43208087049425,222.43208087049425,222.43208087049425,222.43208087049425,222.43208087049425,222.43208087049425,222.43208087049425,222.43208087049425,d,1.9454993847757578,target,None,,,,,,,,,,,,,,,,student1,2022-10-25_10h56.17.082,Hippopolis_4AFCT,2022.2.2,59.88776297983654,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,PAPRIKA UTCA,stimuli/objects/033a.jpg,object,0,stimuli/objects/033a.jpg,stimuli/scenes/023a.jpg,stimuli/objects/033b.jpg,stimuli/scenes/023b.jpg,stimuli/objects/033a.jpg,dist1,lure,dist2,target,0,0,0,1,0,50,50,30,,,,,,,224.40555357933044,225.45445933379233,225.45445933379233,225.45445933379233,225.45445933379233,225.45445933379233,225.45445933379233,225.45445933379233,225.45445933379233,225.45445933379233,225.45445933379233,225.45445933379233,225.45445933379233,k,1.947810161858797,target,None,,,,,,,,,,,,,,,,student1,2022-10-25_10h56.17.082,Hippopolis_4AFCT,2022.2.2,59.88776297983654,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,MAJOM UTCA,stimuli/objects/018a.jpg,object,0,stimuli/objects/018a.jpg,stimuli/objects/018a.jpg,stimuli/scenes/092b.jpg,stimuli/objects/018b.jpg,stimuli/scenes/092a.jpg,target,dist2,lure,dist1,0,0,0,1,0,51,51,78,,,,,,,227.43115158192813,228.48829434253275,228.48829434253275,228.48829434253275,228.48829434253275,228.48829434253275,228.48829434253275,228.48829434253275,228.48829434253275,228.48829434253275,228.48829434253275,228.48829434253275,228.48829434253275,d,1.4897851403802633,target,None,,,,,,,,,,,,,,,,student1,2022-10-25_10h56.17.082,Hippopolis_4AFCT,2022.2.2,59.88776297983654,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,BETON UTCA,stimuli/objects/104a.jpg,object,2,stimuli/scenes/063a.jpg,stimuli/scenes/063b.jpg,stimuli/scenes/063a.jpg,stimuli/objects/054a.jpg,stimuli/objects/054b.jpg,lure,target,dist1,dist2,0,0,0,1,0,52,52,52,,,,,,,230.00946423597634,231.06555890478194,231.06555890478194,231.06555890478194,231.06555890478194,231.06555890478194,231.06555890478194,231.06555890478194,231.06555890478194,231.06555890478194,231.06555890478194,231.06555890478194,231.06555890478194,f,1.72831304743886,target,None,,,,,,,,,,,,,,,,student1,2022-10-25_10h56.17.082,Hippopolis_4AFCT,2022.2.2,59.88776297983654,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,KANÁL UTCA,stimuli/scenes/057a.jpg,scene,1,stimuli/scenes/020a.jpg,stimuli/scenes/020b.jpg,stimuli/scenes/020a.jpg,stimuli/scenes/062a.jpg,stimuli/scenes/062b.jpg,lure,target,dist1,dist2,0,0,0,1,0,53,53,14,,,,,,,232.82391004823148,233.86266175471246,233.86266175471246,233.86266175471246,233.86266175471246,233.86266175471246,233.86266175471246,233.86266175471246,233.86266175471246,233.86266175471246,233.86266175471246,233.86266175471246,233.86266175471246,j,2.051531106233597,dist1,None,,,,,,,,,,,,,,,,student1,2022-10-25_10h56.17.082,Hippopolis_4AFCT,2022.2.2,59.88776297983654,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,LÉPCSŐ UTCA,stimuli/objects/049a.jpg,object,0,stimuli/objects/049a.jpg,stimuli/scenes/076b.jpg,stimuli/scenes/076a.jpg,stimuli/objects/049b.jpg,stimuli/objects/049a.jpg,dist2,dist1,lure,target,0,0,0,1,0,54,54,43,,,,,,,235.9407184496522,236.98911913111806,236.98911913111806,236.98911913111806,236.98911913111806,236.98911913111806,236.98911913111806,236.98911913111806,236.98911913111806,236.98911913111806,236.98911913111806,236.98911913111806,236.98911913111806,k,2.780399775132537,target,None,,,,,,,,,,,,,,,,student1,2022-10-25_10h56.17.082,Hippopolis_4AFCT,2022.2.2,59.88776297983654,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,LEMEZ UTCA,stimuli/scenes/022a.jpg,scene,0,stimuli/scenes/022a.jpg,stimuli/scenes/077b.jpg,stimuli/scenes/022a.jpg,stimuli/scenes/022b.jpg,stimuli/scenes/077a.jpg,dist2,target,lure,dist1,0,0,0,1,0,55,55,13,,,,,,,239.79072442092001,240.81250544264913,240.81250544264913,240.81250544264913,240.81250544264913,240.81250544264913,240.81250544264913,240.81250544264913,240.81250544264913,240.81250544264913,240.81250544264913,240.81250544264913,240.81250544264913,d,3.165086381137371,dist2,None,240.81250544264913,,,,,,,,,,,,,,,student1,2022-10-25_10h56.17.082,Hippopolis_4AFCT,2022.2.2,59.88776297983654,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,ORVOS UTCA,stimuli/objects/016a.jpg,object,0,stimuli/objects/016a.jpg,stimuli/scenes/089a.jpg,stimuli/scenes/089b.jpg,stimuli/objects/016a.jpg,stimuli/objects/016b.jpg,dist1,dist2,target,lure,0,0,0,1,0,56,56,4,,,,,,,244.00735156983137,245.05549318157136,245.05549318157136,245.05549318157136,245.05549318157136,245.05549318157136,245.05549318157136,245.05549318157136,245.05549318157136,245.05549318157136,245.05549318157136,245.05549318157136,245.05549318157136,j,1.5298620462417603,target,None,,,,,,,,,,,,,,,,student1,2022-10-25_10h56.17.082,Hippopolis_4AFCT,2022.2.2,59.88776297983654,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,KAKAÓ UTCA,stimuli/objects/099a.jpg,object,1,stimuli/objects/119a.jpg,stimuli/scenes/086a.jpg,stimuli/objects/119a.jpg,stimuli/scenes/086b.jpg,stimuli/objects/119b.jpg,dist1,target,dist2,lure,0,0,0,1,0,57,57,0,,,,,,,246.60873685404658,247.6587591227144,247.6587591227144,247.6587591227144,247.6587591227144,247.6587591227144,247.6587591227144,247.6587591227144,247.6587591227144,247.6587591227144,247.6587591227144,247.6587591227144,247.6587591227144,f,2.5587234385311604,target,None,,,,,,,,,,,,,,,,student1,2022-10-25_10h56.17.082,Hippopolis_4AFCT,2022.2.2,59.88776297983654,
