CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,learning_image.started,short_break_key.keys,short_break_text.started,short_break_key.started,short_break_key.rt,fx_cross.stopped,test_text.started,key_resp.started,key_resp.keys,key_resp.rt,plate_test.started,city_text_test.started,street_text_test.started,test_question.started,test_key_resp.started,button_image.started,test_key_resp.keys,verbal_test_key_resp.keys,test_key_resp.rt,plate_verbal.started,street_text_verbal.started,city_text_verbal.started,question_verbal.started,verbal_test_key_resp.started,verbal_test_key_resp.rt,n_remembered,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KESELYŰ UTCA,stimuli/scenes/027a.jpg,scene,2,stimuli/objects/101a.jpg,stimuli/scenes/044a.jpg,stimuli/objects/101a.jpg,stimuli/objects/101b.jpg,stimuli/scenes/044b.jpg,dist1,target,lure,dist2,0,0,0,0,0,9,9,4,,,,,,,,,,,187.5411616973579,188.56185264140368,188.56185264140368,188.56185264140368,188.56185264140368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TETŐ UTCA,stimuli/scenes/067a.jpg,scene,2,stimuli/objects/047a.jpg,stimuli/objects/047a.jpg,stimuli/objects/047b.jpg,stimuli/objects/097b.jpg,stimuli/objects/097a.jpg,target,lure,dist2,dist1,0,0,0,0,0,10,10,8,,,,,,,,,,,191.55819613859057,192.5958854481578,192.5958854481578,192.5958854481578,192.5958854481578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KECSKE UTCA,stimuli/objects/011a.jpg,object,1,stimuli/objects/086a.jpg,stimuli/objects/086b.jpg,stimuli/objects/066a.jpg,stimuli/objects/086a.jpg,stimuli/objects/066b.jpg,lure,dist1,target,dist2,0,0,0,0,0,11,11,64,,,,,,,,,,,195.56340860575438,196.58223288878798,196.58223288878798,196.58223288878798,196.58223288878798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KOKTÉL UTCA,stimuli/scenes/106a.jpg,scene,1,stimuli/scenes/096a.jpg,stimuli/scenes/096a.jpg,stimuli/scenes/096b.jpg,stimuli/objects/042a.jpg,stimuli/objects/042b.jpg,target,lure,dist1,dist2,0,0,0,0,0,12,12,44,,,,,,,,,,,199.56927294284105,200.6141912844032,200.6141912844032,200.6141912844032,200.6141912844032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KENYÉR UTCA,stimuli/scenes/071a.jpg,scene,2,stimuli/objects/055a.jpg,stimuli/objects/033b.jpg,stimuli/objects/055a.jpg,stimuli/objects/055b.jpg,stimuli/objects/033a.jpg,dist2,target,lure,dist1,0,0,0,0,0,13,13,17,,,,,,,,,,,203.58352947607636,204.62270041927695,204.62270041927695,204.62270041927695,204.62270041927695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KULACS UTCA,stimuli/objects/045a.jpg,object,1,stimuli/objects/073a.jpg,stimuli/objects/073a.jpg,stimuli/objects/073b.jpg,stimuli/scenes/002a.jpg,stimuli/scenes/002b.jpg,target,lure,dist1,dist2,0,0,0,0,0,14,14,51,,,,,,,,,,,207.59668162465096,208.63953954912722,208.63953954912722,208.63953954912722,208.63953954912722,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KABÁT UTCA,stimuli/scenes/032a.jpg,scene,1,stimuli/scenes/105a.jpg,stimuli/scenes/105a.jpg,stimuli/scenes/024b.jpg,stimuli/scenes/024a.jpg,stimuli/scenes/105b.jpg,target,dist2,dist1,lure,0,0,0,0,0,15,15,50,,,,,,,,,,,211.61633225344121,212.6715411748737,212.6715411748737,212.6715411748737,212.6715411748737,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TORONY UTCA,stimuli/scenes/059a.jpg,scene,2,stimuli/objects/120a.jpg,stimuli/scenes/104b.jpg,stimuli/objects/120b.jpg,stimuli/scenes/104a.jpg,stimuli/objects/120a.jpg,dist2,lure,dist1,target,0,0,0,0,0,16,16,6,,,,,,,,,,,215.61712842807174,216.665397554636,216.665397554636,216.665397554636,216.665397554636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,EGÉR UTCA,stimuli/objects/013a.jpg,object,1,stimuli/objects/080a.jpg,stimuli/scenes/070a.jpg,stimuli/objects/080a.jpg,stimuli/objects/080b.jpg,stimuli/scenes/070b.jpg,dist1,target,lure,dist2,0,0,0,0,0,17,17,34,,,,,,,,,,,219.62557069770992,220.66614365763962,220.66614365763962,220.66614365763962,220.66614365763962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PAPRIKA UTCA,stimuli/scenes/118a.jpg,scene,0,stimuli/scenes/118a.jpg,stimuli/scenes/118a.jpg,stimuli/objects/068b.jpg,stimuli/scenes/118b.jpg,stimuli/objects/068a.jpg,target,dist2,lure,dist1,0,0,0,0,0,18,18,20,,,,,,,,,,,223.6313016116619,224.6978308558464,224.6978308558464,224.6978308558464,224.6978308558464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,OROSZLÁN UTCA,stimuli/scenes/054a.jpg,scene,2,stimuli/objects/014a.jpg,stimuli/objects/099a.jpg,stimuli/objects/099b.jpg,stimuli/objects/014b.jpg,stimuli/objects/014a.jpg,dist1,dist2,lure,target,0,0,0,0,0,19,19,52,,,,,,,,,,,227.64071515388787,228.67876056581736,228.67876056581736,228.67876056581736,228.67876056581736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,SZERSZÁM UTCA,stimuli/objects/037a.jpg,object,0,stimuli/objects/037a.jpg,stimuli/objects/037a.jpg,stimuli/scenes/097b.jpg,stimuli/scenes/097a.jpg,stimuli/objects/037b.jpg,target,dist2,dist1,lure,0,0,0,0,0,20,20,19,,,,,,,,,,,231.6464090589434,232.69178457930684,232.69178457930684,232.69178457930684,232.69178457930684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PAPAGÁJ UTCA,stimuli/scenes/023a.jpg,scene,1,stimuli/scenes/113a.jpg,stimuli/objects/070b.jpg,stimuli/scenes/113b.jpg,stimuli/objects/070a.jpg,stimuli/scenes/113a.jpg,dist2,lure,dist1,target,0,0,0,0,0,21,21,53,,,,,,,,,,,235.6505557075143,236.70246080681682,236.70246080681682,236.70246080681682,236.70246080681682,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KULLANCS UTCA,stimuli/scenes/111a.jpg,scene,1,stimuli/scenes/084a.jpg,stimuli/scenes/084b.jpg,stimuli/scenes/084a.jpg,stimuli/objects/054a.jpg,stimuli/objects/054b.jpg,lure,target,dist1,dist2,0,0,0,0,0,22,22,68,,,,,,,,,,,239.64955364353955,240.71286335028708,240.71286335028708,240.71286335028708,240.71286335028708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,DOBOZ UTCA,stimuli/scenes/030a.jpg,scene,1,stimuli/scenes/060a.jpg,stimuli/scenes/051a.jpg,stimuli/scenes/060b.jpg,stimuli/scenes/060a.jpg,stimuli/scenes/051b.jpg,dist1,lure,target,dist2,0,0,0,0,0,23,23,21,,,,,,,,,,,243.6582633778453,244.7030918393284,244.7030918393284,244.7030918393284,244.7030918393284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KÖTÉNY UTCA,stimuli/scenes/108a.jpg,scene,2,stimuli/objects/066a.jpg,stimuli/objects/072b.jpg,stimuli/objects/072a.jpg,stimuli/objects/066b.jpg,stimuli/objects/066a.jpg,dist2,dist1,lure,target,0,0,0,0,0,24,24,36,,,,,,,,,,,247.66652121953666,248.72473601810634,248.72473601810634,248.72473601810634,248.72473601810634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KÖNYVTÁR UTCA,stimuli/objects/070a.jpg,object,0,stimuli/objects/070a.jpg,stimuli/objects/070a.jpg,stimuli/scenes/100b.jpg,stimuli/scenes/100a.jpg,stimuli/objects/070b.jpg,target,dist2,dist1,lure,0,0,0,0,0,25,25,79,,,,,,,,,,,251.6765878740698,252.72027587518096,252.72027587518096,252.72027587518096,252.72027587518096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,POGÁCSA UTCA,stimuli/objects/093a.jpg,object,1,stimuli/objects/018a.jpg,stimuli/scenes/064a.jpg,stimuli/scenes/064b.jpg,stimuli/objects/018b.jpg,stimuli/objects/018a.jpg,dist1,dist2,lure,target,0,0,0,0,0,26,26,10,,,,,,,,,,,255.69081703945994,256.75297415442765,256.75297415442765,256.75297415442765,256.75297415442765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,LOVAGLÁS UTCA,stimuli/objects/110a.jpg,object,1,stimuli/objects/010a.jpg,stimuli/objects/010b.jpg,stimuli/scenes/007a.jpg,stimuli/objects/010a.jpg,stimuli/scenes/007b.jpg,lure,dist1,target,dist2,0,0,0,0,0,27,27,22,,,,,,,,,,,259.6947972998023,260.73408642597497,260.73408642597497,260.73408642597497,260.73408642597497,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,ZSEMLE UTCA,stimuli/objects/035a.jpg,object,2,stimuli/scenes/100a.jpg,stimuli/objects/120a.jpg,stimuli/scenes/100b.jpg,stimuli/objects/120b.jpg,stimuli/scenes/100a.jpg,dist1,lure,dist2,target,0,0,0,0,0,28,28,27,,,,,,,,,,,263.7090563196689,264.7453694269061,264.7453694269061,264.7453694269061,264.7453694269061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,LÁNDZSA UTCA,stimuli/scenes/041a.jpg,scene,1,stimuli/scenes/116a.jpg,stimuli/scenes/116b.jpg,stimuli/scenes/116a.jpg,stimuli/objects/100a.jpg,stimuli/objects/100b.jpg,lure,target,dist1,dist2,0,0,0,0,0,29,29,32,,,,,,,,,,,267.72353646717966,268.7593815084547,268.7593815084547,268.7593815084547,268.7593815084547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,POLIP UTCA,stimuli/objects/039a.jpg,object,0,stimuli/objects/039a.jpg,stimuli/objects/101a.jpg,stimuli/objects/039b.jpg,stimuli/objects/101b.jpg,stimuli/objects/039a.jpg,dist1,lure,dist2,target,0,0,0,0,0,30,30,12,,,,,,,,,,,271.7403656449169,272.761331519112,272.761331519112,272.761331519112,272.761331519112,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KOCKA UTCA,stimuli/scenes/002a.jpg,scene,0,stimuli/scenes/002a.jpg,stimuli/scenes/072a.jpg,stimuli/scenes/002b.jpg,stimuli/scenes/072b.jpg,stimuli/scenes/002a.jpg,dist1,lure,dist2,target,0,0,0,0,0,31,31,73,,,,,,,,,,,275.75090534053743,276.7918151207268,276.7918151207268,276.7918151207268,276.7918151207268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,ZSÁLYA UTCA,stimuli/objects/034a.jpg,object,2,stimuli/scenes/117a.jpg,stimuli/scenes/117b.jpg,stimuli/scenes/001b.jpg,stimuli/scenes/117a.jpg,stimuli/scenes/001a.jpg,lure,dist2,target,dist1,0,0,0,0,0,32,32,33,,,,,,,,,,,279.76172929629683,280.80103086307645,280.80103086307645,280.80103086307645,280.80103086307645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,GYŰRŰ UTCA,stimuli/scenes/007a.jpg,scene,0,stimuli/scenes/007a.jpg,stimuli/scenes/076a.jpg,stimuli/scenes/007b.jpg,stimuli/scenes/007a.jpg,stimuli/scenes/076b.jpg,dist1,lure,target,dist2,0,0,0,0,0,33,33,76,,,,,,,,,,,283.7776005733758,284.81457985565066,284.81457985565066,284.81457985565066,284.81457985565066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MAJORÁNNA UTCA,stimuli/objects/068a.jpg,object,0,stimuli/objects/068a.jpg,stimuli/objects/068a.jpg,stimuli/scenes/118a.jpg,stimuli/objects/068b.jpg,stimuli/scenes/118b.jpg,target,dist1,lure,dist2,0,0,0,0,0,34,34,57,,,,,,,,,,,287.79327125288546,288.8279637042433,288.8279637042433,288.8279637042433,288.8279637042433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KIFLI UTCA,stimuli/scenes/006a.jpg,scene,0,stimuli/scenes/006a.jpg,stimuli/scenes/006a.jpg,stimuli/scenes/006b.jpg,stimuli/scenes/014b.jpg,stimuli/scenes/014a.jpg,target,lure,dist2,dist1,0,0,0,0,0,35,35,62,,,,,,,,,,,291.80660534091294,292.82732551917434,292.82732551917434,292.82732551917434,292.82732551917434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,FECSKE UTCA,stimuli/objects/106a.jpg,object,2,stimuli/scenes/051a.jpg,stimuli/scenes/116b.jpg,stimuli/scenes/051b.jpg,stimuli/scenes/116a.jpg,stimuli/scenes/051a.jpg,dist2,lure,dist1,target,0,0,0,0,0,36,36,49,,,,,,,,,,,295.8181981034577,296.8562114816159,296.8562114816159,296.8562114816159,296.8562114816159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022-10-14_14h14.13.574,Hippopolis_Learning,2022.2.2,59.98686630984112,
