CityName,StimuliFile,CityImage,StreetSign,VideoFile,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text_intro.started,city_image_2.started,load_video.started,movie.started,end_vid_key.started,end_vid_key.keys,cityname_text.started,city_image.started,text_countdown.started,fx_cross.started,plate.started,city_text.started,street_text.started,learning_image.started,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,test_text.started,key_resp.started,key_resp.keys,key_resp.rt,plate_test.started,city_text_test.started,street_text_test.started,test_question.started,test_key_resp.started,button_image.started,test_key_resp.keys,verbal_test_key_resp.keys,test_key_resp.rt,plate_verbal.started,street_text_verbal.started,city_text_verbal.started,question_verbal.started,verbal_test_key_resp.started,verbal_test_key_resp.rt,n_remembered,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_vid_key.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,TÁSKA UTCA,stimuli/scenes/093a.jpg,scene,1,stimuli/scenes/071a.jpg,stimuli/scenes/071a.jpg,stimuli/scenes/071b.jpg,stimuli/scenes/107a.jpg,stimuli/scenes/107b.jpg,target,lure,dist1,dist2,1,0,2,0,0,21,21,41,,,,,,,,,,,,,,,,,,1327.2612391486764,1328.2845154888928,1328.2845154888928,1328.2845154888928,1328.2845154888928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,ZÁSZLÓ UTCA,stimuli/scenes/010a.jpg,scene,1,stimuli/scenes/084a.jpg,stimuli/objects/005a.jpg,stimuli/objects/005b.jpg,stimuli/scenes/084b.jpg,stimuli/scenes/084a.jpg,dist1,dist2,lure,target,1,0,2,0,0,22,22,3,,,,,,,,,,,,,,,,,,1331.26284985058,1332.2935601770878,1332.2935601770878,1332.2935601770878,1332.2935601770878,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,MOTOR UTCA,stimuli/objects/024a.jpg,object,2,stimuli/scenes/004a.jpg,stimuli/scenes/004b.jpg,stimuli/scenes/004a.jpg,stimuli/objects/077b.jpg,stimuli/objects/077a.jpg,lure,target,dist2,dist1,1,0,2,0,0,23,23,48,,,,,,,,,,,,,,,,,,1335.2759792972356,1336.3153380881995,1336.3153380881995,1336.3153380881995,1336.3153380881995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,KRÉTA UTCA,stimuli/objects/079a.jpg,object,0,stimuli/objects/079a.jpg,stimuli/objects/105a.jpg,stimuli/objects/079b.jpg,stimuli/objects/079a.jpg,stimuli/objects/105b.jpg,dist1,lure,target,dist2,1,0,2,0,0,24,24,65,,,,,,,,,,,,,,,,,,1339.2831657212228,1340.3122221156955,1340.3122221156955,1340.3122221156955,1340.3122221156955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,TELEFON UTCA,stimuli/objects/050a.jpg,object,1,stimuli/objects/067a.jpg,stimuli/scenes/055b.jpg,stimuli/scenes/055a.jpg,stimuli/objects/067b.jpg,stimuli/objects/067a.jpg,dist2,dist1,lure,target,1,0,2,0,0,25,25,50,,,,,,,,,,,,,,,,,,1343.3035422377288,1344.3253092635423,1344.3253092635423,1344.3253092635423,1344.3253092635423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,KOKTÉL UTCA,stimuli/scenes/001a.jpg,scene,2,stimuli/objects/077a.jpg,stimuli/scenes/015a.jpg,stimuli/scenes/015b.jpg,stimuli/objects/077a.jpg,stimuli/objects/077b.jpg,dist1,dist2,target,lure,1,0,2,0,0,26,26,23,,,,,,,,,,,,,,,,,,1347.3042777683586,1348.3357979543507,1348.3357979543507,1348.3357979543507,1348.3357979543507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,PETÁRDA UTCA,stimuli/objects/117a.jpg,object,0,stimuli/objects/117a.jpg,stimuli/objects/117a.jpg,stimuli/objects/055b.jpg,stimuli/objects/055a.jpg,stimuli/objects/117b.jpg,target,dist2,dist1,lure,1,0,2,0,0,27,27,74,,,,,,,,,,,,,,,,,,1351.3068700060248,1352.3404285293072,1352.3404285293072,1352.3404285293072,1352.3404285293072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,MENTA UTCA,stimuli/objects/058a.jpg,object,2,stimuli/scenes/090a.jpg,stimuli/scenes/090a.jpg,stimuli/scenes/090b.jpg,stimuli/scenes/046a.jpg,stimuli/scenes/046b.jpg,target,lure,dist1,dist2,1,0,2,0,0,28,28,51,,,,,,,,,,,,,,,,,,1355.308834321797,1356.3350179512054,1356.3350179512054,1356.3350179512054,1356.3350179512054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,ZSEMLE UTCA,stimuli/scenes/024a.jpg,scene,2,stimuli/objects/116a.jpg,stimuli/scenes/117a.jpg,stimuli/objects/116b.jpg,stimuli/objects/116a.jpg,stimuli/scenes/117b.jpg,dist1,lure,target,dist2,1,0,2,0,0,29,29,42,,,,,,,,,,,,,,,,,,1359.3151511736214,1360.3551459740847,1360.3551459740847,1360.3551459740847,1360.3551459740847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,TOLLTARTÓ UTCA,stimuli/scenes/052a.jpg,scene,0,stimuli/scenes/052a.jpg,stimuli/scenes/052a.jpg,stimuli/objects/079b.jpg,stimuli/scenes/052b.jpg,stimuli/objects/079a.jpg,target,dist2,lure,dist1,1,0,2,0,0,30,30,43,,,,,,,,,,,,,,,,,,1363.3387388307601,1364.3690544907004,1364.3690544907004,1364.3690544907004,1364.3690544907004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST02_112822,2022-11-29_11h09.24.884,Hippopolis_Learning,2022.2.2,59.09473192939509,
