CityName,StimuliFile,CityImage,StreetSign,VideoFile,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,fx_cross_prediction.started,plate_updating.started,city_text_updating.started,street_text_updating.started,updating_image.started,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,PAPRIKA UTCA,stimuli/scenes/025a.jpg,scene,0,stimuli/scenes/025a.jpg,stimuli/scenes/080b.jpg,stimuli/scenes/080a.jpg,stimuli/scenes/025a.jpg,stimuli/scenes/025b.jpg,dist2,dist1,target,lure,0,0,0,0,0,35,35,71,,,,,,,268.29873501323164,269.3167485035956,269.3167485035956,269.3167485035956,269.3167485035956,272.33578520454466,272.33578520454466,272.33578520454466,272.33578520454466,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,CITROM UTCA,stimuli/scenes/103a.jpg,scene,1,stimuli/scenes/105a.jpg,stimuli/objects/120a.jpg,stimuli/scenes/105a.jpg,stimuli/scenes/105b.jpg,stimuli/objects/120b.jpg,dist1,target,lure,dist2,0,0,0,0,0,36,36,40,,,,,,,274.3037705179304,275.3281167205423,275.3281167205423,275.3281167205423,275.3281167205423,278.3374270070344,278.3374270070344,278.3374270070344,278.3374270070344,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,KARTON UTCA,stimuli/objects/073a.jpg,object,1,stimuli/objects/075a.jpg,stimuli/objects/057a.jpg,stimuli/objects/075b.jpg,stimuli/objects/075a.jpg,stimuli/objects/057b.jpg,dist1,lure,target,dist2,0,0,0,0,0,37,37,1,,,,,,,280.31862511485815,281.3500177897513,281.3500177897513,281.3500177897513,281.3500177897513,284.3365592993796,284.3365592993796,284.3365592993796,284.3365592993796,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,TERASZ UTCA,stimuli/scenes/021a.jpg,scene,0,stimuli/scenes/021a.jpg,stimuli/scenes/021a.jpg,stimuli/scenes/025b.jpg,stimuli/scenes/021b.jpg,stimuli/scenes/025a.jpg,target,dist2,lure,dist1,0,0,0,0,0,38,38,60,,,,,,,286.3311984818429,287.3635602518916,287.3635602518916,287.3635602518916,287.3635602518916,290.35944532603025,290.35944532603025,290.35944532603025,290.35944532603025,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,TERÍTŐ UTCA,stimuli/scenes/038a.jpg,scene,2,stimuli/objects/040a.jpg,stimuli/objects/040a.jpg,stimuli/objects/106b.jpg,stimuli/objects/040b.jpg,stimuli/objects/106a.jpg,target,dist2,lure,dist1,0,0,0,0,0,39,39,6,,,,,,,292.34564410708845,293.3640451114625,293.3640451114625,293.3640451114625,293.3640451114625,296.36993837170303,296.36993837170303,296.36993837170303,296.36993837170303,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,SZILVA UTCA,stimuli/scenes/016a.jpg,scene,1,stimuli/scenes/070a.jpg,stimuli/scenes/070b.jpg,stimuli/scenes/070a.jpg,stimuli/objects/067a.jpg,stimuli/objects/067b.jpg,lure,target,dist1,dist2,0,0,0,0,0,40,40,20,,,,,,,298.3522959109396,299.3746438976377,299.3746438976377,299.3746438976377,299.3746438976377,302.3699293527752,302.3699293527752,302.3699293527752,302.3699293527752,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,ZSEMLE UTCA,stimuli/scenes/024a.jpg,scene,2,stimuli/objects/116a.jpg,stimuli/scenes/117a.jpg,stimuli/objects/116b.jpg,stimuli/objects/116a.jpg,stimuli/scenes/117b.jpg,dist1,lure,target,dist2,0,0,0,0,0,41,41,42,,,,,,,304.36329714022577,305.38994914479554,305.38994914479554,305.38994914479554,305.38994914479554,308.38587216101587,308.38587216101587,308.38587216101587,308.38587216101587,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,ÜVEG UTCA,stimuli/scenes/006a.jpg,scene,2,stimuli/objects/042a.jpg,stimuli/objects/042b.jpg,stimuli/objects/116a.jpg,stimuli/objects/116b.jpg,stimuli/objects/042a.jpg,lure,dist1,dist2,target,0,0,0,0,0,42,42,52,,,,,,,310.38032380864024,311.4096212312579,311.4096212312579,311.4096212312579,311.4096212312579,314.4039562512189,314.4039562512189,314.4039562512189,314.4039562512189,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,FEJSZE UTCA,stimuli/scenes/106a.jpg,scene,2,stimuli/objects/008a.jpg,stimuli/scenes/009b.jpg,stimuli/objects/008b.jpg,stimuli/scenes/009a.jpg,stimuli/objects/008a.jpg,dist2,lure,dist1,target,0,0,0,0,0,43,43,27,,,,,,,316.3864195328206,317.4126868210733,317.4126868210733,317.4126868210733,317.4126868210733,320.4103592503816,320.4103592503816,320.4103592503816,320.4103592503816,None,,,,,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
Hippopolis,stimuli/subj_files/ST02_112822_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part1.mp4,BONBON UTCA,stimuli/objects/020a.jpg,object,0,stimuli/objects/020a.jpg,stimuli/scenes/094a.jpg,stimuli/scenes/094b.jpg,stimuli/objects/020b.jpg,stimuli/objects/020a.jpg,dist1,dist2,lure,target,0,0,0,0,0,44,44,59,,,,,,,322.39091170951724,323.413023641333,323.413023641333,323.413023641333,323.413023641333,326.42107404209673,326.42107404209673,326.42107404209673,326.42107404209673,space,,328.406626239419,328.406626239419,3.0663361977785826,,,,,,ST02_112822,2022-11-29_11h51.19.781,Hippopolis_Updating,2022.2.2,59.89490256945426,
