CityName,StimuliFile,CityImage,StreetSign,VideoFile,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,learning_image.started,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,test_text.started,key_resp.started,key_resp.keys,key_resp.rt,plate_test.started,city_text_test.started,street_text_test.started,test_question.started,test_key_resp.started,button_image.started,test_key_resp.keys,verbal_test_key_resp.keys,test_key_resp.rt,plate_verbal.started,street_text_verbal.started,city_text_verbal.started,question_verbal.started,verbal_test_key_resp.started,verbal_test_key_resp.rt,n_remembered,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,LÉPCSŐ UTCA,stimuli/objects/060a.jpg,object,0,stimuli/objects/060a.jpg,stimuli/scenes/066b.jpg,stimuli/objects/060a.jpg,stimuli/objects/060b.jpg,stimuli/scenes/066a.jpg,dist2,target,lure,dist1,1,0,2,0,0,54,54,11,,,,,,,,,,,1717.8121197950095,1718.8294885698706,1718.8294885698706,1718.8294885698706,1718.8294885698706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,BAGOLY UTCA,stimuli/objects/019a.jpg,object,0,stimuli/objects/019a.jpg,stimuli/objects/019a.jpg,stimuli/scenes/002a.jpg,stimuli/objects/019b.jpg,stimuli/scenes/002b.jpg,target,dist1,lure,dist2,1,0,2,0,0,55,55,41,,,,,,,,,,,1721.8193914368749,1722.838397970423,1722.838397970423,1722.838397970423,1722.838397970423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,ZSEMLE UTCA,stimuli/objects/011a.jpg,object,0,stimuli/objects/011a.jpg,stimuli/scenes/014b.jpg,stimuli/scenes/014a.jpg,stimuli/objects/011b.jpg,stimuli/objects/011a.jpg,dist2,dist1,lure,target,1,0,2,0,0,56,56,12,,,,,,,,,,,1725.8281064573675,1726.8650484178215,1726.8650484178215,1726.8650484178215,1726.8650484178215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,BOHÓC UTCA,stimuli/objects/052a.jpg,object,2,stimuli/scenes/063a.jpg,stimuli/scenes/019a.jpg,stimuli/scenes/019b.jpg,stimuli/scenes/063b.jpg,stimuli/scenes/063a.jpg,dist1,dist2,lure,target,1,0,2,0,0,57,57,76,,,,,,,,,,,1729.837935814634,1730.871291872114,1730.871291872114,1730.871291872114,1730.871291872114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,BÖGRE UTCA,stimuli/objects/074a.jpg,object,0,stimuli/objects/074a.jpg,stimuli/objects/074a.jpg,stimuli/objects/042b.jpg,stimuli/objects/074b.jpg,stimuli/objects/042a.jpg,target,dist2,lure,dist1,1,0,2,0,0,58,58,64,,,,,,,,,,,1733.8432195018977,1734.8628894127905,1734.8628894127905,1734.8628894127905,1734.8628894127905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,MENTA UTCA,stimuli/scenes/106a.jpg,scene,0,stimuli/scenes/106a.jpg,stimuli/scenes/106a.jpg,stimuli/scenes/009a.jpg,stimuli/scenes/106b.jpg,stimuli/scenes/009b.jpg,target,dist1,lure,dist2,1,0,2,0,0,59,59,48,,,,,,,,,,,1737.8465115036815,1738.863756498322,1738.863756498322,1738.863756498322,1738.863756498322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,TORONY UTCA,stimuli/scenes/120a.jpg,scene,0,stimuli/scenes/120a.jpg,stimuli/scenes/120a.jpg,stimuli/scenes/034a.jpg,stimuli/scenes/034b.jpg,stimuli/scenes/120b.jpg,target,dist1,dist2,lure,1,0,2,0,0,60,60,59,,,,,,,,,,,1741.8575366809964,1742.8943682350218,1742.8943682350218,1742.8943682350218,1742.8943682350218,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,POGÁCSA UTCA,stimuli/scenes/082a.jpg,scene,2,stimuli/objects/046a.jpg,stimuli/objects/046a.jpg,stimuli/objects/046b.jpg,stimuli/objects/082a.jpg,stimuli/objects/082b.jpg,target,lure,dist1,dist2,1,0,2,0,0,61,61,58,,,,,,,,,,,1745.870905291289,1746.8982555046678,1746.8982555046678,1746.8982555046678,1746.8982555046678,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KALAPÁCS UTCA,stimuli/objects/095a.jpg,object,2,stimuli/scenes/087a.jpg,stimuli/objects/066b.jpg,stimuli/scenes/087a.jpg,stimuli/scenes/087b.jpg,stimuli/objects/066a.jpg,dist2,target,lure,dist1,1,0,2,0,0,62,62,30,,,,,,,,,,,1749.8823845367879,1750.9180638119578,1750.9180638119578,1750.9180638119578,1750.9180638119578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KÍGYÓ UTCA,stimuli/objects/086a.jpg,object,2,stimuli/scenes/109a.jpg,stimuli/scenes/109a.jpg,stimuli/scenes/016a.jpg,stimuli/scenes/109b.jpg,stimuli/scenes/016b.jpg,target,dist1,lure,dist2,1,0,2,0,0,63,63,73,,,,,,,,,,,1753.8944494072348,1754.913764771074,1754.913764771074,1754.913764771074,1754.913764771074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,SIRÁLY UTCA,stimuli/objects/112a.jpg,object,0,stimuli/objects/112a.jpg,stimuli/objects/112b.jpg,stimuli/scenes/078a.jpg,stimuli/objects/112a.jpg,stimuli/scenes/078b.jpg,lure,dist1,target,dist2,1,0,2,0,0,64,64,34,,,,,,,,,,,1757.9065851885825,1758.9247507601976,1758.9247507601976,1758.9247507601976,1758.9247507601976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,TELEP UTCA,stimuli/scenes/009a.jpg,scene,0,stimuli/scenes/009a.jpg,stimuli/scenes/009b.jpg,stimuli/scenes/009a.jpg,stimuli/objects/003b.jpg,stimuli/objects/003a.jpg,lure,target,dist2,dist1,1,0,2,0,0,65,65,13,,,,,,,,,,,1761.9177661780268,1762.9538037329912,1762.9538037329912,1762.9538037329912,1762.9538037329912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,PETÁRDA UTCA,stimuli/scenes/065a.jpg,scene,0,stimuli/scenes/065a.jpg,stimuli/scenes/065a.jpg,stimuli/objects/105a.jpg,stimuli/scenes/065b.jpg,stimuli/objects/105b.jpg,target,dist1,lure,dist2,1,0,2,0,0,66,66,49,,,,,,,,,,,1765.9293477460742,1766.9602219723165,1766.9602219723165,1766.9602219723165,1766.9602219723165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
Camponello,stimuli/subj_files/ST01_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,HEGEDŰ UTCA,stimuli/objects/054a.jpg,object,0,stimuli/objects/054a.jpg,stimuli/objects/054b.jpg,stimuli/objects/012a.jpg,stimuli/objects/012b.jpg,stimuli/objects/054a.jpg,lure,dist1,dist2,target,1,0,2,0,0,67,67,62,,,,,,,,,,,1769.945776347071,1770.9641978777945,1770.9641978777945,1770.9641978777945,1770.9641978777945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST01_112822,2022-11-29_09h29.58.226,Hippopolis_Learning,2022.2.2,59.995596359539505,
