Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,trials_4afct.thisRepN,trials_4afct.thisTrialN,trials_4afct.thisN,trials_4afct.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,fx_cross.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,clock0.started,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
LÉPCSŐ UTCA,stimuli/objects/049a.jpg,object,left,Camponello,0,stimuli/objects/049a.jpg,stimuli/objects/049a.jpg,stimuli/objects/049b.jpg,stimuli/objects/031a.jpg,stimuli/objects/031b.jpg,target,lure,dist1,dist2,0,9,9,155,,,,,62.2276628986001,63.28494219109416,63.28494219109416,63.28494219109416,63.28494219109416,63.28494219109416,63.28494219109416,63.28494219109416,63.28494219109416,63.28494219109416,63.28494219109416,d,1.4221204854547977,target,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
HORGONY UTCA,stimuli/scenes/019a.jpg,scene,right,Camponello,0,stimuli/scenes/019a.jpg,stimuli/objects/023b.jpg,stimuli/scenes/019b.jpg,stimuli/objects/023a.jpg,stimuli/scenes/019a.jpg,dist2,lure,dist1,target,0,10,10,87,,,,,64.7274032086134,65.78139423020184,65.78139423020184,65.78139423020184,65.78139423020184,65.78139423020184,65.78139423020184,65.78139423020184,65.78139423020184,65.78139423020184,65.78139423020184,f,2.8934469409286976,lure,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
KRÉTA UTCA,stimuli/scenes/054a.jpg,scene,right,Camponello,0,stimuli/scenes/054a.jpg,stimuli/scenes/033a.jpg,stimuli/scenes/054b.jpg,stimuli/scenes/033b.jpg,stimuli/scenes/054a.jpg,dist1,lure,dist2,target,0,11,11,114,,,,,68.69622077606618,69.73474669270217,69.73474669270217,69.73474669270217,69.73474669270217,69.73474669270217,69.73474669270217,69.73474669270217,69.73474669270217,69.73474669270217,69.73474669270217,f,1.7242093905806541,lure,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
PAPRIKA UTCA,stimuli/scenes/099a.jpg,scene,right,Camponello,1,stimuli/scenes/076a.jpg,stimuli/objects/048a.jpg,stimuli/objects/048b.jpg,stimuli/scenes/076b.jpg,stimuli/scenes/076a.jpg,dist1,dist2,lure,target,0,12,12,121,,,,,71.47756928578019,72.52049345523119,72.52049345523119,72.52049345523119,72.52049345523119,72.52049345523119,72.52049345523119,72.52049345523119,72.52049345523119,72.52049345523119,72.52049345523119,k,3.130177851766348,target,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
KOSÁR UTCA,stimuli/scenes/036a.jpg,scene,right,Camponello,2,stimuli/objects/053a.jpg,stimuli/objects/053a.jpg,stimuli/scenes/024b.jpg,stimuli/objects/053b.jpg,stimuli/scenes/024a.jpg,target,dist2,lure,dist1,0,13,13,80,,,,,75.67898324504495,76.71488147042692,76.71488147042692,76.71488147042692,76.71488147042692,76.71488147042692,76.71488147042692,76.71488147042692,76.71488147042692,76.71488147042692,76.71488147042692,k,3.560038134455681,dist1,None,80.17851611413062,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
TÜKÖR UTCA,stimuli/objects/064a.jpg,object,left,Hippopolis,0,stimuli/objects/064a.jpg,stimuli/objects/041a.jpg,stimuli/objects/041b.jpg,stimuli/objects/064a.jpg,stimuli/objects/064b.jpg,dist1,dist2,target,lure,0,14,14,16,,,,,80.30160591378808,81.35252761095762,81.35252761095762,81.35252761095762,81.35252761095762,81.35252761095762,81.35252761095762,81.35252761095762,81.35252761095762,81.35252761095762,81.35252761095762,j,2.2820484936237335,target,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
ÜVEG UTCA,stimuli/objects/084a.jpg,object,left,Hippopolis,0,stimuli/objects/084a.jpg,stimuli/objects/084a.jpg,stimuli/objects/084b.jpg,stimuli/objects/043a.jpg,stimuli/objects/043b.jpg,target,lure,dist1,dist2,0,15,15,40,,,,,83.6615581791848,84.7355145663023,84.7355145663023,84.7355145663023,84.7355145663023,84.7355145663023,84.7355145663023,84.7355145663023,84.7355145663023,84.7355145663023,84.7355145663023,d,1.9709105473011732,target,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
PAPAGÁJ UTCA,stimuli/objects/040a.jpg,object,left,Camponello,0,stimuli/objects/040a.jpg,stimuli/objects/040a.jpg,stimuli/objects/040b.jpg,stimuli/objects/022b.jpg,stimuli/objects/022a.jpg,target,lure,dist2,dist1,0,16,16,127,,,,,86.72716715559363,87.79919716902077,87.79919716902077,87.79919716902077,87.79919716902077,87.79919716902077,87.79919716902077,87.79919716902077,87.79919716902077,87.79919716902077,87.79919716902077,d,2.7153323367238045,target,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
MANDARIN UTCA,stimuli/scenes/071a.jpg,scene,right,Camponello,0,stimuli/scenes/071a.jpg,stimuli/scenes/040b.jpg,stimuli/scenes/071a.jpg,stimuli/scenes/040a.jpg,stimuli/scenes/071b.jpg,dist2,target,dist1,lure,0,17,17,99,,,,,90.55043870583177,91.57932404614985,91.57932404614985,91.57932404614985,91.57932404614985,91.57932404614985,91.57932404614985,91.57932404614985,91.57932404614985,91.57932404614985,91.57932404614985,f,2.502775950357318,target,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
KANÁL UTCA,stimuli/objects/098a.jpg,object,left,Camponello,0,stimuli/objects/098a.jpg,stimuli/objects/105b.jpg,stimuli/objects/105a.jpg,stimuli/objects/098b.jpg,stimuli/objects/098a.jpg,dist2,dist1,lure,target,0,18,18,93,,,,,94.1105095911771,95.18225938640535,95.18225938640535,95.18225938640535,95.18225938640535,95.18225938640535,95.18225938640535,95.18225938640535,95.18225938640535,95.18225938640535,95.18225938640535,k,3.043997982516885,target,None,,,,,,,,,,,,,,,ST02_120922,2022-12-09_15h21.09.216,Hippopolis_4AFCT,2022.2.2,59.81501308041045,
