Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,trials_4afct.thisRepN,trials_4afct.thisTrialN,trials_4afct.thisN,trials_4afct.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,fx_cross.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,clock0.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,clock0.stopped,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
SZOMSZÉD UTCA,stimuli/scenes/091a.jpg,scene,right,Hippopolis,0,stimuli/scenes/091a.jpg,stimuli/scenes/091a.jpg,stimuli/scenes/091b.jpg,stimuli/objects/089a.jpg,stimuli/objects/089b.jpg,target,lure,dist1,dist2,0,25,25,4,,,,,124.16270112805068,125.21217167191207,125.21217167191207,125.21217167191207,125.21217167191207,125.21217167191207,125.21217167191207,125.21217167191207,125.21217167191207,125.21217167191207,125.21217167191207,,f,3.2849654499441385,lure,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
MUSTÁR UTCA,stimuli/scenes/044a.jpg,scene,right,Hippopolis,0,stimuli/scenes/044a.jpg,stimuli/objects/047b.jpg,stimuli/scenes/044a.jpg,stimuli/objects/047a.jpg,stimuli/scenes/044b.jpg,dist2,target,dist1,lure,0,26,26,37,,,,,128.5293586924672,129.59445823915303,129.59445823915303,129.59445823915303,129.59445823915303,129.59445823915303,129.59445823915303,129.59445823915303,129.59445823915303,129.59445823915303,129.59445823915303,133.029816493392,f,3.8950458504259586,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
MOCSÁR UTCA,stimuli/objects/101a.jpg,object,left,Hippopolis,0,stimuli/objects/101a.jpg,stimuli/scenes/090b.jpg,stimuli/objects/101b.jpg,stimuli/scenes/090a.jpg,stimuli/objects/101a.jpg,dist2,lure,dist1,target,0,27,27,17,,,,,133.5126144196838,134.53193849138916,134.53193849138916,134.53193849138916,134.53193849138916,134.53193849138916,134.53193849138916,134.53193849138916,134.53193849138916,134.53193849138916,134.53193849138916,,d,2.5088791642338037,dist2,None,134.53193849138916,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
HÁRFA UTCA,stimuli/scenes/117a.jpg,scene,right,Camponello,1,stimuli/scenes/080a.jpg,stimuli/scenes/051a.jpg,stimuli/scenes/080b.jpg,stimuli/scenes/080a.jpg,stimuli/scenes/051b.jpg,dist1,lure,target,dist2,0,28,28,85,,,,,137.0625987444073,138.11041411198676,138.11041411198676,138.11041411198676,138.11041411198676,138.11041411198676,138.11041411198676,138.11041411198676,138.11041411198676,138.11041411198676,138.11041411198676,,j,2.7707213554531336,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
TISZTÁS UTCA,stimuli/objects/017a.jpg,object,left,Camponello,0,stimuli/objects/017a.jpg,stimuli/objects/017b.jpg,stimuli/objects/088a.jpg,stimuli/objects/088b.jpg,stimuli/objects/017a.jpg,lure,dist1,dist2,target,0,29,29,157,,,,,140.91257081739604,141.97878469899297,141.97878469899297,141.97878469899297,141.97878469899297,141.97878469899297,141.97878469899297,141.97878469899297,141.97878469899297,141.97878469899297,141.97878469899297,145.41321739926934,k,3.65427278727293,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
TERASZ UTCA,stimuli/objects/016a.jpg,object,left,Camponello,0,stimuli/objects/016a.jpg,stimuli/objects/016b.jpg,stimuli/objects/016a.jpg,stimuli/objects/081a.jpg,stimuli/objects/081b.jpg,lure,target,dist1,dist2,0,30,30,102,,,,,145.66256552934647,146.71683832257986,146.71683832257986,146.71683832257986,146.71683832257986,146.71683832257986,146.71683832257986,146.71683832257986,146.71683832257986,146.71683832257986,146.71683832257986,150.1630164887756,j,3.4442582577466965,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
MARTINI UTCA,stimuli/scenes/001a.jpg,scene,right,Camponello,0,stimuli/scenes/001a.jpg,stimuli/scenes/001a.jpg,stimuli/objects/053b.jpg,stimuli/objects/053a.jpg,stimuli/scenes/001b.jpg,target,dist2,dist1,lure,0,31,31,130,,,,,150.17919815145433,151.23947896435857,151.23947896435857,151.23947896435857,151.23947896435857,151.23947896435857,151.23947896435857,151.23947896435857,151.23947896435857,151.23947896435857,151.23947896435857,,d,3.3052281383424997,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
CSILLAG UTCA,stimuli/objects/119a.jpg,object,left,Camponello,0,stimuli/objects/119a.jpg,stimuli/scenes/062a.jpg,stimuli/scenes/062b.jpg,stimuli/objects/119a.jpg,stimuli/objects/119b.jpg,dist1,dist2,target,lure,0,32,32,115,,,,,154.5622808970511,155.5864837244153,155.5864837244153,155.5864837244153,155.5864837244153,155.5864837244153,155.5864837244153,155.5864837244153,155.5864837244153,155.5864837244153,155.5864837244153,,f,2.5101406071335077,dist2,None,155.5864837244153,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
ÁLLOMÁS UTCA,stimuli/scenes/053a.jpg,scene,right,Hippopolis,0,stimuli/scenes/053a.jpg,stimuli/objects/091a.jpg,stimuli/scenes/053b.jpg,stimuli/scenes/053a.jpg,stimuli/objects/091b.jpg,dist1,lure,target,dist2,0,33,33,7,,,,,158.1289538256824,159.1961871869862,159.1961871869862,159.1961871869862,159.1961871869862,159.1961871869862,159.1961871869862,159.1961871869862,159.1961871869862,159.1961871869862,159.1961871869862,162.62946511991322,j,4.131819682195783,target,None,159.1961871869862,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
FOGAS UTCA,stimuli/scenes/115a.jpg,scene,right,Hippopolis,1,stimuli/scenes/018a.jpg,stimuli/scenes/018a.jpg,stimuli/objects/110a.jpg,stimuli/objects/110b.jpg,stimuli/scenes/018b.jpg,target,dist1,dist2,lure,0,34,34,5,,,,,163.36217129789293,164.39434522017837,164.39434522017837,164.39434522017837,164.39434522017837,164.39434522017837,164.39434522017837,164.39434522017837,164.39434522017837,164.39434522017837,164.39434522017837,,d,3.2857302129268646,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
