Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,trials_4afct.thisRepN,trials_4afct.thisTrialN,trials_4afct.thisN,trials_4afct.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,fx_cross.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,clock0.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,clock0.stopped,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
EGÉR UTCA,stimuli/objects/029a.jpg,object,left,Hippopolis,2,stimuli/scenes/017a.jpg,stimuli/scenes/016b.jpg,stimuli/scenes/017b.jpg,stimuli/scenes/016a.jpg,stimuli/scenes/017a.jpg,dist2,lure,dist1,target,0,45,45,54,,,,,214.2033303808421,215.22076415643096,215.22076415643096,215.22076415643096,215.22076415643096,215.22076415643096,215.22076415643096,215.22076415643096,215.22076415643096,215.22076415643096,215.22076415643096,218.69544108211994,k,3.5952185839414597,target,None,215.22076415643096,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
CITROM UTCA,stimuli/scenes/005a.jpg,scene,right,Camponello,0,stimuli/scenes/005a.jpg,stimuli/objects/069b.jpg,stimuli/scenes/005b.jpg,stimuli/objects/069a.jpg,stimuli/scenes/005a.jpg,dist2,lure,dist1,target,0,46,46,92,,,,,218.8449319023639,219.869225544855,219.869225544855,219.869225544855,219.869225544855,219.869225544855,219.869225544855,219.869225544855,219.869225544855,219.869225544855,219.869225544855,,d,1.9863265361636877,dist2,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
FÓKA UTCA,stimuli/scenes/086a.jpg,scene,right,Camponello,0,stimuli/scenes/086a.jpg,stimuli/scenes/086a.jpg,stimuli/objects/026b.jpg,stimuli/scenes/086b.jpg,stimuli/objects/026a.jpg,target,dist2,lure,dist1,0,47,47,139,,,,,221.878101978451,222.90216298773885,222.90216298773885,222.90216298773885,222.90216298773885,222.90216298773885,222.90216298773885,222.90216298773885,222.90216298773885,222.90216298773885,222.90216298773885,226.3768218755722,f,4.649160776287317,dist2,None,222.90216298773885,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
NARANCS UTCA,stimuli/objects/099a.jpg,object,left,Camponello,0,stimuli/objects/099a.jpg,stimuli/objects/099a.jpg,stimuli/objects/099b.jpg,stimuli/scenes/037b.jpg,stimuli/scenes/037a.jpg,target,lure,dist2,dist1,0,48,48,99,,,,,227.58149238303304,228.62085304036736,228.62085304036736,228.62085304036736,228.62085304036736,228.62085304036736,228.62085304036736,228.62085304036736,228.62085304036736,228.62085304036736,228.62085304036736,,d,1.955339103937149,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
FÜGE UTCA,stimuli/scenes/076a.jpg,scene,right,Hippopolis,2,stimuli/objects/059a.jpg,stimuli/objects/059b.jpg,stimuli/scenes/101a.jpg,stimuli/scenes/101b.jpg,stimuli/objects/059a.jpg,lure,dist1,dist2,target,0,49,49,33,,,,,230.59498072974384,231.63110225647688,231.63110225647688,231.63110225647688,231.63110225647688,231.63110225647688,231.63110225647688,231.63110225647688,231.63110225647688,231.63110225647688,231.63110225647688,,f,2.48027528449893,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
PAPUCS UTCA,stimuli/objects/097a.jpg,object,left,Hippopolis,0,stimuli/objects/097a.jpg,stimuli/objects/097a.jpg,stimuli/objects/066a.jpg,stimuli/objects/097b.jpg,stimuli/objects/066b.jpg,target,dist1,lure,dist2,0,50,50,43,,,,,234.13206046819687,235.2095536198467,235.2095536198467,235.2095536198467,235.2095536198467,235.2095536198467,235.2095536198467,235.2095536198467,235.2095536198467,235.2095536198467,235.2095536198467,,j,2.758654309436679,lure,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
SZAPPAN UTCA,stimuli/objects/092a.jpg,object,left,Hippopolis,2,stimuli/scenes/061a.jpg,stimuli/scenes/061b.jpg,stimuli/objects/036a.jpg,stimuli/objects/036b.jpg,stimuli/scenes/061a.jpg,lure,dist1,dist2,target,0,51,51,42,,,,,237.99484195932746,239.06698020361364,239.06698020361364,239.06698020361364,239.06698020361364,239.06698020361364,239.06698020361364,239.06698020361364,239.06698020361364,239.06698020361364,239.06698020361364,242.49520956911147,f,3.588435221463442,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
TELEFON UTCA,stimuli/objects/076a.jpg,object,left,Hippopolis,1,stimuli/objects/094a.jpg,stimuli/scenes/045a.jpg,stimuli/objects/094b.jpg,stimuli/objects/094a.jpg,stimuli/scenes/045b.jpg,dist1,lure,target,dist2,0,52,52,67,,,,,242.67808101698756,243.69783054478467,243.69783054478467,243.69783054478467,243.69783054478467,243.69783054478467,243.69783054478467,243.69783054478467,243.69783054478467,243.69783054478467,243.69783054478467,,f,1.966411553323269,lure,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
TOLLTARTÓ UTCA,stimuli/scenes/106a.jpg,scene,right,Hippopolis,2,stimuli/objects/050a.jpg,stimuli/objects/025b.jpg,stimuli/objects/050a.jpg,stimuli/objects/050b.jpg,stimuli/objects/025a.jpg,dist2,target,lure,dist1,0,53,53,64,,,,,245.6929014045745,246.75000373274088,246.75000373274088,246.75000373274088,246.75000373274088,246.75000373274088,246.75000373274088,246.75000373274088,246.75000373274088,246.75000373274088,246.75000373274088,,j,1.649904079735279,lure,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
LÁNDZSA UTCA,stimuli/scenes/055a.jpg,scene,right,Hippopolis,2,stimuli/objects/070a.jpg,stimuli/objects/070b.jpg,stimuli/scenes/061b.jpg,stimuli/objects/070a.jpg,stimuli/scenes/061a.jpg,lure,dist2,target,dist1,0,54,54,69,,,,,248.42816654406488,249.45300537906587,249.45300537906587,249.45300537906587,249.45300537906587,249.45300537906587,249.45300537906587,249.45300537906587,249.45300537906587,249.45300537906587,249.45300537906587,,j,3.2662033662199974,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
BONBON UTCA,stimuli/scenes/071a.jpg,scene,right,Hippopolis,2,stimuli/objects/078a.jpg,stimuli/objects/111b.jpg,stimuli/objects/078a.jpg,stimuli/objects/078b.jpg,stimuli/objects/111a.jpg,dist2,target,lure,dist1,0,55,55,52,,,,,252.74470045231283,253.7825990691781,253.7825990691781,253.7825990691781,253.7825990691781,253.7825990691781,253.7825990691781,253.7825990691781,253.7825990691781,253.7825990691781,253.7825990691781,257.242929270491,j,3.464632907882333,lure,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
DOMINÓ UTCA,stimuli/objects/091a.jpg,object,left,Hippopolis,0,stimuli/objects/091a.jpg,stimuli/scenes/119b.jpg,stimuli/objects/091a.jpg,stimuli/scenes/119a.jpg,stimuli/objects/091b.jpg,dist2,target,dist1,lure,0,56,56,21,,,,,257.28561116568744,258.331781309098,258.331781309098,258.331781309098,258.331781309098,258.331781309098,258.331781309098,258.331781309098,258.331781309098,258.331781309098,258.331781309098,261.7788495756686,j,4.148207852616906,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
HEGESZTŐ UTCA,stimuli/objects/031a.jpg,object,left,Camponello,0,stimuli/objects/031a.jpg,stimuli/objects/003a.jpg,stimuli/objects/031a.jpg,stimuli/objects/031b.jpg,stimuli/objects/003b.jpg,dist1,target,lure,dist2,0,57,57,93,,,,,262.4971172828227,263.55779525078833,263.55779525078833,263.55779525078833,263.55779525078833,263.55779525078833,263.55779525078833,263.55779525078833,263.55779525078833,263.55779525078833,263.55779525078833,,d,1.9139058999717236,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
TORONY UTCA,stimuli/scenes/112a.jpg,scene,right,Camponello,0,stimuli/scenes/112a.jpg,stimuli/scenes/112b.jpg,stimuli/scenes/112a.jpg,stimuli/scenes/086a.jpg,stimuli/scenes/086b.jpg,lure,target,dist1,dist2,0,58,58,145,,,,,265.4942995645106,266.5295412540436,266.5295412540436,266.5295412540436,266.5295412540436,266.5295412540436,266.5295412540436,266.5295412540436,266.5295412540436,266.5295412540436,266.5295412540436,269.9813887551427,f,4.109321478754282,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
GYŰRŰ UTCA,stimuli/objects/079a.jpg,object,left,Camponello,0,stimuli/objects/079a.jpg,stimuli/objects/079a.jpg,stimuli/objects/037b.jpg,stimuli/objects/037a.jpg,stimuli/objects/079b.jpg,target,dist2,dist1,lure,0,59,59,100,,,,,270.6692503001541,271.7141664661467,271.7141664661467,271.7141664661467,271.7141664661467,271.7141664661467,271.7141664661467,271.7141664661467,271.7141664661467,271.7141664661467,271.7141664661467,,d,2.8934105783700943,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
ZONGORA UTCA,stimuli/objects/064a.jpg,object,left,Camponello,2,stimuli/scenes/094a.jpg,stimuli/scenes/108b.jpg,stimuli/scenes/094b.jpg,stimuli/scenes/108a.jpg,stimuli/scenes/094a.jpg,dist2,lure,dist1,target,0,60,60,101,,,,,274.62748774141073,275.6977904252708,275.6977904252708,275.6977904252708,275.6977904252708,275.6977904252708,275.6977904252708,275.6977904252708,275.6977904252708,275.6977904252708,275.6977904252708,279.12804972939193,k,3.4531539734452963,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
LOVAGLÁS UTCA,stimuli/scenes/048a.jpg,scene,right,Camponello,2,stimuli/objects/057a.jpg,stimuli/objects/019b.jpg,stimuli/objects/057a.jpg,stimuli/objects/019a.jpg,stimuli/objects/057b.jpg,dist2,target,dist1,lure,0,61,61,135,,,,,279.1789608541876,280.2335004899651,280.2335004899651,280.2335004899651,280.2335004899651,280.2335004899651,280.2335004899651,280.2335004899651,280.2335004899651,280.2335004899651,280.2335004899651,,j,2.6134404465556145,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
MOSODA UTCA,stimuli/objects/024a.jpg,object,left,Hippopolis,0,stimuli/objects/024a.jpg,stimuli/objects/024b.jpg,stimuli/objects/024a.jpg,stimuli/objects/112a.jpg,stimuli/objects/112b.jpg,lure,target,dist1,dist2,0,62,62,23,,,,,282.87742491811514,283.91473697684705,283.91473697684705,283.91473697684705,283.91473697684705,283.91473697684705,283.91473697684705,283.91473697684705,283.91473697684705,283.91473697684705,283.91473697684705,,f,3.236904075369239,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
SAJTÓ UTCA,stimuli/objects/106a.jpg,object,left,Hippopolis,2,stimuli/scenes/087a.jpg,stimuli/objects/054b.jpg,stimuli/scenes/087a.jpg,stimuli/objects/054a.jpg,stimuli/scenes/087b.jpg,dist2,target,dist1,lure,0,63,63,34,,,,,287.1774247922003,288.21540427207947,288.21540427207947,288.21540427207947,288.21540427207947,288.21540427207947,288.21540427207947,288.21540427207947,288.21540427207947,288.21540427207947,288.21540427207947,,k,1.944139763712883,lure,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
BAGOLY UTCA,stimuli/objects/116a.jpg,object,left,Camponello,0,stimuli/objects/116a.jpg,stimuli/objects/016a.jpg,stimuli/objects/016b.jpg,stimuli/objects/116a.jpg,stimuli/objects/116b.jpg,dist1,dist2,target,lure,0,64,64,116,,,,,290.17759429104626,291.21596470475197,291.21596470475197,291.21596470475197,291.21596470475197,291.21596470475197,291.21596470475197,291.21596470475197,291.21596470475197,291.21596470475197,291.21596470475197,,j,2.046786490827799,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
TRIATLON UTCA,stimuli/scenes/059a.jpg,scene,right,Camponello,0,stimuli/scenes/059a.jpg,stimuli/scenes/059b.jpg,stimuli/scenes/120a.jpg,stimuli/scenes/120b.jpg,stimuli/scenes/059a.jpg,lure,dist1,dist2,target,0,65,65,148,,,,,293.29411594569683,294.333237439394,294.333237439394,294.333237439394,294.333237439394,294.333237439394,294.333237439394,294.333237439394,294.333237439394,294.333237439394,294.333237439394,,f,2.866238260641694,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
PAPAGÁJ UTCA,stimuli/objects/082a.jpg,object,left,Camponello,0,stimuli/objects/082a.jpg,stimuli/scenes/092a.jpg,stimuli/objects/082a.jpg,stimuli/scenes/092b.jpg,stimuli/objects/082b.jpg,dist1,target,dist2,lure,0,66,66,124,,,,,297.2273021321744,298.26475258916616,298.26475258916616,298.26475258916616,298.26475258916616,298.26475258916616,298.26475258916616,298.26475258916616,298.26475258916616,298.26475258916616,298.26475258916616,301.7278320863843,f,4.694848237559199,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
HERNYÓ UTCA,stimuli/objects/010a.jpg,object,left,Hippopolis,2,stimuli/scenes/081a.jpg,stimuli/scenes/063a.jpg,stimuli/scenes/081b.jpg,stimuli/scenes/081a.jpg,stimuli/scenes/063b.jpg,dist1,lure,target,dist2,0,67,67,73,,,,,302.98712557926774,304.04230619966984,304.04230619966984,304.04230619966984,304.04230619966984,304.04230619966984,304.04230619966984,304.04230619966984,304.04230619966984,304.04230619966984,304.04230619966984,307.4776675645262,j,4.804262151941657,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
VÖDÖR UTCA,stimuli/objects/093a.jpg,object,left,Camponello,1,stimuli/objects/014a.jpg,stimuli/objects/022a.jpg,stimuli/objects/014b.jpg,stimuli/objects/014a.jpg,stimuli/objects/022b.jpg,dist1,lure,target,dist2,0,68,68,97,,,,,308.868636187166,309.9310455285013,309.9310455285013,309.9310455285013,309.9310455285013,309.9310455285013,309.9310455285013,309.9310455285013,309.9310455285013,309.9310455285013,309.9310455285013,,d,2.94781088270247,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
SZŐNYEG UTCA,stimuli/objects/026a.jpg,object,left,Camponello,0,stimuli/objects/026a.jpg,stimuli/objects/026a.jpg,stimuli/objects/099a.jpg,stimuli/objects/026b.jpg,stimuli/objects/099b.jpg,target,dist1,lure,dist2,0,69,69,117,,,,,312.90196549892426,313.9497625157237,313.9497625157237,313.9497625157237,313.9497625157237,313.9497625157237,313.9497625157237,313.9497625157237,313.9497625157237,313.9497625157237,313.9497625157237,317.39320196025074,d,4.081319397315383,target,None,313.9497625157237,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
KÁRTYA UTCA,stimuli/objects/061a.jpg,object,left,Camponello,2,stimuli/scenes/032a.jpg,stimuli/objects/118a.jpg,stimuli/objects/118b.jpg,stimuli/scenes/032b.jpg,stimuli/scenes/032a.jpg,dist1,dist2,lure,target,0,70,70,82,,,,,318.06046088784933,319.11498497240245,319.11498497240245,319.11498497240245,319.11498497240245,319.11498497240245,319.11498497240245,319.11498497240245,319.11498497240245,319.11498497240245,319.11498497240245,322.5700206011534,k,3.6838358100503683,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
KANÁL UTCA,stimuli/objects/006a.jpg,object,left,Hippopolis,1,stimuli/objects/114a.jpg,stimuli/objects/114a.jpg,stimuli/objects/094b.jpg,stimuli/objects/094a.jpg,stimuli/objects/114b.jpg,target,dist2,dist1,lure,0,71,71,32,,,,,322.8267324306071,323.86505339480937,323.86505339480937,323.86505339480937,323.86505339480937,323.86505339480937,323.86505339480937,323.86505339480937,323.86505339480937,323.86505339480937,323.86505339480937,,d,2.4860015343874693,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
SIVATAG UTCA,stimuli/scenes/084a.jpg,scene,right,Hippopolis,2,stimuli/objects/102a.jpg,stimuli/objects/102b.jpg,stimuli/objects/102a.jpg,stimuli/objects/059a.jpg,stimuli/objects/059b.jpg,lure,target,dist1,dist2,0,72,72,19,,,,,326.3771555852145,327.42451781593263,327.42451781593263,327.42451781593263,327.42451781593263,327.42451781593263,327.42451781593263,327.42451781593263,327.42451781593263,327.42451781593263,327.42451781593263,,d,2.5422775205224752,lure,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
RÓZSA UTCA,stimuli/objects/028a.jpg,object,left,Hippopolis,0,stimuli/objects/028a.jpg,stimuli/scenes/044a.jpg,stimuli/objects/028b.jpg,stimuli/scenes/044b.jpg,stimuli/objects/028a.jpg,dist1,lure,dist2,target,0,73,73,78,,,,,329.99373415485024,331.0473482348025,331.0473482348025,331.0473482348025,331.0473482348025,331.0473482348025,331.0473482348025,331.0473482348025,331.0473482348025,331.0473482348025,331.0473482348025,,f,3.2549698166549206,lure,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
KULLANCS UTCA,stimuli/scenes/074a.jpg,scene,right,Hippopolis,1,stimuli/scenes/045a.jpg,stimuli/scenes/098b.jpg,stimuli/scenes/045b.jpg,stimuli/scenes/045a.jpg,stimuli/scenes/098a.jpg,dist2,lure,target,dist1,0,74,74,50,,,,,334.32714575715363,335.3566129915416,335.3566129915416,335.3566129915416,335.3566129915416,335.3566129915416,335.3566129915416,335.3566129915416,335.3566129915416,335.3566129915416,335.3566129915416,,k,2.6739047560840845,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
TULIPÁN UTCA,stimuli/objects/088a.jpg,object,left,Camponello,0,stimuli/objects/088a.jpg,stimuli/objects/085a.jpg,stimuli/objects/088b.jpg,stimuli/objects/088a.jpg,stimuli/objects/085b.jpg,dist1,lure,target,dist2,0,75,75,103,,,,,338.0604639966041,339.10070760175586,339.10070760175586,339.10070760175586,339.10070760175586,339.10070760175586,339.10070760175586,339.10070760175586,339.10070760175586,339.10070760175586,339.10070760175586,,j,1.4897457417100668,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
LABDA UTCA,stimuli/objects/062a.jpg,object,left,Hippopolis,1,stimuli/objects/120a.jpg,stimuli/scenes/075a.jpg,stimuli/scenes/075b.jpg,stimuli/objects/120b.jpg,stimuli/objects/120a.jpg,dist1,dist2,lure,target,0,76,76,55,,,,,340.61007635854185,341.64371325448155,341.64371325448155,341.64371325448155,341.64371325448155,341.64371325448155,341.64371325448155,341.64371325448155,341.64371325448155,341.64371325448155,341.64371325448155,,d,2.5628664530813694,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
TOBOZ UTCA,stimuli/objects/096a.jpg,object,left,Hippopolis,2,stimuli/scenes/036a.jpg,stimuli/scenes/036b.jpg,stimuli/scenes/036a.jpg,stimuli/scenes/081b.jpg,stimuli/scenes/081a.jpg,lure,target,dist2,dist1,0,77,77,58,,,,,344.226941363886,345.2556404117495,345.2556404117495,345.2556404117495,345.2556404117495,345.2556404117495,345.2556404117495,345.2556404117495,345.2556404117495,345.2556404117495,345.2556404117495,,j,3.0947424322366714,dist2,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
KECSKE UTCA,stimuli/scenes/116a.jpg,scene,right,Camponello,0,stimuli/scenes/116a.jpg,stimuli/scenes/024a.jpg,stimuli/scenes/116b.jpg,stimuli/scenes/116a.jpg,stimuli/scenes/024b.jpg,dist1,lure,target,dist2,0,78,78,110,,,,,348.3768629282713,349.4115137066692,349.4115137066692,349.4115137066692,349.4115137066692,349.4115137066692,349.4115137066692,349.4115137066692,349.4115137066692,349.4115137066692,349.4115137066692,,j,1.9310022331774235,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
ZEBRA UTCA,stimuli/scenes/035a.jpg,scene,right,Camponello,0,stimuli/scenes/035a.jpg,stimuli/scenes/035b.jpg,stimuli/objects/090b.jpg,stimuli/scenes/035a.jpg,stimuli/objects/090a.jpg,lure,dist2,target,dist1,0,79,79,86,,,,,351.3753458391875,352.425629042089,352.425629042089,352.425629042089,352.425629042089,352.425629042089,352.425629042089,352.425629042089,352.425629042089,352.425629042089,352.425629042089,,f,2.708979746326804,dist2,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
MOTOR UTCA,stimuli/objects/004a.jpg,object,left,Camponello,2,stimuli/scenes/079a.jpg,stimuli/objects/073a.jpg,stimuli/scenes/079a.jpg,stimuli/scenes/079b.jpg,stimuli/objects/073b.jpg,dist1,target,lure,dist2,0,80,80,122,,,,,355.15516824275255,356.1954342406243,356.1954342406243,356.1954342406243,356.1954342406243,356.1954342406243,356.1954342406243,356.1954342406243,356.1954342406243,356.1954342406243,356.1954342406243,,k,3.1307358238846064,dist2,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
HAJÓ UTCA,stimuli/scenes/110a.jpg,scene,right,Hippopolis,0,stimuli/scenes/110a.jpg,stimuli/scenes/110a.jpg,stimuli/scenes/053a.jpg,stimuli/scenes/110b.jpg,stimuli/scenes/053b.jpg,target,dist1,lure,dist2,0,81,81,2,,,,,359.35430501401424,360.4202539194375,360.4202539194375,360.4202539194375,360.4202539194375,360.4202539194375,360.4202539194375,360.4202539194375,360.4202539194375,360.4202539194375,360.4202539194375,363.8437419924885,j,3.8498982954770327,lure,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
SZIKLA UTCA,stimuli/scenes/102a.jpg,scene,right,Hippopolis,2,stimuli/objects/111a.jpg,stimuli/objects/078b.jpg,stimuli/objects/111a.jpg,stimuli/objects/111b.jpg,stimuli/objects/078a.jpg,dist2,target,lure,dist1,0,82,82,59,,,,,364.2882814668119,365.3361441064626,365.3361441064626,365.3361441064626,365.3361441064626,365.3361441064626,365.3361441064626,365.3361441064626,365.3361441064626,365.3361441064626,365.3361441064626,,k,2.502430759370327,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
ÜVEG UTCA,stimuli/scenes/066a.jpg,scene,right,Hippopolis,2,stimuli/objects/025a.jpg,stimuli/objects/025b.jpg,stimuli/objects/065a.jpg,stimuli/objects/025a.jpg,stimuli/objects/065b.jpg,lure,dist1,target,dist2,0,83,83,51,,,,,367.8616786636412,368.92509131133556,368.92509131133556,368.92509131133556,368.92509131133556,368.92509131133556,368.92509131133556,368.92509131133556,368.92509131133556,368.92509131133556,368.92509131133556,,j,2.2895185835659504,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
BETON UTCA,stimuli/scenes/031a.jpg,scene,right,Camponello,0,stimuli/scenes/031a.jpg,stimuli/scenes/047a.jpg,stimuli/scenes/031a.jpg,stimuli/scenes/047b.jpg,stimuli/scenes/031b.jpg,dist1,target,dist2,lure,0,84,84,128,,,,,371.2433152291924,372.2742398381233,372.2742398381233,372.2742398381233,372.2742398381233,372.2742398381233,372.2742398381233,372.2742398381233,372.2742398381233,372.2742398381233,372.2742398381233,,f,2.1558243986219168,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
ZSEMLE UTCA,stimuli/scenes/105a.jpg,scene,right,Camponello,0,stimuli/scenes/105a.jpg,stimuli/scenes/105a.jpg,stimuli/objects/038a.jpg,stimuli/objects/038b.jpg,stimuli/scenes/105b.jpg,target,dist1,dist2,lure,0,85,85,120,,,,,374.46808452531695,375.52902684919536,375.52902684919536,375.52902684919536,375.52902684919536,375.52902684919536,375.52902684919536,375.52902684919536,375.52902684919536,375.52902684919536,375.52902684919536,,f,2.4686470683664083,dist1,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
KATONA UTCA,stimuli/objects/039a.jpg,object,left,Hippopolis,1,stimuli/objects/115a.jpg,stimuli/objects/063a.jpg,stimuli/objects/063b.jpg,stimuli/objects/115a.jpg,stimuli/objects/115b.jpg,dist1,dist2,target,lure,0,86,86,28,,,,,378.02661312930286,379.0747572295368,379.0747572295368,379.0747572295368,379.0747572295368,379.0747572295368,379.0747572295368,379.0747572295368,379.0747572295368,379.0747572295368,379.0747572295368,,k,3.0511894077062607,lure,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
ASZTAL UTCA,stimuli/scenes/047a.jpg,scene,right,Camponello,0,stimuli/scenes/047a.jpg,stimuli/scenes/059a.jpg,stimuli/scenes/047a.jpg,stimuli/scenes/047b.jpg,stimuli/scenes/059b.jpg,dist1,target,lure,dist2,0,87,87,114,,,,,382.1570946164429,383.18624089099467,383.18624089099467,383.18624089099467,383.18624089099467,383.18624089099467,383.18624089099467,383.18624089099467,383.18624089099467,383.18624089099467,383.18624089099467,386.6435505989939,f,3.9638600572943687,target,None,,,,,,,,,,,,,,,ST01_120922,2022-12-09_13h16.31.340,Hippopolis_4AFCT,2022.2.2,59.94839268076782,
