CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,fx_cross.stopped,clock0.started,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,17.24055170000065,17.24055170000065,space,20.898708599968813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-25_14h14.23.057,Hippopolis_4AFCT,2022.2.4,60.17415605157809,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,BOLYGÓ UTCA,stimuli/scenes/118a.jpg,scene,1,stimuli/scenes/087a.jpg,stimuli/objects/011a.jpg,stimuli/scenes/087b.jpg,stimuli/objects/011b.jpg,stimuli/scenes/087a.jpg,dist1,lure,dist2,target,0,0,0,0,0,0,0,31,,,,,38.2526552999625,38.2526552999625,41.190347100025974,42.24298640002962,42.24298640002962,42.24298640002962,42.24298640002962,42.24298640002962,42.24298640002962,42.24298640002962,42.24298640002962,42.24298640002962,42.24298640002962,42.24298640002962,42.24298640002962,k,2.3807297999737784,target,None,,,,,,,,,,,,,,,,student1,2022-10-25_14h14.23.057,Hippopolis_4AFCT,2022.2.4,60.17415605157809,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,FÉNYKÉP UTCA,stimuli/scenes/010a.jpg,scene,1,stimuli/scenes/078a.jpg,stimuli/scenes/088a.jpg,stimuli/scenes/078a.jpg,stimuli/scenes/088b.jpg,stimuli/scenes/078b.jpg,dist1,target,dist2,lure,0,0,0,0,0,1,1,32,,,,,,,44.651667100028135,45.66562500002328,45.66562500002328,45.66562500002328,45.66562500002328,45.66562500002328,45.66562500002328,45.66562500002328,45.66562500002328,45.66562500002328,45.66562500002328,45.66562500002328,45.66562500002328,f,3.7390268000308424,target,None,45.66562500002328,49.15272130002268,,,,,,,,,,,,,,student1,2022-10-25_14h14.23.057,Hippopolis_4AFCT,2022.2.4,60.17415605157809,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,CSILLAG UTCA,stimuli/scenes/083a.jpg,scene,1,stimuli/scenes/117a.jpg,stimuli/scenes/117a.jpg,stimuli/scenes/117b.jpg,stimuli/objects/041a.jpg,stimuli/objects/041b.jpg,target,lure,dist1,dist2,0,0,0,0,0,2,2,15,,,,,,,49.43456349999178,50.46267230005469,50.46267230005469,50.46267230005469,50.46267230005469,50.46267230005469,50.46267230005469,50.46267230005469,50.46267230005469,50.46267230005469,50.46267230005469,50.46267230005469,50.46267230005469,j,2.1743778999662027,dist1,None,50.46267230005469,,,,,,,,,,,,,,,student1,2022-10-25_14h14.23.057,Hippopolis_4AFCT,2022.2.4,60.17415605157809,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KÖTÉNY UTCA,stimuli/scenes/031a.jpg,scene,1,stimuli/scenes/064a.jpg,stimuli/objects/103a.jpg,stimuli/objects/103b.jpg,stimuli/scenes/064b.jpg,stimuli/scenes/064a.jpg,dist1,dist2,lure,target,0,0,0,0,0,3,3,22,,,,,,,52.668009700020775,53.681195899960585,53.681195899960585,53.681195899960585,53.681195899960585,53.681195899960585,53.681195899960585,53.681195899960585,53.681195899960585,53.681195899960585,53.681195899960585,53.681195899960585,53.681195899960585,d,1.809224999975413,dist1,None,53.681195899960585,,,,,,,,,,,,,,,student1,2022-10-25_14h14.23.057,Hippopolis_4AFCT,2022.2.4,60.17415605157809,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PULÓVER UTCA,stimuli/objects/114a.jpg,object,0,stimuli/objects/114a.jpg,stimuli/scenes/050b.jpg,stimuli/scenes/050a.jpg,stimuli/objects/114b.jpg,stimuli/objects/114a.jpg,dist2,dist1,lure,target,0,0,0,0,0,4,4,43,,,,,,,55.51769799995236,56.543109599966556,56.543109599966556,56.543109599966556,56.543109599966556,56.543109599966556,56.543109599966556,56.543109599966556,56.543109599966556,56.543109599966556,56.543109599966556,56.543109599966556,56.543109599966556,k,2.429078400018625,target,None,56.543109599966556,,,,,,,,,,,,,,,student1,2022-10-25_14h14.23.057,Hippopolis_4AFCT,2022.2.4,60.17415605157809,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KIRAKÓ UTCA,stimuli/objects/079a.jpg,object,2,stimuli/scenes/070a.jpg,stimuli/scenes/070a.jpg,stimuli/scenes/070b.jpg,stimuli/objects/043b.jpg,stimuli/objects/043a.jpg,target,lure,dist2,dist1,0,0,0,0,0,5,5,57,,,,,,,59.001826300052926,60.00832000002265,60.00832000002265,60.00832000002265,60.00832000002265,60.00832000002265,60.00832000002265,60.00832000002265,60.00832000002265,60.00832000002265,60.00832000002265,60.00832000002265,60.00832000002265,d,2.4616584999021143,target,None,60.00832000002265,,,,,,,,,,,,,,,student1,2022-10-25_14h14.23.057,Hippopolis_4AFCT,2022.2.4,60.17415605157809,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TELEP UTCA,stimuli/scenes/048a.jpg,scene,2,stimuli/objects/120a.jpg,stimuli/objects/120a.jpg,stimuli/objects/120b.jpg,stimuli/scenes/119b.jpg,stimuli/scenes/119a.jpg,target,lure,dist2,dist1,0,0,0,0,0,6,6,75,,,,,,,62.500932199996896,63.51727109996136,63.51727109996136,63.51727109996136,63.51727109996136,63.51727109996136,63.51727109996136,63.51727109996136,63.51727109996136,63.51727109996136,63.51727109996136,63.51727109996136,63.51727109996136,k,2.8331815999699757,dist1,None,63.51727109996136,,,,,,,,,,,,,,,student1,2022-10-25_14h14.23.057,Hippopolis_4AFCT,2022.2.4,60.17415605157809,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TERASZ UTCA,stimuli/objects/063a.jpg,object,2,stimuli/scenes/104a.jpg,stimuli/scenes/104a.jpg,stimuli/scenes/056a.jpg,stimuli/scenes/104b.jpg,stimuli/scenes/056b.jpg,target,dist1,lure,dist2,0,0,0,0,0,7,7,48,,,,,,,66.36757949995808,67.37876720004715,67.37876720004715,67.37876720004715,67.37876720004715,67.37876720004715,67.37876720004715,67.37876720004715,67.37876720004715,67.37876720004715,67.37876720004715,67.37876720004715,67.37876720004715,d,2.232529299915768,target,None,67.37876720004715,,,,,,,,,,,,,,,student1,2022-10-25_14h14.23.057,Hippopolis_4AFCT,2022.2.4,60.17415605157809,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,ZSEMLE UTCA,stimuli/objects/115a.jpg,object,1,stimuli/objects/053a.jpg,stimuli/objects/007a.jpg,stimuli/objects/053a.jpg,stimuli/objects/007b.jpg,stimuli/objects/053b.jpg,dist1,target,dist2,lure,0,0,0,0,0,8,8,47,,,,,,,69.63411630003247,70.66770370001905,70.66770370001905,70.66770370001905,70.66770370001905,70.66770370001905,70.66770370001905,70.66770370001905,70.66770370001905,70.66770370001905,70.66770370001905,70.66770370001905,70.66770370001905,f,1.8880541000980884,target,None,70.66770370001905,,,,,,,,,,,,,,,student1,2022-10-25_14h14.23.057,Hippopolis_4AFCT,2022.2.4,60.17415605157809,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MOGYORÓ UTCA,stimuli/objects/106a.jpg,object,1,stimuli/objects/103a.jpg,stimuli/scenes/116a.jpg,stimuli/objects/103b.jpg,stimuli/objects/103a.jpg,stimuli/scenes/116b.jpg,dist1,lure,target,dist2,0,0,0,0,0,9,9,54,,,,,,,72.58410229999572,73.61092280002777,73.61092280002777,73.61092280002777,73.61092280002777,73.61092280002777,73.61092280002777,73.61092280002777,73.61092280002777,73.61092280002777,73.61092280002777,73.61092280002777,73.61092280002777,f,3.5863280999474227,lure,None,73.61092280002777,77.08540820004418,,,,,,,,,,,,,,student1,2022-10-25_14h14.23.057,Hippopolis_4AFCT,2022.2.4,60.17415605157809,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,HÁRFA UTCA,stimuli/objects/083a.jpg,object,2,stimuli/scenes/028a.jpg,stimuli/scenes/028b.jpg,stimuli/objects/012b.jpg,stimuli/objects/012a.jpg,stimuli/scenes/028a.jpg,lure,dist2,dist1,target,0,0,0,0,0,10,10,16,,,,,,,77.21747589996085,78.23379690002184,78.23379690002184,78.23379690002184,78.23379690002184,78.23379690002184,78.23379690002184,78.23379690002184,78.23379690002184,78.23379690002184,78.23379690002184,78.23379690002184,78.23379690002184,k,3.113177499966696,target,None,78.23379690002184,,,,,,,,,,,,,,,student1,2022-10-25_14h14.23.057,Hippopolis_4AFCT,2022.2.4,60.17415605157809,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,HORDÓ UTCA,stimuli/scenes/095a.jpg,scene,0,stimuli/scenes/095a.jpg,stimuli/scenes/095a.jpg,stimuli/scenes/046a.jpg,stimuli/scenes/095b.jpg,stimuli/scenes/046b.jpg,target,dist1,lure,dist2,0,0,0,0,0,11,11,27,,,,,,,81.3673333999468,82.38870819995645,82.38870819995645,82.38870819995645,82.38870819995645,82.38870819995645,82.38870819995645,82.38870819995645,82.38870819995645,82.38870819995645,82.38870819995645,82.38870819995645,82.38870819995645,d,1.0452493999619037,target,None,82.38870819995645,,,,,,,,,,,,,,,student1,2022-10-25_14h14.23.057,Hippopolis_4AFCT,2022.2.4,60.17415605157809,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TALICSKA UTCA,stimuli/objects/014a.jpg,object,1,stimuli/objects/108a.jpg,stimuli/objects/109a.jpg,stimuli/objects/109b.jpg,stimuli/objects/108a.jpg,stimuli/objects/108b.jpg,dist1,dist2,target,lure,0,0,0,0,0,12,12,13,,,,,,,83.45077170000877,84.47185279999394,84.47185279999394,84.47185279999394,84.47185279999394,84.47185279999394,84.47185279999394,84.47185279999394,84.47185279999394,84.47185279999394,84.47185279999394,84.47185279999394,84.47185279999394,j,2.1044364999979734,target,None,84.47185279999394,,,,,,,,,,,,,,,student1,2022-10-25_14h14.23.057,Hippopolis_4AFCT,2022.2.4,60.17415605157809,
