CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,learning_image.started,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,test_text.started,key_resp.started,key_resp.keys,key_resp.rt,plate_test.started,city_text_test.started,street_text_test.started,test_question.started,test_key_resp.started,button_image.started,test_key_resp.keys,verbal_test_key_resp.keys,test_key_resp.rt,plate_verbal.started,street_text_verbal.started,city_text_verbal.started,question_verbal.started,verbal_test_key_resp.started,verbal_test_key_resp.rt,n_remembered,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.881874484941363,13.881874484941363,space,32.55215126648545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-21_14h14.29.763,Hippopolis_Learning,2022.2.2,59.852424842396424,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,CSAVAR UTCA,stimuli/objects/078a.jpg,object,0,stimuli/objects/078a.jpg,stimuli/objects/078b.jpg,stimuli/objects/024b.jpg,stimuli/objects/078a.jpg,stimuli/objects/024a.jpg,lure,dist2,target,dist1,0,0,0,0,0,0,0,10,,,,,,,,,46.55914128758013,46.55914128758013,49.50815676525235,50.49648531712592,50.49648531712592,50.49648531712592,50.49648531712592,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-21_14h14.29.763,Hippopolis_Learning,2022.2.2,59.852424842396424,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,KAKAS UTCA,stimuli/objects/002a.jpg,object,2,stimuli/scenes/074a.jpg,stimuli/scenes/074b.jpg,stimuli/scenes/074a.jpg,stimuli/scenes/070a.jpg,stimuli/scenes/070b.jpg,lure,target,dist1,dist2,0,0,0,0,0,1,1,24,,,,,,,,,,,53.46200590394437,54.49331336282194,54.49331336282194,54.49331336282194,54.49331336282194,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-21_14h14.29.763,Hippopolis_Learning,2022.2.2,59.852424842396424,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MOGYORÓ UTCA,stimuli/objects/106a.jpg,object,1,stimuli/objects/103a.jpg,stimuli/scenes/116a.jpg,stimuli/objects/103b.jpg,stimuli/objects/103a.jpg,stimuli/scenes/116b.jpg,dist1,lure,target,dist2,0,0,0,0,0,2,2,54,,,,,,,,,,,57.47628825157881,58.51970038935542,58.51970038935542,58.51970038935542,58.51970038935542,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-21_14h14.29.763,Hippopolis_Learning,2022.2.2,59.852424842396424,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TERASZ UTCA,stimuli/objects/063a.jpg,object,2,stimuli/scenes/104a.jpg,stimuli/scenes/104a.jpg,stimuli/scenes/056a.jpg,stimuli/scenes/104b.jpg,stimuli/scenes/056b.jpg,target,dist1,lure,dist2,0,0,0,0,0,3,3,48,,,,,,,,,,,61.47671712934971,62.495059663429856,62.495059663429856,62.495059663429856,62.495059663429856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-21_14h14.29.763,Hippopolis_Learning,2022.2.2,59.852424842396424,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,PADLÓ UTCA,stimuli/objects/100a.jpg,object,0,stimuli/objects/100a.jpg,stimuli/scenes/058a.jpg,stimuli/scenes/058b.jpg,stimuli/objects/100a.jpg,stimuli/objects/100b.jpg,dist1,dist2,target,lure,0,0,0,0,0,4,4,59,,,,,,,,,,,65.48647650890052,66.52108312398195,66.52108312398195,66.52108312398195,66.52108312398195,None,66.52108312398195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-21_14h14.29.763,Hippopolis_Learning,2022.2.2,59.852424842396424,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,OLDAL UTCA,stimuli/scenes/093a.jpg,scene,2,stimuli/objects/107a.jpg,stimuli/objects/107b.jpg,stimuli/objects/022a.jpg,stimuli/objects/107a.jpg,stimuli/objects/022b.jpg,lure,dist1,target,dist2,0,0,0,0,0,5,5,11,,,,,,,,,,,69.49383927509189,70.53898589499295,70.53898589499295,70.53898589499295,70.53898589499295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-21_14h14.29.763,Hippopolis_Learning,2022.2.2,59.852424842396424,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MUSTÁR UTCA,stimuli/scenes/050a.jpg,scene,0,stimuli/scenes/050a.jpg,stimuli/objects/009a.jpg,stimuli/objects/009b.jpg,stimuli/scenes/050a.jpg,stimuli/scenes/050b.jpg,dist1,dist2,target,lure,0,0,0,0,0,6,6,78,,,,,,,,,,,73.50755123607814,74.54291359521449,74.54291359521449,74.54291359521449,74.54291359521449,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-21_14h14.29.763,Hippopolis_Learning,2022.2.2,59.852424842396424,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,HERNYÓ UTCA,stimuli/scenes/066a.jpg,scene,1,stimuli/scenes/037a.jpg,stimuli/scenes/037a.jpg,stimuli/objects/045b.jpg,stimuli/scenes/037b.jpg,stimuli/objects/045a.jpg,target,dist2,lure,dist1,0,0,0,0,0,7,7,5,,,,,,,,,,,77.51021562702954,78.53254526481032,78.53254526481032,78.53254526481032,78.53254526481032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-21_14h14.29.763,Hippopolis_Learning,2022.2.2,59.852424842396424,
Hippopolis,stimuli/subj_files/student1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,SZIKLA UTCA,stimuli/scenes/111a.jpg,scene,2,stimuli/objects/073a.jpg,stimuli/objects/120b.jpg,stimuli/objects/120a.jpg,stimuli/objects/073a.jpg,stimuli/objects/073b.jpg,dist2,dist1,target,lure,0,0,0,0,0,8,8,1,,,,,,,,,,,81.51703910715878,82.55704572610557,82.55704572610557,82.55704572610557,82.55704572610557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student1,2022-10-21_14h14.29.763,Hippopolis_Learning,2022.2.2,59.852424842396424,
