CityName,StimuliFile,CityImage,StreetSign,VideoFile,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text.started,city_image.started,fx_cross.started,plate_updating.started,city_text_updating.started,street_text_updating.started,test_image1.started,test_image2.started,test_image3.started,test_image4.started,button_d.started,button_f.started,button_j.started,button_k.started,key_resp.started,clock0.started,key_resp.keys,key_resp.rt,test_resp,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,OROSZLÁN UTCA,stimuli/objects/102a.jpg,object,0,stimuli/objects/102a.jpg,stimuli/objects/102b.jpg,stimuli/scenes/012b.jpg,stimuli/scenes/012a.jpg,stimuli/objects/102a.jpg,lure,dist2,dist1,target,0,0,0,0,0,9,9,76,,,,,,,66.2387375254184,67.30746340751648,67.30746340751648,67.30746340751648,67.30746340751648,67.30746340751648,67.30746340751648,67.30746340751648,67.30746340751648,67.30746340751648,67.30746340751648,67.30746340751648,67.30746340751648,,k,2.2545910198241472,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,TALICSKA UTCA,stimuli/scenes/019a.jpg,scene,0,stimuli/scenes/019a.jpg,stimuli/scenes/019b.jpg,stimuli/scenes/019a.jpg,stimuli/objects/108b.jpg,stimuli/objects/108a.jpg,lure,target,dist2,dist1,0,0,0,0,0,10,10,10,,,,,,,69.5900466144085,70.64156202413142,70.64156202413142,70.64156202413142,70.64156202413142,70.64156202413142,70.64156202413142,70.64156202413142,70.64156202413142,70.64156202413142,70.64156202413142,70.64156202413142,70.64156202413142,,f,2.936242388561368,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KERÉK UTCA,stimuli/scenes/023a.jpg,scene,0,stimuli/scenes/023a.jpg,stimuli/scenes/023a.jpg,stimuli/scenes/018a.jpg,stimuli/scenes/018b.jpg,stimuli/scenes/023b.jpg,target,dist1,dist2,lure,0,0,0,0,0,11,11,31,,,,,,,73.60370725952089,74.65190640836954,74.65190640836954,74.65190640836954,74.65190640836954,74.65190640836954,74.65190640836954,74.65190640836954,74.65190640836954,74.65190640836954,74.65190640836954,74.65190640836954,74.65190640836954,,d,3.3104564771056175,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,MOTOR UTCA,stimuli/scenes/018a.jpg,scene,0,stimuli/scenes/018a.jpg,stimuli/objects/046b.jpg,stimuli/objects/046a.jpg,stimuli/scenes/018a.jpg,stimuli/scenes/018b.jpg,dist2,dist1,target,lure,0,0,0,0,0,12,12,9,,,,,,,77.99692539125681,79.06558813899755,79.06558813899755,79.06558813899755,79.06558813899755,79.06558813899755,79.06558813899755,79.06558813899755,79.06558813899755,79.06558813899755,79.06558813899755,79.06558813899755,79.06558813899755,,j,2.8808515295386314,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,NARANCS UTCA,stimuli/objects/038a.jpg,object,0,stimuli/objects/038a.jpg,stimuli/objects/038b.jpg,stimuli/scenes/019b.jpg,stimuli/objects/038a.jpg,stimuli/scenes/019a.jpg,lure,dist2,target,dist1,0,0,0,0,0,13,13,75,,,,,,,81.97448130324483,83.05304618366063,83.05304618366063,83.05304618366063,83.05304618366063,83.05304618366063,83.05304618366063,83.05304618366063,83.05304618366063,83.05304618366063,83.05304618366063,83.05304618366063,83.05304618366063,,j,2.01280034519732,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,AKÁC UTCA,stimuli/scenes/058a.jpg,scene,0,stimuli/scenes/058a.jpg,stimuli/scenes/058b.jpg,stimuli/objects/104a.jpg,stimuli/objects/104b.jpg,stimuli/scenes/058a.jpg,lure,dist1,dist2,target,0,0,0,0,0,14,14,16,,,,,,,85.08794358931482,86.1889214552939,86.1889214552939,86.1889214552939,86.1889214552939,86.1889214552939,86.1889214552939,86.1889214552939,86.1889214552939,86.1889214552939,86.1889214552939,86.1889214552939,86.1889214552939,,k,2.108776606619358,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KORONA UTCA,stimuli/scenes/120a.jpg,scene,0,stimuli/scenes/120a.jpg,stimuli/scenes/120a.jpg,stimuli/scenes/120b.jpg,stimuli/scenes/063b.jpg,stimuli/scenes/063a.jpg,target,lure,dist2,dist1,0,0,0,0,0,15,15,3,,,,,,,88.33743944764137,89.3970758561045,89.3970758561045,89.3970758561045,89.3970758561045,89.3970758561045,89.3970758561045,89.3970758561045,89.3970758561045,89.3970758561045,89.3970758561045,89.3970758561045,89.3970758561045,,d,3.028466671705246,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,KANÁL UTCA,stimuli/scenes/101a.jpg,scene,0,stimuli/scenes/101a.jpg,stimuli/objects/040a.jpg,stimuli/scenes/101a.jpg,stimuli/scenes/101b.jpg,stimuli/objects/040b.jpg,dist1,target,lure,dist2,0,0,0,0,0,16,16,38,,,,,,,92.46563006192446,93.52799088694155,93.52799088694155,93.52799088694155,93.52799088694155,93.52799088694155,93.52799088694155,93.52799088694155,93.52799088694155,93.52799088694155,93.52799088694155,93.52799088694155,93.52799088694155,,f,2.433480964973569,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,ZÁSZLÓ UTCA,stimuli/objects/062a.jpg,object,0,stimuli/objects/062a.jpg,stimuli/scenes/044b.jpg,stimuli/objects/062a.jpg,stimuli/scenes/044a.jpg,stimuli/objects/062b.jpg,dist2,target,dist1,lure,0,0,0,0,0,17,17,64,,,,,,,95.99135619960725,97.04462195374072,97.04462195374072,97.04462195374072,97.04462195374072,97.04462195374072,97.04462195374072,97.04462195374072,97.04462195374072,97.04462195374072,97.04462195374072,97.04462195374072,97.04462195374072,,f,2.325114207342267,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
Camponello,stimuli/subj_files/ST03_112822_cityB.csv,./stimuli/arnedillo.png,./stimuli/street_plate2.png,./stimuli/videos/camponello_part1.mp4,SUGÁR UTCA,stimuli/scenes/036a.jpg,scene,0,stimuli/scenes/036a.jpg,stimuli/objects/097a.jpg,stimuli/scenes/036a.jpg,stimuli/scenes/036b.jpg,stimuli/objects/097b.jpg,dist1,target,lure,dist2,0,0,0,0,0,18,18,51,,,,,,,99.38931127078831,100.44439143501222,100.44439143501222,100.44439143501222,100.44439143501222,100.44439143501222,100.44439143501222,100.44439143501222,100.44439143501222,100.44439143501222,100.44439143501222,100.44439143501222,100.44439143501222,,f,1.9815333168953657,target,None,,,,,,,,,,,,,,,ST03_112822,2022-11-29_14h38.57.805,Hippopolis_4AFCT,2022.2.2,60.00589696899818,
