CityName,StimuliFile,CityImage,StreetSign,LearningVideoFile,UpdatingVideoFile,Cue,Image,Category,CorrectResponse,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,UpdatingTrials.thisRepN,UpdatingTrials.thisTrialN,UpdatingTrials.thisN,UpdatingTrials.thisIndex,learning_instructions_text.started,intro_key.started,intro_key.keys,intro_key.rt,cityname_text_intro.started,city_image_update.started,load_video.started,movie.started,end_vid_key.started,end_vid_key.keys,cityname_text.started,city_image.started,fx_cross.started,plate.started,city_text.started,street_text.started,fx_cross_prediction.started,key_resp_update.started,button_image_updating.started,key_resp_update.keys,key_resp_update.corr,key_resp_update.rt,plate_updating.started,city_text_updating.started,street_text_updating.started,updating_image.started,short_break_key.keys,fx_cross.stopped,short_break_text.started,short_break_key.started,short_break_key.rt,break_text.started,break_key_resp.started,break_key_resp.keys,break_key_resp.rt,end_text.started,participant,date,expName,psychopyVersion,frameRate,
Hippopolis,stimuli/subj_files/ST01_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,SIVATAG UTCA,stimuli/scenes/084a.jpg,scene,right,2,stimuli/objects/102a.jpg,stimuli/objects/102b.jpg,stimuli/objects/102a.jpg,stimuli/objects/059a.jpg,stimuli/objects/059b.jpg,lure,target,dist1,dist2,0,1,1,1,0,10,10,19,,,,,,,,,,,,,694.6041392460465,695.63099620305,695.63099620305,695.63099620305,695.63099620305,695.63099620305,695.63099620305,right,0,1.3536998126655817,699.6249558385462,699.6249558385462,699.6249558385462,699.6249558385462,None,,,,,,,,,,ST01_120922,2022-12-09_12h55.25.237,Hippopolis_Updating,2022.2.2,59.98227739942304,
Hippopolis,stimuli/subj_files/ST01_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,EGÉR UTCA,stimuli/objects/029a.jpg,object,left,2,stimuli/scenes/017a.jpg,stimuli/scenes/016b.jpg,stimuli/scenes/017b.jpg,stimuli/scenes/016a.jpg,stimuli/scenes/017a.jpg,dist2,lure,dist1,target,0,1,1,1,0,11,11,54,,,,,,,,,,,,,701.6190927457064,702.6464749928564,702.6464749928564,702.6464749928564,702.6464749928564,702.6464749928564,702.6464749928564,left,0,1.2015738356858492,706.6501815654337,706.6501815654337,706.6501815654337,706.6501815654337,None,,,,,,,,,,ST01_120922,2022-12-09_12h55.25.237,Hippopolis_Updating,2022.2.2,59.98227739942304,
Hippopolis,stimuli/subj_files/ST01_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,MOCSÁR UTCA,stimuli/objects/101a.jpg,object,left,0,stimuli/objects/101a.jpg,stimuli/scenes/090b.jpg,stimuli/objects/101b.jpg,stimuli/scenes/090a.jpg,stimuli/objects/101a.jpg,dist2,lure,dist1,target,0,1,1,1,0,12,12,17,,,,,,,,,,,,,708.6264629755169,709.6450331658125,709.6450331658125,709.6450331658125,709.6450331658125,709.6450331658125,709.6450331658125,left,0,3.738925702869892,713.654791302979,713.654791302979,713.654791302979,713.654791302979,None,,,,,,,,,,ST01_120922,2022-12-09_12h55.25.237,Hippopolis_Updating,2022.2.2,59.98227739942304,
Hippopolis,stimuli/subj_files/ST01_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,PADLÓ UTCA,stimuli/objects/089a.jpg,object,left,0,stimuli/objects/089a.jpg,stimuli/scenes/091b.jpg,stimuli/objects/089b.jpg,stimuli/scenes/091a.jpg,stimuli/objects/089a.jpg,dist2,lure,dist1,target,0,1,1,1,0,13,13,66,,,,,,,,,,,,,715.6364677399397,716.6591904889792,716.6591904889792,716.6591904889792,716.6591904889792,716.6591904889792,716.6591904889792,left,0,2.980534128844738,720.6610801629722,720.6610801629722,720.6610801629722,720.6610801629722,None,,,,,,,,,,ST01_120922,2022-12-09_12h55.25.237,Hippopolis_Updating,2022.2.2,59.98227739942304,
Hippopolis,stimuli/subj_files/ST01_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,PAPUCS UTCA,stimuli/objects/097a.jpg,object,left,0,stimuli/objects/097a.jpg,stimuli/objects/097a.jpg,stimuli/objects/066a.jpg,stimuli/objects/097b.jpg,stimuli/objects/066b.jpg,target,dist1,lure,dist2,0,1,1,1,0,14,14,43,,,,,,,,,,,,,722.6521797813475,723.6835130546242,723.6835130546242,723.6835130546242,723.6835130546242,723.6835130546242,723.6835130546242,left,0,1.1568641792982817,727.673485275358,727.673485275358,727.673485275358,727.673485275358,None,,,,,,,,,,ST01_120922,2022-12-09_12h55.25.237,Hippopolis_Updating,2022.2.2,59.98227739942304,
Hippopolis,stimuli/subj_files/ST01_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,FOLYÓ UTCA,stimuli/objects/112a.jpg,object,left,0,stimuli/objects/112a.jpg,stimuli/scenes/057a.jpg,stimuli/objects/112b.jpg,stimuli/objects/112a.jpg,stimuli/scenes/057b.jpg,dist1,lure,target,dist2,0,1,1,1,0,15,15,77,,,,,,,,,,,,,729.6633840985596,730.6952650528401,730.6952650528401,730.6952650528401,730.6952650528401,730.6952650528401,730.6952650528401,left,0,1.5363510679453611,734.6879389863461,734.6879389863461,734.6879389863461,734.6879389863461,None,,,,,,,,,,ST01_120922,2022-12-09_12h55.25.237,Hippopolis_Updating,2022.2.2,59.98227739942304,
Hippopolis,stimuli/subj_files/ST01_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,SÜTEMÉNY UTCA,stimuli/objects/117a.jpg,object,left,1,stimuli/objects/008a.jpg,stimuli/objects/008a.jpg,stimuli/objects/115a.jpg,stimuli/objects/115b.jpg,stimuli/objects/008b.jpg,target,dist1,dist2,lure,0,1,1,1,0,16,16,14,,,,,,,,,,,,,736.6697743460536,737.6982311215252,737.6982311215252,737.6982311215252,737.6982311215252,737.6982311215252,737.6982311215252,right,0,2.101878250017762,741.6977792289108,741.6977792289108,741.6977792289108,741.6977792289108,None,,,,,,,,,,ST01_120922,2022-12-09_12h55.25.237,Hippopolis_Updating,2022.2.2,59.98227739942304,
Hippopolis,stimuli/subj_files/ST01_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,KANÁL UTCA,stimuli/objects/006a.jpg,object,left,1,stimuli/objects/114a.jpg,stimuli/objects/114a.jpg,stimuli/objects/094b.jpg,stimuli/objects/094a.jpg,stimuli/objects/114b.jpg,target,dist2,dist1,lure,0,1,1,1,0,17,17,32,,,,,,,,,,,,,743.6705982033163,744.6796214319766,744.6796214319766,744.6796214319766,744.6796214319766,744.6796214319766,744.6796214319766,left,0,0.8799767419695854,748.7014515921474,748.7014515921474,748.7014515921474,748.7014515921474,None,,,,,,,,,,ST01_120922,2022-12-09_12h55.25.237,Hippopolis_Updating,2022.2.2,59.98227739942304,
Hippopolis,stimuli/subj_files/ST01_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,FOGAS UTCA,stimuli/scenes/115a.jpg,scene,right,1,stimuli/scenes/018a.jpg,stimuli/scenes/018a.jpg,stimuli/objects/110a.jpg,stimuli/objects/110b.jpg,stimuli/scenes/018b.jpg,target,dist1,dist2,lure,0,1,1,1,0,18,18,5,,,,,,,,,,,,,750.6789894662797,751.7093654610217,751.7093654610217,751.7093654610217,751.7093654610217,751.7093654610217,751.7093654610217,right,0,2.5225299429148436,755.709920918569,755.709920918569,755.709920918569,755.709920918569,None,,,,,,,,,,ST01_120922,2022-12-09_12h55.25.237,Hippopolis_Updating,2022.2.2,59.98227739942304,
Hippopolis,stimuli/subj_files/ST01_120922_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png,./stimuli/videos/hippopolis_part,./stimuli/videos/hippo-satellite.mp4,ÁLLOMÁS UTCA,stimuli/scenes/053a.jpg,scene,right,0,stimuli/scenes/053a.jpg,stimuli/objects/091a.jpg,stimuli/scenes/053b.jpg,stimuli/scenes/053a.jpg,stimuli/objects/091b.jpg,dist1,lure,target,dist2,0,1,1,1,0,19,19,7,,,,,,,,,,,,,757.6850739959627,758.7148189581931,758.7148189581931,758.7148189581931,758.7148189581931,758.7148189581931,758.7148189581931,left,0,1.5330814570188522,762.7163484878838,762.7163484878838,762.7163484878838,762.7163484878838,None,,,,,,,,,,ST01_120922,2022-12-09_12h55.25.237,Hippopolis_Updating,2022.2.2,59.98227739942304,
