CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,learning_instructions_text.started,learning_instructions_text.stopped,intro_key.keys,intro_key.rt,intro_key.started,intro_key.stopped,cityname_text.started,cityname_text.stopped,city_image.started,city_image.stopped,fx_cross.started,fx_cross.stopped,plate_updating.started,plate_updating.stopped,city_text_updating.started,city_text_updating.stopped,street_text_updating.started,street_text_updating.stopped,test_image1.started,test_image1.stopped,test_image2.started,test_image2.stopped,test_image3.started,test_image3.stopped,test_image4.started,test_image4.stopped,button_d.started,button_d.stopped,button_f.started,button_f.stopped,button_j.started,button_j.stopped,button_k.started,button_k.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_resp,short_break_text.started,short_break_text.stopped,short_break_key.keys,short_break_key.started,short_break_key.stopped,short_break_key.rt,n_targets,n_lures,n_dist1s,n_dist2s,break_text.started,break_text.stopped,break_key_resp.keys,break_key_resp.rt,break_key_resp.started,break_key_resp.stopped,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,SZAPPAN UTCA,stimuli/objects/023a.jpg,object,1,stimuli/objects/087a.jpg,stimuli/scenes/012b.jpg,stimuli/objects/087b.jpg,stimuli/objects/087a.jpg,stimuli/scenes/012a.jpg,dist2,lure,target,dist1,0,0,0,1,0,38,38,7,,,,,,,,,,,185.11098409999977,None,186.13541329998407,None,186.13541329998407,None,186.13541329998407,None,186.13541329998407,None,186.13541329998407,None,186.13541329998407,None,186.13541329998407,None,186.13541329998407,None,186.13541329998407,None,186.13541329998407,None,186.13541329998407,None,j,2.3108593999932054,186.13541329998407,None,target,None,None,None,None,None,,,,,,,,,,,,,,student1,2022-10-20_16h11.08.893,Hippopolis_4AFCT,2021.1.4,59.94229953924141,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,SÜTEMÉNY UTCA,stimuli/objects/074a.jpg,object,2,stimuli/scenes/102a.jpg,stimuli/objects/061b.jpg,stimuli/objects/061a.jpg,stimuli/scenes/102a.jpg,stimuli/scenes/102b.jpg,dist2,dist1,target,lure,0,0,0,1,0,39,39,32,,,,,,,,,,,188.47750489998725,None,189.49470189999556,None,189.49470189999556,None,189.49470189999556,None,189.49470189999556,None,189.49470189999556,None,189.49470189999556,None,189.49470189999556,None,189.49470189999556,None,189.49470189999556,None,189.49470189999556,None,189.49470189999556,None,j,2.7703490999992937,189.49470189999556,None,target,None,None,None,None,None,,,,,,,,,,,,,,student1,2022-10-20_16h11.08.893,Hippopolis_4AFCT,2021.1.4,59.94229953924141,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,SZŐNYEG UTCA,stimuli/objects/040a.jpg,object,0,stimuli/objects/040a.jpg,stimuli/objects/040a.jpg,stimuli/objects/040b.jpg,stimuli/objects/019b.jpg,stimuli/objects/019a.jpg,target,lure,dist2,dist1,0,0,0,1,0,40,40,29,,,,,,,,,,,192.2946435000049,None,193.30759059998672,None,193.30759059998672,None,193.30759059998672,None,193.30759059998672,None,193.30759059998672,None,193.30759059998672,None,193.30759059998672,None,193.30759059998672,None,193.30759059998672,None,193.30759059998672,None,193.30759059998672,None,None,,193.30759059998672,None,invalid,None,None,None,None,None,,,,,,,,,,,,,,student1,2022-10-20_16h11.08.893,Hippopolis_4AFCT,2021.1.4,59.94229953924141,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,FOLYÓ UTCA,stimuli/scenes/035a.jpg,scene,0,stimuli/scenes/035a.jpg,stimuli/objects/034a.jpg,stimuli/scenes/035a.jpg,stimuli/objects/034b.jpg,stimuli/scenes/035b.jpg,dist1,target,dist2,lure,0,0,0,1,0,41,41,61,,,,,,,,,,,198.3112394999771,None,199.3319044999953,None,199.3319044999953,None,199.3319044999953,None,199.3319044999953,None,199.3319044999953,None,199.3319044999953,None,199.3319044999953,None,199.3319044999953,None,199.3319044999953,None,199.3319044999953,None,199.3319044999953,None,f,2.26249039999675,199.3319044999953,None,target,None,None,None,None,None,,,,,,,,,,,,,,student1,2022-10-20_16h11.08.893,Hippopolis_4AFCT,2021.1.4,59.94229953924141,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,SÜTŐ UTCA,stimuli/scenes/038a.jpg,scene,0,stimuli/scenes/038a.jpg,stimuli/scenes/038b.jpg,stimuli/objects/033b.jpg,stimuli/objects/033a.jpg,stimuli/scenes/038a.jpg,lure,dist2,dist1,target,0,0,0,1,0,42,42,5,,,,,,,,,,,201.61058359997696,None,202.63118399999803,None,202.63118399999803,None,202.63118399999803,None,202.63118399999803,None,202.63118399999803,None,202.63118399999803,None,202.63118399999803,None,202.63118399999803,None,202.63118399999803,None,202.63118399999803,None,202.63118399999803,None,k,2.308430400007637,202.63118399999803,None,target,None,None,None,None,None,,,,,,,,,,,,,,student1,2022-10-20_16h11.08.893,Hippopolis_4AFCT,2021.1.4,59.94229953924141,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,BÚJÓCSKA UTCA,stimuli/scenes/015a.jpg,scene,1,stimuli/scenes/086a.jpg,stimuli/scenes/105b.jpg,stimuli/scenes/086a.jpg,stimuli/scenes/105a.jpg,stimuli/scenes/086b.jpg,dist2,target,dist1,lure,0,0,0,1,0,43,43,48,,,,,,,,,,,204.96085020000464,None,205.97273449998465,None,205.97273449998465,None,205.97273449998465,None,205.97273449998465,None,205.97273449998465,None,205.97273449998465,None,205.97273449998465,None,205.97273449998465,None,205.97273449998465,None,205.97273449998465,None,205.97273449998465,None,f,4.327458700019633,205.97273449998465,None,target,None,None,None,None,None,,,,,,,,,,,,,,student1,2022-10-20_16h11.08.893,Hippopolis_4AFCT,2021.1.4,59.94229953924141,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,ÁLLOMÁS UTCA,stimuli/scenes/069a.jpg,scene,0,stimuli/scenes/069a.jpg,stimuli/scenes/106a.jpg,stimuli/scenes/106b.jpg,stimuli/scenes/069b.jpg,stimuli/scenes/069a.jpg,dist1,dist2,lure,target,0,0,0,1,0,44,44,42,,,,,,,,,,,210.3277720999904,None,211.3562244999921,None,211.3562244999921,None,211.3562244999921,None,211.3562244999921,None,211.3562244999921,None,211.3562244999921,None,211.3562244999921,None,211.3562244999921,None,211.3562244999921,None,211.3562244999921,None,211.3562244999921,None,k,2.1155082000186667,211.3562244999921,None,target,213.49442639999324,None,space,213.49442639999324,None,1.681717999977991,,,,,,,,,,,,,student1,2022-10-20_16h11.08.893,Hippopolis_4AFCT,2021.1.4,59.94229953924141,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,HORGONY UTCA,stimuli/objects/039a.jpg,object,0,stimuli/objects/039a.jpg,stimuli/objects/039b.jpg,stimuli/objects/039a.jpg,stimuli/objects/092b.jpg,stimuli/objects/092a.jpg,lure,target,dist2,dist1,0,0,0,1,0,45,45,26,,,,,,,,,,,215.1938656999846,None,216.21366169999237,None,216.21366169999237,None,216.21366169999237,None,216.21366169999237,None,216.21366169999237,None,216.21366169999237,None,216.21366169999237,None,216.21366169999237,None,216.21366169999237,None,216.21366169999237,None,216.21366169999237,None,None,,216.21366169999237,None,invalid,None,None,None,None,None,,,,,,,,,,,,,,student1,2022-10-20_16h11.08.893,Hippopolis_4AFCT,2021.1.4,59.94229953924141,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,FÜGE UTCA,stimuli/scenes/115a.jpg,scene,0,stimuli/scenes/115a.jpg,stimuli/scenes/115b.jpg,stimuli/scenes/115a.jpg,stimuli/objects/084b.jpg,stimuli/objects/084a.jpg,lure,target,dist2,dist1,0,0,0,1,0,46,46,47,,,,,,,,,,,221.21068950000335,None,222.2247306999925,None,222.2247306999925,None,222.2247306999925,None,222.2247306999925,None,222.2247306999925,None,222.2247306999925,None,222.2247306999925,None,222.2247306999925,None,222.2247306999925,None,222.2247306999925,None,222.2247306999925,None,d,4.667685499996878,222.2247306999925,None,lure,None,None,None,None,None,,,,,,,,,,,,,,student1,2022-10-20_16h11.08.893,Hippopolis_4AFCT,2021.1.4,59.94229953924141,
Camponello,stimuli/subj_files/student1_cityB.csv,./stimuli/leipzig.jpg,./stimuli/street_plate2.png,ZÁSZLÓ UTCA,stimuli/scenes/103a.jpg,scene,2,stimuli/objects/037a.jpg,stimuli/scenes/102b.jpg,stimuli/objects/037b.jpg,stimuli/scenes/102a.jpg,stimuli/objects/037a.jpg,dist2,lure,dist1,target,0,0,0,1,0,47,47,60,,,,,,,,,,,226.91013279999606,None,227.91535419999855,None,227.91535419999855,None,227.91535419999855,None,227.91535419999855,None,227.91535419999855,None,227.91535419999855,None,227.91535419999855,None,227.91535419999855,None,227.91535419999855,None,227.91535419999855,None,227.91535419999855,None,k,1.652974800002994,227.91535419999855,None,target,None,None,None,None,None,,,,,,,,,,,,,,student1,2022-10-20_16h11.08.893,Hippopolis_4AFCT,2021.1.4,59.94229953924141,
