Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
TOJÁS UTCA,stimuli/scenes/083a.jpg,scene,right,Hippopolis,1,stimuli/scenes/069a.jpg,stimuli/scenes/026a.jpg,stimuli/scenes/069a.jpg,stimuli/scenes/026b.jpg,stimuli/scenes/069b.jpg,dist1,target,dist2,lure
SZOBOR UTCA,stimuli/objects/114a.jpg,object,left,Hippopolis,1,stimuli/objects/076a.jpg,stimuli/objects/076a.jpg,stimuli/scenes/112b.jpg,stimuli/objects/076b.jpg,stimuli/scenes/112a.jpg,target,dist2,lure,dist1
FÉSŰ UTCA,stimuli/scenes/109a.jpg,scene,right,Hippopolis,1,stimuli/scenes/063a.jpg,stimuli/scenes/071b.jpg,stimuli/scenes/063b.jpg,stimuli/scenes/071a.jpg,stimuli/scenes/063a.jpg,dist2,lure,dist1,target
HARMONIKA UTCA,stimuli/scenes/120a.jpg,scene,right,Hippopolis,1,stimuli/scenes/097a.jpg,stimuli/scenes/097a.jpg,stimuli/objects/001a.jpg,stimuli/objects/001b.jpg,stimuli/scenes/097b.jpg,target,dist1,dist2,lure
KERET UTCA,stimuli/scenes/119a.jpg,scene,right,Hippopolis,2,stimuli/objects/008a.jpg,stimuli/objects/013b.jpg,stimuli/objects/013a.jpg,stimuli/objects/008a.jpg,stimuli/objects/008b.jpg,dist2,dist1,target,lure
FOLYÓ UTCA,stimuli/objects/120a.jpg,object,left,Hippopolis,0,stimuli/objects/120a.jpg,stimuli/objects/120a.jpg,stimuli/objects/012a.jpg,stimuli/objects/012b.jpg,stimuli/objects/120b.jpg,target,dist1,dist2,lure
FÜZET UTCA,stimuli/objects/033a.jpg,object,left,Hippopolis,2,stimuli/scenes/061a.jpg,stimuli/objects/106b.jpg,stimuli/objects/106a.jpg,stimuli/scenes/061b.jpg,stimuli/scenes/061a.jpg,dist2,dist1,lure,target
SALÁTA UTCA,stimuli/objects/075a.jpg,object,left,Hippopolis,0,stimuli/objects/075a.jpg,stimuli/objects/075b.jpg,stimuli/scenes/032a.jpg,stimuli/objects/075a.jpg,stimuli/scenes/032b.jpg,lure,dist1,target,dist2
VIHAR UTCA,stimuli/scenes/013a.jpg,scene,right,Hippopolis,2,stimuli/objects/106a.jpg,stimuli/scenes/059b.jpg,stimuli/scenes/059a.jpg,stimuli/objects/106a.jpg,stimuli/objects/106b.jpg,dist2,dist1,target,lure
BOHÓC UTCA,stimuli/objects/034a.jpg,object,left,Hippopolis,1,stimuli/objects/101a.jpg,stimuli/objects/101a.jpg,stimuli/objects/118b.jpg,stimuli/objects/101b.jpg,stimuli/objects/118a.jpg,target,dist2,lure,dist1
HORGONY UTCA,stimuli/scenes/018a.jpg,scene,right,Hippopolis,2,stimuli/objects/013a.jpg,stimuli/objects/013a.jpg,stimuli/scenes/035a.jpg,stimuli/objects/013b.jpg,stimuli/scenes/035b.jpg,target,dist1,lure,dist2
