Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
TELEFON UTCA,stimuli/scenes/116a.jpg,scene,0,stimuli/scenes/116a.jpg,stimuli/scenes/116a.jpg,stimuli/objects/084a.jpg,stimuli/scenes/116b.jpg,stimuli/objects/084b.jpg,target,dist1,lure,dist2
TÜKÖR UTCA,stimuli/scenes/050a.jpg,scene,1,stimuli/scenes/070a.jpg,stimuli/objects/075b.jpg,stimuli/scenes/070b.jpg,stimuli/scenes/070a.jpg,stimuli/objects/075a.jpg,dist2,lure,target,dist1
KAKAS UTCA,stimuli/objects/110a.jpg,object,1,stimuli/objects/052a.jpg,stimuli/objects/052a.jpg,stimuli/objects/024b.jpg,stimuli/objects/052b.jpg,stimuli/objects/024a.jpg,target,dist2,lure,dist1
KÖTÉNY UTCA,stimuli/objects/114a.jpg,object,0,stimuli/objects/114a.jpg,stimuli/scenes/116b.jpg,stimuli/objects/114b.jpg,stimuli/objects/114a.jpg,stimuli/scenes/116a.jpg,dist2,lure,target,dist1
ÁLOM UTCA,stimuli/scenes/055a.jpg,scene,1,stimuli/scenes/028a.jpg,stimuli/objects/106a.jpg,stimuli/objects/106b.jpg,stimuli/scenes/028b.jpg,stimuli/scenes/028a.jpg,dist1,dist2,lure,target
KANÁL UTCA,stimuli/objects/072a.jpg,object,2,stimuli/scenes/100a.jpg,stimuli/objects/019a.jpg,stimuli/scenes/100b.jpg,stimuli/scenes/100a.jpg,stimuli/objects/019b.jpg,dist1,lure,target,dist2
LEGELŐ UTCA,stimuli/scenes/082a.jpg,scene,1,stimuli/scenes/080a.jpg,stimuli/scenes/080a.jpg,stimuli/scenes/080b.jpg,stimuli/objects/092a.jpg,stimuli/objects/092b.jpg,target,lure,dist1,dist2
FÜGE UTCA,stimuli/scenes/006a.jpg,scene,0,stimuli/scenes/006a.jpg,stimuli/scenes/006b.jpg,stimuli/scenes/108a.jpg,stimuli/scenes/108b.jpg,stimuli/scenes/006a.jpg,lure,dist1,dist2,target
RÓZSA UTCA,stimuli/objects/021a.jpg,object,0,stimuli/objects/021a.jpg,stimuli/objects/021a.jpg,stimuli/objects/021b.jpg,stimuli/objects/114a.jpg,stimuli/objects/114b.jpg,target,lure,dist1,dist2
TELEP UTCA,stimuli/objects/074a.jpg,object,1,stimuli/objects/036a.jpg,stimuli/scenes/044b.jpg,stimuli/objects/036a.jpg,stimuli/objects/036b.jpg,stimuli/scenes/044a.jpg,dist2,target,lure,dist1
KUTYA UTCA,stimuli/objects/065a.jpg,object,2,stimuli/scenes/024a.jpg,stimuli/scenes/109b.jpg,stimuli/scenes/024b.jpg,stimuli/scenes/024a.jpg,stimuli/scenes/109a.jpg,dist2,lure,target,dist1
PAPUCS UTCA,stimuli/scenes/053a.jpg,scene,2,stimuli/objects/054a.jpg,stimuli/objects/061a.jpg,stimuli/objects/054a.jpg,stimuli/objects/054b.jpg,stimuli/objects/061b.jpg,dist1,target,lure,dist2
SIRÁLY UTCA,stimuli/scenes/054a.jpg,scene,1,stimuli/scenes/111a.jpg,stimuli/scenes/111b.jpg,stimuli/objects/109a.jpg,stimuli/objects/109b.jpg,stimuli/scenes/111a.jpg,lure,dist1,dist2,target
