Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
KUTYA UTCA,stimuli/objects/050a.jpg,object,1,stimuli/objects/071a.jpg,stimuli/objects/071b.jpg,stimuli/objects/071a.jpg,stimuli/objects/007b.jpg,stimuli/objects/007a.jpg,lure,target,dist2,dist1
SIVATAG UTCA,stimuli/objects/069a.jpg,object,2,stimuli/scenes/101a.jpg,stimuli/objects/060b.jpg,stimuli/objects/060a.jpg,stimuli/scenes/101a.jpg,stimuli/scenes/101b.jpg,dist2,dist1,target,lure
KECSKE UTCA,stimuli/scenes/077a.jpg,scene,0,stimuli/scenes/077a.jpg,stimuli/scenes/077b.jpg,stimuli/scenes/054a.jpg,stimuli/scenes/077a.jpg,stimuli/scenes/054b.jpg,lure,dist1,target,dist2
FIÓK UTCA,stimuli/scenes/059a.jpg,scene,0,stimuli/scenes/059a.jpg,stimuli/scenes/059b.jpg,stimuli/scenes/084b.jpg,stimuli/scenes/084a.jpg,stimuli/scenes/059a.jpg,lure,dist2,dist1,target
FÜZET UTCA,stimuli/scenes/098a.jpg,scene,0,stimuli/scenes/098a.jpg,stimuli/objects/107a.jpg,stimuli/scenes/098a.jpg,stimuli/scenes/098b.jpg,stimuli/objects/107b.jpg,dist1,target,lure,dist2
MOGYORÓ UTCA,stimuli/objects/089a.jpg,object,0,stimuli/objects/089a.jpg,stimuli/objects/089b.jpg,stimuli/objects/089a.jpg,stimuli/scenes/027b.jpg,stimuli/scenes/027a.jpg,lure,target,dist2,dist1
HEGEDŰ UTCA,stimuli/objects/017a.jpg,object,0,stimuli/objects/017a.jpg,stimuli/objects/017a.jpg,stimuli/objects/088b.jpg,stimuli/objects/017b.jpg,stimuli/objects/088a.jpg,target,dist2,lure,dist1
TERÍTŐ UTCA,stimuli/scenes/115a.jpg,scene,0,stimuli/scenes/115a.jpg,stimuli/objects/093a.jpg,stimuli/scenes/115a.jpg,stimuli/scenes/115b.jpg,stimuli/objects/093b.jpg,dist1,target,lure,dist2
FÉSZEK UTCA,stimuli/scenes/027a.jpg,scene,0,stimuli/scenes/027a.jpg,stimuli/objects/105a.jpg,stimuli/objects/105b.jpg,stimuli/scenes/027a.jpg,stimuli/scenes/027b.jpg,dist1,dist2,target,lure
AJÁNDÉK UTCA,stimuli/objects/002a.jpg,object,2,stimuli/scenes/068a.jpg,stimuli/scenes/005b.jpg,stimuli/scenes/068b.jpg,stimuli/scenes/005a.jpg,stimuli/scenes/068a.jpg,dist2,lure,dist1,target
