Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
SIRÁLY UTCA,stimuli/scenes/021a.jpg,scene,right,Camponello,0,stimuli/scenes/021a.jpg,stimuli/scenes/021a.jpg,stimuli/scenes/021b.jpg,stimuli/objects/040b.jpg,stimuli/objects/040a.jpg,target,lure,dist2,dist1
KAKAS UTCA,stimuli/scenes/095a.jpg,scene,right,Camponello,0,stimuli/scenes/095a.jpg,stimuli/scenes/095a.jpg,stimuli/scenes/033b.jpg,stimuli/scenes/095b.jpg,stimuli/scenes/033a.jpg,target,dist2,lure,dist1
KÁRTYA UTCA,stimuli/objects/061a.jpg,object,left,Camponello,2,stimuli/scenes/032a.jpg,stimuli/objects/118a.jpg,stimuli/objects/118b.jpg,stimuli/scenes/032b.jpg,stimuli/scenes/032a.jpg,dist1,dist2,lure,target
HORDÓ UTCA,stimuli/scenes/004a.jpg,scene,right,Camponello,1,stimuli/scenes/034a.jpg,stimuli/scenes/099b.jpg,stimuli/scenes/034b.jpg,stimuli/scenes/034a.jpg,stimuli/scenes/099a.jpg,dist2,lure,target,dist1
MÁRVÁNY UTCA,stimuli/scenes/037a.jpg,scene,right,Camponello,0,stimuli/scenes/037a.jpg,stimuli/objects/051b.jpg,stimuli/scenes/037a.jpg,stimuli/scenes/037b.jpg,stimuli/objects/051a.jpg,dist2,target,lure,dist1
HÁRFA UTCA,stimuli/scenes/117a.jpg,scene,right,Camponello,1,stimuli/scenes/080a.jpg,stimuli/scenes/051a.jpg,stimuli/scenes/080b.jpg,stimuli/scenes/080a.jpg,stimuli/scenes/051b.jpg,dist1,lure,target,dist2
ZEBRA UTCA,stimuli/scenes/035a.jpg,scene,right,Camponello,0,stimuli/scenes/035a.jpg,stimuli/scenes/035b.jpg,stimuli/objects/090b.jpg,stimuli/scenes/035a.jpg,stimuli/objects/090a.jpg,lure,dist2,target,dist1
KÓKUSZ UTCA,stimuli/scenes/003a.jpg,scene,right,Camponello,0,stimuli/scenes/003a.jpg,stimuli/scenes/003b.jpg,stimuli/objects/104a.jpg,stimuli/scenes/003a.jpg,stimuli/objects/104b.jpg,lure,dist1,target,dist2
LIGET UTCA,stimuli/objects/108a.jpg,object,left,Camponello,1,stimuli/objects/100a.jpg,stimuli/scenes/080b.jpg,stimuli/objects/100b.jpg,stimuli/objects/100a.jpg,stimuli/scenes/080a.jpg,dist2,lure,target,dist1
TALICSKA UTCA,stimuli/scenes/088a.jpg,scene,right,Camponello,0,stimuli/scenes/088a.jpg,stimuli/scenes/095a.jpg,stimuli/scenes/095b.jpg,stimuli/scenes/088a.jpg,stimuli/scenes/088b.jpg,dist1,dist2,target,lure
HARCSA UTCA,stimuli/objects/051a.jpg,object,left,Camponello,0,stimuli/objects/051a.jpg,stimuli/scenes/001b.jpg,stimuli/scenes/001a.jpg,stimuli/objects/051a.jpg,stimuli/objects/051b.jpg,dist2,dist1,target,lure
MAJOM UTCA,stimuli/objects/085a.jpg,object,left,Camponello,0,stimuli/objects/085a.jpg,stimuli/scenes/112b.jpg,stimuli/scenes/112a.jpg,stimuli/objects/085a.jpg,stimuli/objects/085b.jpg,dist2,dist1,target,lure
