Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
VITORLA UTCA,stimuli/objects/040a.jpg,object,left,Camponello,0,stimuli/objects/040a.jpg,stimuli/scenes/098b.jpg,stimuli/objects/040a.jpg,stimuli/scenes/098a.jpg,stimuli/objects/040b.jpg,dist2,target,dist1,lure
TISZTÁS UTCA,stimuli/scenes/046a.jpg,scene,right,Camponello,0,stimuli/scenes/046a.jpg,stimuli/scenes/089b.jpg,stimuli/scenes/089a.jpg,stimuli/scenes/046b.jpg,stimuli/scenes/046a.jpg,dist2,dist1,lure,target
FIÓK UTCA,stimuli/scenes/089a.jpg,scene,right,Camponello,0,stimuli/scenes/089a.jpg,stimuli/scenes/055b.jpg,stimuli/scenes/089a.jpg,stimuli/scenes/055a.jpg,stimuli/scenes/089b.jpg,dist2,target,dist1,lure
RIBIZLI UTCA,stimuli/scenes/051a.jpg,scene,right,Camponello,0,stimuli/scenes/051a.jpg,stimuli/scenes/051a.jpg,stimuli/objects/109a.jpg,stimuli/scenes/051b.jpg,stimuli/objects/109b.jpg,target,dist1,lure,dist2
PIZSAMA UTCA,stimuli/scenes/076a.jpg,scene,right,Camponello,0,stimuli/scenes/076a.jpg,stimuli/scenes/081a.jpg,stimuli/scenes/081b.jpg,stimuli/scenes/076b.jpg,stimuli/scenes/076a.jpg,dist1,dist2,lure,target
KÖNYVTÁR UTCA,stimuli/objects/029a.jpg,object,left,Camponello,2,stimuli/scenes/053a.jpg,stimuli/scenes/053b.jpg,stimuli/objects/028b.jpg,stimuli/objects/028a.jpg,stimuli/scenes/053a.jpg,lure,dist2,dist1,target
LEVÉL UTCA,stimuli/objects/036a.jpg,object,left,Camponello,0,stimuli/objects/036a.jpg,stimuli/scenes/068b.jpg,stimuli/objects/036a.jpg,stimuli/objects/036b.jpg,stimuli/scenes/068a.jpg,dist2,target,lure,dist1
KÖMÉNYMAG UTCA,stimuli/objects/048a.jpg,object,left,Camponello,0,stimuli/objects/048a.jpg,stimuli/objects/048b.jpg,stimuli/objects/025b.jpg,stimuli/objects/048a.jpg,stimuli/objects/025a.jpg,lure,dist2,target,dist1
ZEBRA UTCA,stimuli/objects/104a.jpg,object,left,Camponello,0,stimuli/objects/104a.jpg,stimuli/scenes/113a.jpg,stimuli/objects/104a.jpg,stimuli/objects/104b.jpg,stimuli/scenes/113b.jpg,dist1,target,lure,dist2
AKÁC UTCA,stimuli/objects/100a.jpg,object,left,Camponello,0,stimuli/objects/100a.jpg,stimuli/objects/100a.jpg,stimuli/scenes/056a.jpg,stimuli/scenes/056b.jpg,stimuli/objects/100b.jpg,target,dist1,dist2,lure
TÁNYÉR UTCA,stimuli/objects/020a.jpg,object,left,Camponello,0,stimuli/objects/020a.jpg,stimuli/scenes/043b.jpg,stimuli/objects/020a.jpg,stimuli/objects/020b.jpg,stimuli/scenes/043a.jpg,dist2,target,lure,dist1
KÖTÉNY UTCA,stimuli/objects/099a.jpg,object,left,Camponello,0,stimuli/objects/099a.jpg,stimuli/scenes/077b.jpg,stimuli/objects/099b.jpg,stimuli/objects/099a.jpg,stimuli/scenes/077a.jpg,dist2,lure,target,dist1
POGÁCSA UTCA,stimuli/scenes/067a.jpg,scene,right,Camponello,0,stimuli/scenes/067a.jpg,stimuli/scenes/086b.jpg,stimuli/scenes/067a.jpg,stimuli/scenes/086a.jpg,stimuli/scenes/067b.jpg,dist2,target,dist1,lure
KESZTYŰ UTCA,stimuli/objects/090a.jpg,object,left,Camponello,0,stimuli/objects/090a.jpg,stimuli/objects/090b.jpg,stimuli/objects/021a.jpg,stimuli/objects/090a.jpg,stimuli/objects/021b.jpg,lure,dist1,target,dist2
TÜKÖR UTCA,stimuli/objects/002a.jpg,object,left,Camponello,1,stimuli/objects/017a.jpg,stimuli/objects/017b.jpg,stimuli/objects/017a.jpg,stimuli/scenes/020b.jpg,stimuli/scenes/020a.jpg,lure,target,dist2,dist1
MENTA UTCA,stimuli/objects/022a.jpg,object,left,Camponello,0,stimuli/objects/022a.jpg,stimuli/objects/022a.jpg,stimuli/objects/004b.jpg,stimuli/objects/022b.jpg,stimuli/objects/004a.jpg,target,dist2,lure,dist1
HEGESZTŐ UTCA,stimuli/objects/093a.jpg,object,left,Camponello,2,stimuli/scenes/033a.jpg,stimuli/scenes/030a.jpg,stimuli/scenes/033b.jpg,stimuli/scenes/033a.jpg,stimuli/scenes/030b.jpg,dist1,lure,target,dist2
SÜTŐ UTCA,stimuli/scenes/044a.jpg,scene,right,Camponello,0,stimuli/scenes/044a.jpg,stimuli/scenes/044a.jpg,stimuli/scenes/044b.jpg,stimuli/objects/091b.jpg,stimuli/objects/091a.jpg,target,lure,dist2,dist1
PÁRNA UTCA,stimuli/objects/021a.jpg,object,left,Camponello,0,stimuli/objects/021a.jpg,stimuli/objects/021b.jpg,stimuli/objects/021a.jpg,stimuli/objects/003b.jpg,stimuli/objects/003a.jpg,lure,target,dist2,dist1
SUGÁR UTCA,stimuli/objects/047a.jpg,object,left,Camponello,0,stimuli/objects/047a.jpg,stimuli/objects/047b.jpg,stimuli/objects/090a.jpg,stimuli/objects/090b.jpg,stimuli/objects/047a.jpg,lure,dist1,dist2,target
VASALÓ UTCA,stimuli/scenes/078a.jpg,scene,right,Camponello,2,stimuli/objects/096a.jpg,stimuli/objects/119a.jpg,stimuli/objects/096b.jpg,stimuli/objects/119b.jpg,stimuli/objects/096a.jpg,dist1,lure,dist2,target
KAKAÓ UTCA,stimuli/scenes/050a.jpg,scene,right,Camponello,0,stimuli/scenes/050a.jpg,stimuli/scenes/050a.jpg,stimuli/scenes/100a.jpg,stimuli/scenes/100b.jpg,stimuli/scenes/050b.jpg,target,dist1,dist2,lure
KÓKUSZ UTCA,stimuli/objects/035a.jpg,object,left,Camponello,0,stimuli/objects/035a.jpg,stimuli/objects/035b.jpg,stimuli/objects/046a.jpg,stimuli/objects/035a.jpg,stimuli/objects/046b.jpg,lure,dist1,target,dist2
POLIP UTCA,stimuli/objects/024a.jpg,object,left,Camponello,0,stimuli/objects/024a.jpg,stimuli/scenes/009a.jpg,stimuli/objects/024a.jpg,stimuli/objects/024b.jpg,stimuli/scenes/009b.jpg,dist1,target,lure,dist2
