Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
KUTYA UTCA,stimuli/scenes/089a.jpg,scene,1,stimuli/scenes/108a.jpg,stimuli/scenes/108a.jpg,stimuli/objects/027a.jpg,stimuli/objects/027b.jpg,stimuli/scenes/108b.jpg,target,dist1,dist2,lure
PADLÓ UTCA,stimuli/scenes/008a.jpg,scene,1,stimuli/scenes/028a.jpg,stimuli/scenes/028a.jpg,stimuli/scenes/084b.jpg,stimuli/scenes/084a.jpg,stimuli/scenes/028b.jpg,target,dist2,dist1,lure
FÜGE UTCA,stimuli/scenes/073a.jpg,scene,0,stimuli/scenes/073a.jpg,stimuli/scenes/073a.jpg,stimuli/scenes/073b.jpg,stimuli/scenes/118a.jpg,stimuli/scenes/118b.jpg,target,lure,dist1,dist2
KORONA UTCA,stimuli/scenes/120a.jpg,scene,0,stimuli/scenes/120a.jpg,stimuli/scenes/120a.jpg,stimuli/scenes/120b.jpg,stimuli/scenes/063b.jpg,stimuli/scenes/063a.jpg,target,lure,dist2,dist1
SZAXOFON UTCA,stimuli/scenes/117a.jpg,scene,0,stimuli/scenes/117a.jpg,stimuli/objects/028a.jpg,stimuli/scenes/117a.jpg,stimuli/objects/028b.jpg,stimuli/scenes/117b.jpg,dist1,target,dist2,lure
ASZTAL UTCA,stimuli/scenes/062a.jpg,scene,2,stimuli/objects/111a.jpg,stimuli/scenes/049a.jpg,stimuli/objects/111a.jpg,stimuli/objects/111b.jpg,stimuli/scenes/049b.jpg,dist1,target,lure,dist2
KÍGYÓ UTCA,stimuli/scenes/076a.jpg,scene,0,stimuli/scenes/076a.jpg,stimuli/scenes/076b.jpg,stimuli/objects/057a.jpg,stimuli/scenes/076a.jpg,stimuli/objects/057b.jpg,lure,dist1,target,dist2
TENISZ UTCA,stimuli/scenes/099a.jpg,scene,2,stimuli/objects/105a.jpg,stimuli/scenes/034b.jpg,stimuli/objects/105a.jpg,stimuli/scenes/034a.jpg,stimuli/objects/105b.jpg,dist2,target,dist1,lure
SIVATAG UTCA,stimuli/objects/119a.jpg,object,0,stimuli/objects/119a.jpg,stimuli/objects/119b.jpg,stimuli/scenes/120a.jpg,stimuli/objects/119a.jpg,stimuli/scenes/120b.jpg,lure,dist1,target,dist2
MOTOR UTCA,stimuli/scenes/018a.jpg,scene,0,stimuli/scenes/018a.jpg,stimuli/objects/046b.jpg,stimuli/objects/046a.jpg,stimuli/scenes/018a.jpg,stimuli/scenes/018b.jpg,dist2,dist1,target,lure
TALICSKA UTCA,stimuli/scenes/019a.jpg,scene,0,stimuli/scenes/019a.jpg,stimuli/scenes/019b.jpg,stimuli/scenes/019a.jpg,stimuli/objects/108b.jpg,stimuli/objects/108a.jpg,lure,target,dist2,dist1
TÉRKÉP UTCA,stimuli/scenes/064a.jpg,scene,0,stimuli/scenes/064a.jpg,stimuli/scenes/064b.jpg,stimuli/scenes/023b.jpg,stimuli/scenes/064a.jpg,stimuli/scenes/023a.jpg,lure,dist2,target,dist1
PÁLMAFA UTCA,stimuli/objects/047a.jpg,object,2,stimuli/scenes/049a.jpg,stimuli/objects/074a.jpg,stimuli/scenes/049a.jpg,stimuli/objects/074b.jpg,stimuli/scenes/049b.jpg,dist1,target,dist2,lure
MOCSÁR UTCA,stimuli/objects/063a.jpg,object,1,stimuli/objects/033a.jpg,stimuli/objects/033b.jpg,stimuli/objects/033a.jpg,stimuli/objects/053b.jpg,stimuli/objects/053a.jpg,lure,target,dist2,dist1
TORONY UTCA,stimuli/objects/061a.jpg,object,0,stimuli/objects/061a.jpg,stimuli/objects/061b.jpg,stimuli/objects/061a.jpg,stimuli/scenes/112b.jpg,stimuli/scenes/112a.jpg,lure,target,dist2,dist1
CSAVAR UTCA,stimuli/scenes/075a.jpg,scene,1,stimuli/scenes/084a.jpg,stimuli/scenes/109b.jpg,stimuli/scenes/109a.jpg,stimuli/scenes/084b.jpg,stimuli/scenes/084a.jpg,dist2,dist1,lure,target
AKÁC UTCA,stimuli/scenes/058a.jpg,scene,0,stimuli/scenes/058a.jpg,stimuli/scenes/058b.jpg,stimuli/objects/104a.jpg,stimuli/objects/104b.jpg,stimuli/scenes/058a.jpg,lure,dist1,dist2,target
