Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
LEMEZ UTCA,stimuli/objects/067a.jpg,object,left,Hippopolis,1,stimuli/objects/002a.jpg,stimuli/objects/002a.jpg,stimuli/scenes/089b.jpg,stimuli/scenes/089a.jpg,stimuli/objects/002b.jpg,target,dist2,dist1,lure
KUTYA UTCA,stimuli/objects/084a.jpg,object,left,Hippopolis,0,stimuli/objects/084a.jpg,stimuli/objects/084b.jpg,stimuli/objects/033b.jpg,stimuli/objects/084a.jpg,stimuli/objects/033a.jpg,lure,dist2,target,dist1
HAJÓ UTCA,stimuli/scenes/110a.jpg,scene,right,Hippopolis,0,stimuli/scenes/110a.jpg,stimuli/scenes/110a.jpg,stimuli/scenes/053a.jpg,stimuli/scenes/110b.jpg,stimuli/scenes/053b.jpg,target,dist1,lure,dist2
ÁLOM UTCA,stimuli/scenes/029a.jpg,scene,right,Hippopolis,1,stimuli/scenes/118a.jpg,stimuli/scenes/118b.jpg,stimuli/objects/002a.jpg,stimuli/objects/002b.jpg,stimuli/scenes/118a.jpg,lure,dist1,dist2,target
SZOMSZÉD UTCA,stimuli/scenes/091a.jpg,scene,right,Hippopolis,0,stimuli/scenes/091a.jpg,stimuli/scenes/091a.jpg,stimuli/scenes/091b.jpg,stimuli/objects/089a.jpg,stimuli/objects/089b.jpg,target,lure,dist1,dist2
FOGAS UTCA,stimuli/scenes/115a.jpg,scene,right,Hippopolis,1,stimuli/scenes/018a.jpg,stimuli/scenes/018a.jpg,stimuli/objects/110a.jpg,stimuli/objects/110b.jpg,stimuli/scenes/018b.jpg,target,dist1,dist2,lure
PETÁRDA UTCA,stimuli/objects/047a.jpg,object,left,Hippopolis,0,stimuli/objects/047a.jpg,stimuli/objects/047a.jpg,stimuli/objects/047b.jpg,stimuli/objects/028b.jpg,stimuli/objects/028a.jpg,target,lure,dist2,dist1
ÁLLOMÁS UTCA,stimuli/scenes/053a.jpg,scene,right,Hippopolis,0,stimuli/scenes/053a.jpg,stimuli/objects/091a.jpg,stimuli/scenes/053b.jpg,stimuli/scenes/053a.jpg,stimuli/objects/091b.jpg,dist1,lure,target,dist2
SUGÁR UTCA,stimuli/objects/034a.jpg,object,left,Hippopolis,1,stimuli/objects/063a.jpg,stimuli/objects/063b.jpg,stimuli/objects/063a.jpg,stimuli/scenes/038a.jpg,stimuli/scenes/038b.jpg,lure,target,dist1,dist2
SZILVA UTCA,stimuli/scenes/072a.jpg,scene,right,Hippopolis,1,stimuli/scenes/075a.jpg,stimuli/scenes/054b.jpg,stimuli/scenes/054a.jpg,stimuli/scenes/075a.jpg,stimuli/scenes/075b.jpg,dist2,dist1,target,lure
POLIP UTCA,stimuli/scenes/090a.jpg,scene,right,Hippopolis,0,stimuli/scenes/090a.jpg,stimuli/objects/024a.jpg,stimuli/scenes/090b.jpg,stimuli/scenes/090a.jpg,stimuli/objects/024b.jpg,dist1,lure,target,dist2
KOSÁR UTCA,stimuli/objects/048a.jpg,object,left,Hippopolis,2,stimuli/scenes/063a.jpg,stimuli/scenes/063b.jpg,stimuli/scenes/063a.jpg,stimuli/scenes/067b.jpg,stimuli/scenes/067a.jpg,lure,target,dist2,dist1
FÉSŰ UTCA,stimuli/scenes/114a.jpg,scene,right,Hippopolis,0,stimuli/scenes/114a.jpg,stimuli/scenes/077a.jpg,stimuli/scenes/077b.jpg,stimuli/scenes/114b.jpg,stimuli/scenes/114a.jpg,dist1,dist2,lure,target
