Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
LÉPCSŐ UTCA,stimuli/scenes/023a.jpg,scene,1,stimuli/scenes/120a.jpg,stimuli/scenes/089a.jpg,stimuli/scenes/120b.jpg,stimuli/scenes/120a.jpg,stimuli/scenes/089b.jpg,dist1,lure,target,dist2
MOSODA UTCA,stimuli/scenes/065a.jpg,scene,0,stimuli/scenes/065a.jpg,stimuli/scenes/065a.jpg,stimuli/objects/057b.jpg,stimuli/scenes/065b.jpg,stimuli/objects/057a.jpg,target,dist2,lure,dist1
ÁRNYÉK UTCA,stimuli/objects/033a.jpg,object,0,stimuli/objects/033a.jpg,stimuli/objects/070a.jpg,stimuli/objects/070b.jpg,stimuli/objects/033a.jpg,stimuli/objects/033b.jpg,dist1,dist2,target,lure
PETÁRDA UTCA,stimuli/objects/006a.jpg,object,1,stimuli/objects/100a.jpg,stimuli/objects/100a.jpg,stimuli/objects/100b.jpg,stimuli/scenes/082a.jpg,stimuli/scenes/082b.jpg,target,lure,dist1,dist2
POLIP UTCA,stimuli/scenes/099a.jpg,scene,0,stimuli/scenes/099a.jpg,stimuli/scenes/099b.jpg,stimuli/scenes/090b.jpg,stimuli/scenes/090a.jpg,stimuli/scenes/099a.jpg,lure,dist2,dist1,target
MOCSÁR UTCA,stimuli/scenes/104a.jpg,scene,0,stimuli/scenes/104a.jpg,stimuli/objects/076a.jpg,stimuli/objects/076b.jpg,stimuli/scenes/104b.jpg,stimuli/scenes/104a.jpg,dist1,dist2,lure,target
KERET UTCA,stimuli/objects/094a.jpg,object,1,stimuli/objects/091a.jpg,stimuli/objects/091b.jpg,stimuli/objects/007b.jpg,stimuli/objects/091a.jpg,stimuli/objects/007a.jpg,lure,dist2,target,dist1
NARANCS UTCA,stimuli/scenes/044a.jpg,scene,2,stimuli/objects/016a.jpg,stimuli/scenes/017b.jpg,stimuli/objects/016b.jpg,stimuli/objects/016a.jpg,stimuli/scenes/017a.jpg,dist2,lure,target,dist1
RIBIZLI UTCA,stimuli/scenes/106a.jpg,scene,0,stimuli/scenes/106a.jpg,stimuli/scenes/013b.jpg,stimuli/scenes/106a.jpg,stimuli/scenes/106b.jpg,stimuli/scenes/013a.jpg,dist2,target,lure,dist1
BÚJÓCSKA UTCA,stimuli/scenes/047a.jpg,scene,0,stimuli/scenes/047a.jpg,stimuli/scenes/047a.jpg,stimuli/objects/072a.jpg,stimuli/objects/072b.jpg,stimuli/scenes/047b.jpg,target,dist1,dist2,lure
