Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
BAGOLY UTCA,stimuli/scenes/076a.jpg,scene,0,stimuli/scenes/076a.jpg,stimuli/scenes/014a.jpg,stimuli/scenes/014b.jpg,stimuli/scenes/076a.jpg,stimuli/scenes/076b.jpg,dist1,dist2,target,lure
ZONGORA UTCA,stimuli/scenes/108a.jpg,scene,0,stimuli/scenes/108a.jpg,stimuli/scenes/108a.jpg,stimuli/scenes/108b.jpg,stimuli/scenes/070a.jpg,stimuli/scenes/070b.jpg,target,lure,dist1,dist2
TORONY UTCA,stimuli/scenes/040a.jpg,scene,0,stimuli/scenes/040a.jpg,stimuli/scenes/040b.jpg,stimuli/objects/035b.jpg,stimuli/objects/035a.jpg,stimuli/scenes/040a.jpg,lure,dist2,dist1,target
REPÜLŐ UTCA,stimuli/objects/086a.jpg,object,0,stimuli/objects/086a.jpg,stimuli/objects/086b.jpg,stimuli/objects/080a.jpg,stimuli/objects/086a.jpg,stimuli/objects/080b.jpg,lure,dist1,target,dist2
BANÁN UTCA,stimuli/objects/015a.jpg,object,1,stimuli/objects/049a.jpg,stimuli/objects/019b.jpg,stimuli/objects/049b.jpg,stimuli/objects/019a.jpg,stimuli/objects/049a.jpg,dist2,lure,dist1,target
KIRAKÓ UTCA,stimuli/objects/009a.jpg,object,2,stimuli/scenes/068a.jpg,stimuli/scenes/004a.jpg,stimuli/scenes/068a.jpg,stimuli/scenes/004b.jpg,stimuli/scenes/068b.jpg,dist1,target,dist2,lure
TIGRIS UTCA,stimuli/objects/035a.jpg,object,0,stimuli/objects/035a.jpg,stimuli/objects/064b.jpg,stimuli/objects/064a.jpg,stimuli/objects/035b.jpg,stimuli/objects/035a.jpg,dist2,dist1,lure,target
VASALÓ UTCA,stimuli/scenes/115a.jpg,scene,0,stimuli/scenes/115a.jpg,stimuli/scenes/115b.jpg,stimuli/objects/026b.jpg,stimuli/objects/026a.jpg,stimuli/scenes/115a.jpg,lure,dist2,dist1,target
FOLYÓ UTCA,stimuli/objects/069a.jpg,object,2,stimuli/scenes/002a.jpg,stimuli/scenes/054a.jpg,stimuli/scenes/002a.jpg,stimuli/scenes/002b.jpg,stimuli/scenes/054b.jpg,dist1,target,lure,dist2
LABDA UTCA,stimuli/scenes/046a.jpg,scene,2,stimuli/objects/028a.jpg,stimuli/scenes/068b.jpg,stimuli/objects/028b.jpg,stimuli/objects/028a.jpg,stimuli/scenes/068a.jpg,dist2,lure,target,dist1
SZAXOFON UTCA,stimuli/scenes/055a.jpg,scene,1,stimuli/scenes/103a.jpg,stimuli/scenes/103a.jpg,stimuli/scenes/103b.jpg,stimuli/objects/054b.jpg,stimuli/objects/054a.jpg,target,lure,dist2,dist1
DOMINÓ UTCA,stimuli/objects/061a.jpg,object,2,stimuli/scenes/020a.jpg,stimuli/scenes/033a.jpg,stimuli/scenes/020b.jpg,stimuli/scenes/020a.jpg,stimuli/scenes/033b.jpg,dist1,lure,target,dist2
KANÁL UTCA,stimuli/objects/017a.jpg,object,2,stimuli/scenes/054a.jpg,stimuli/scenes/002a.jpg,stimuli/scenes/054a.jpg,stimuli/scenes/002b.jpg,stimuli/scenes/054b.jpg,dist1,target,dist2,lure
MUNKA UTCA,stimuli/scenes/011a.jpg,scene,2,stimuli/objects/029a.jpg,stimuli/objects/029a.jpg,stimuli/objects/046b.jpg,stimuli/objects/046a.jpg,stimuli/objects/029b.jpg,target,dist2,dist1,lure
SZOBOR UTCA,stimuli/objects/023a.jpg,object,1,stimuli/objects/114a.jpg,stimuli/objects/114a.jpg,stimuli/objects/114b.jpg,stimuli/objects/059b.jpg,stimuli/objects/059a.jpg,target,lure,dist2,dist1
VÖDÖR UTCA,stimuli/objects/063a.jpg,object,1,stimuli/objects/073a.jpg,stimuli/objects/073a.jpg,stimuli/objects/073b.jpg,stimuli/objects/089b.jpg,stimuli/objects/089a.jpg,target,lure,dist2,dist1
PAPUCS UTCA,stimuli/scenes/119a.jpg,scene,2,stimuli/objects/039a.jpg,stimuli/objects/088a.jpg,stimuli/objects/088b.jpg,stimuli/objects/039a.jpg,stimuli/objects/039b.jpg,dist1,dist2,target,lure
KORONA UTCA,stimuli/scenes/091a.jpg,scene,0,stimuli/scenes/091a.jpg,stimuli/scenes/040b.jpg,stimuli/scenes/091b.jpg,stimuli/scenes/040a.jpg,stimuli/scenes/091a.jpg,dist2,lure,dist1,target
KOSÁR UTCA,stimuli/scenes/070a.jpg,scene,0,stimuli/scenes/070a.jpg,stimuli/objects/096b.jpg,stimuli/scenes/070b.jpg,stimuli/objects/096a.jpg,stimuli/scenes/070a.jpg,dist2,lure,dist1,target
KÖTÉNY UTCA,stimuli/objects/082a.jpg,object,1,stimuli/objects/005a.jpg,stimuli/objects/005b.jpg,stimuli/objects/005a.jpg,stimuli/objects/008b.jpg,stimuli/objects/008a.jpg,lure,target,dist2,dist1
MUSTÁR UTCA,stimuli/objects/020a.jpg,object,2,stimuli/scenes/033a.jpg,stimuli/scenes/069a.jpg,stimuli/scenes/033b.jpg,stimuli/scenes/069b.jpg,stimuli/scenes/033a.jpg,dist1,lure,dist2,target
PADLÓ UTCA,stimuli/scenes/067a.jpg,scene,1,stimuli/scenes/086a.jpg,stimuli/scenes/005b.jpg,stimuli/scenes/086a.jpg,stimuli/scenes/086b.jpg,stimuli/scenes/005a.jpg,dist2,target,lure,dist1
BÖGRE UTCA,stimuli/scenes/058a.jpg,scene,1,stimuli/scenes/034a.jpg,stimuli/objects/108a.jpg,stimuli/scenes/034b.jpg,stimuli/objects/108b.jpg,stimuli/scenes/034a.jpg,dist1,lure,dist2,target
BOHÓC UTCA,stimuli/objects/022a.jpg,object,0,stimuli/objects/022a.jpg,stimuli/scenes/076a.jpg,stimuli/objects/022b.jpg,stimuli/scenes/076b.jpg,stimuli/objects/022a.jpg,dist1,lure,dist2,target
LAKAT UTCA,stimuli/objects/037a.jpg,object,0,stimuli/objects/037a.jpg,stimuli/objects/043b.jpg,stimuli/objects/037b.jpg,stimuli/objects/043a.jpg,stimuli/objects/037a.jpg,dist2,lure,dist1,target
ZEBRA UTCA,stimuli/objects/012a.jpg,object,2,stimuli/scenes/101a.jpg,stimuli/scenes/101b.jpg,stimuli/scenes/062b.jpg,stimuli/scenes/062a.jpg,stimuli/scenes/101a.jpg,lure,dist2,dist1,target
SAJTÓ UTCA,stimuli/scenes/015a.jpg,scene,2,stimuli/objects/117a.jpg,stimuli/objects/081b.jpg,stimuli/objects/081a.jpg,stimuli/objects/117b.jpg,stimuli/objects/117a.jpg,dist2,dist1,lure,target
TÉRKÉP UTCA,stimuli/objects/026a.jpg,object,0,stimuli/objects/026a.jpg,stimuli/objects/026b.jpg,stimuli/objects/085b.jpg,stimuli/objects/085a.jpg,stimuli/objects/026a.jpg,lure,dist2,dist1,target
TELEFON UTCA,stimuli/objects/055a.jpg,object,2,stimuli/scenes/029a.jpg,stimuli/scenes/029b.jpg,stimuli/scenes/029a.jpg,stimuli/scenes/020a.jpg,stimuli/scenes/020b.jpg,lure,target,dist1,dist2
CSILLAG UTCA,stimuli/scenes/117a.jpg,scene,2,stimuli/objects/116a.jpg,stimuli/objects/024b.jpg,stimuli/objects/024a.jpg,stimuli/objects/116b.jpg,stimuli/objects/116a.jpg,dist2,dist1,lure,target
KÖTÉL UTCA,stimuli/objects/048a.jpg,object,1,stimuli/objects/071a.jpg,stimuli/objects/071a.jpg,stimuli/objects/071b.jpg,stimuli/scenes/007a.jpg,stimuli/scenes/007b.jpg,target,lure,dist1,dist2
KÍGYÓ UTCA,stimuli/scenes/073a.jpg,scene,2,stimuli/objects/095a.jpg,stimuli/objects/029b.jpg,stimuli/objects/029a.jpg,stimuli/objects/095a.jpg,stimuli/objects/095b.jpg,dist2,dist1,target,lure
LEVÉL UTCA,stimuli/objects/080a.jpg,object,0,stimuli/objects/080a.jpg,stimuli/scenes/091a.jpg,stimuli/scenes/091b.jpg,stimuli/objects/080b.jpg,stimuli/objects/080a.jpg,dist1,dist2,lure,target
KECSKE UTCA,stimuli/scenes/114a.jpg,scene,2,stimuli/objects/088a.jpg,stimuli/scenes/029b.jpg,stimuli/scenes/029a.jpg,stimuli/objects/088b.jpg,stimuli/objects/088a.jpg,dist2,dist1,lure,target
FÉSŰ UTCA,stimuli/objects/077a.jpg,object,2,stimuli/scenes/048a.jpg,stimuli/scenes/048a.jpg,stimuli/scenes/048b.jpg,stimuli/objects/039a.jpg,stimuli/objects/039b.jpg,target,lure,dist1,dist2
KOCSI UTCA,stimuli/objects/045a.jpg,object,2,stimuli/scenes/004a.jpg,stimuli/scenes/004a.jpg,stimuli/scenes/101b.jpg,stimuli/scenes/101a.jpg,stimuli/scenes/004b.jpg,target,dist2,dist1,lure
ÜVEG UTCA,stimuli/scenes/078a.jpg,scene,0,stimuli/scenes/078a.jpg,stimuli/scenes/078a.jpg,stimuli/scenes/108a.jpg,stimuli/scenes/108b.jpg,stimuli/scenes/078b.jpg,target,dist1,dist2,lure
CUKOR UTCA,stimuli/scenes/063a.jpg,scene,0,stimuli/scenes/063a.jpg,stimuli/scenes/063a.jpg,stimuli/scenes/063b.jpg,stimuli/objects/113a.jpg,stimuli/objects/113b.jpg,target,lure,dist1,dist2
HORGONY UTCA,stimuli/objects/032a.jpg,object,1,stimuli/objects/089a.jpg,stimuli/objects/089a.jpg,stimuli/objects/089b.jpg,stimuli/objects/047a.jpg,stimuli/objects/047b.jpg,target,lure,dist1,dist2
ZSEMLE UTCA,stimuli/scenes/077a.jpg,scene,2,stimuli/objects/112a.jpg,stimuli/objects/079b.jpg,stimuli/objects/112a.jpg,stimuli/objects/079a.jpg,stimuli/objects/112b.jpg,dist2,target,dist1,lure
ECSET UTCA,stimuli/objects/101a.jpg,object,2,stimuli/scenes/059a.jpg,stimuli/scenes/059b.jpg,stimuli/scenes/059a.jpg,stimuli/objects/116a.jpg,stimuli/objects/116b.jpg,lure,target,dist1,dist2
HEGESZTŐ UTCA,stimuli/scenes/088a.jpg,scene,1,stimuli/scenes/005a.jpg,stimuli/objects/114a.jpg,stimuli/objects/114b.jpg,stimuli/scenes/005a.jpg,stimuli/scenes/005b.jpg,dist1,dist2,target,lure
TÁNYÉR UTCA,stimuli/objects/031a.jpg,object,2,stimuli/scenes/062a.jpg,stimuli/scenes/048b.jpg,stimuli/scenes/048a.jpg,stimuli/scenes/062a.jpg,stimuli/scenes/062b.jpg,dist2,dist1,target,lure
TOLLTARTÓ UTCA,stimuli/scenes/022a.jpg,scene,1,stimuli/scenes/007a.jpg,stimuli/scenes/007b.jpg,stimuli/scenes/071a.jpg,stimuli/scenes/071b.jpg,stimuli/scenes/007a.jpg,lure,dist1,dist2,target
ÁLOM UTCA,stimuli/scenes/031a.jpg,scene,1,stimuli/scenes/032a.jpg,stimuli/scenes/032a.jpg,stimuli/scenes/111b.jpg,stimuli/scenes/111a.jpg,stimuli/scenes/032b.jpg,target,dist2,dist1,lure
FIÓK UTCA,stimuli/objects/064a.jpg,object,0,stimuli/objects/064a.jpg,stimuli/objects/064b.jpg,stimuli/scenes/112a.jpg,stimuli/scenes/112b.jpg,stimuli/objects/064a.jpg,lure,dist1,dist2,target
MAJOM UTCA,stimuli/scenes/094a.jpg,scene,1,stimuli/scenes/098a.jpg,stimuli/scenes/098a.jpg,stimuli/objects/102b.jpg,stimuli/scenes/098b.jpg,stimuli/objects/102a.jpg,target,dist2,lure,dist1
