Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
ASZTAL UTCA,stimuli/scenes/045a.jpg,scene,right,Camponello,0,stimuli/scenes/045a.jpg,stimuli/objects/119a.jpg,stimuli/objects/119b.jpg,stimuli/scenes/045a.jpg,stimuli/scenes/045b.jpg,dist1,dist2,target,lure
PALACK UTCA,stimuli/scenes/062a.jpg,scene,right,Camponello,0,stimuli/scenes/062a.jpg,stimuli/scenes/059b.jpg,stimuli/scenes/059a.jpg,stimuli/scenes/062a.jpg,stimuli/scenes/062b.jpg,dist2,dist1,target,lure
SZILVA UTCA,stimuli/objects/030a.jpg,object,left,Camponello,0,stimuli/objects/030a.jpg,stimuli/objects/030a.jpg,stimuli/objects/030b.jpg,stimuli/objects/003b.jpg,stimuli/objects/003a.jpg,target,lure,dist2,dist1
SZALVÉTA UTCA,stimuli/scenes/086a.jpg,scene,right,Camponello,0,stimuli/scenes/086a.jpg,stimuli/objects/021b.jpg,stimuli/objects/021a.jpg,stimuli/scenes/086a.jpg,stimuli/scenes/086b.jpg,dist2,dist1,target,lure
MOCSÁR UTCA,stimuli/objects/022a.jpg,object,left,Camponello,0,stimuli/objects/022a.jpg,stimuli/scenes/062b.jpg,stimuli/objects/022b.jpg,stimuli/objects/022a.jpg,stimuli/scenes/062a.jpg,dist2,lure,target,dist1
SAJTÓ UTCA,stimuli/objects/078a.jpg,object,left,Camponello,0,stimuli/objects/078a.jpg,stimuli/scenes/023a.jpg,stimuli/objects/078a.jpg,stimuli/scenes/023b.jpg,stimuli/objects/078b.jpg,dist1,target,dist2,lure
LÉTRA UTCA,stimuli/objects/021a.jpg,object,left,Camponello,0,stimuli/objects/021a.jpg,stimuli/objects/078a.jpg,stimuli/objects/021b.jpg,stimuli/objects/078b.jpg,stimuli/objects/021a.jpg,dist1,lure,dist2,target
PULÓVER UTCA,stimuli/objects/035a.jpg,object,left,Camponello,0,stimuli/objects/035a.jpg,stimuli/objects/035a.jpg,stimuli/scenes/029b.jpg,stimuli/scenes/029a.jpg,stimuli/objects/035b.jpg,target,dist2,dist1,lure
KAKAS UTCA,stimuli/objects/011a.jpg,object,left,Camponello,1,stimuli/objects/069a.jpg,stimuli/scenes/117b.jpg,stimuli/objects/069a.jpg,stimuli/scenes/117a.jpg,stimuli/objects/069b.jpg,dist2,target,dist1,lure
FÉNYKÉP UTCA,stimuli/objects/005a.jpg,object,left,Camponello,0,stimuli/objects/005a.jpg,stimuli/objects/005b.jpg,stimuli/objects/005a.jpg,stimuli/scenes/120b.jpg,stimuli/scenes/120a.jpg,lure,target,dist2,dist1
ÁRNYÉK UTCA,stimuli/scenes/046a.jpg,scene,right,Camponello,0,stimuli/scenes/046a.jpg,stimuli/objects/098b.jpg,stimuli/scenes/046b.jpg,stimuli/scenes/046a.jpg,stimuli/objects/098a.jpg,dist2,lure,target,dist1
MAJOM UTCA,stimuli/objects/073a.jpg,object,left,Camponello,2,stimuli/scenes/020a.jpg,stimuli/scenes/021a.jpg,stimuli/scenes/020b.jpg,stimuli/scenes/021b.jpg,stimuli/scenes/020a.jpg,dist1,lure,dist2,target
AJÁNDÉK UTCA,stimuli/scenes/070a.jpg,scene,right,Camponello,2,stimuli/objects/089a.jpg,stimuli/scenes/020b.jpg,stimuli/scenes/020a.jpg,stimuli/objects/089a.jpg,stimuli/objects/089b.jpg,dist2,dist1,target,lure
LÉPCSŐ UTCA,stimuli/objects/049a.jpg,object,left,Camponello,0,stimuli/objects/049a.jpg,stimuli/objects/049a.jpg,stimuli/objects/049b.jpg,stimuli/objects/031a.jpg,stimuli/objects/031b.jpg,target,lure,dist1,dist2
SZAXOFON UTCA,stimuli/objects/081a.jpg,object,left,Camponello,0,stimuli/objects/081a.jpg,stimuli/objects/083b.jpg,stimuli/objects/081b.jpg,stimuli/objects/081a.jpg,stimuli/objects/083a.jpg,dist2,lure,target,dist1
KÁRTYA UTCA,stimuli/objects/088a.jpg,object,left,Camponello,0,stimuli/objects/088a.jpg,stimuli/objects/088a.jpg,stimuli/scenes/114b.jpg,stimuli/scenes/114a.jpg,stimuli/objects/088b.jpg,target,dist2,dist1,lure
KIRAKÓ UTCA,stimuli/objects/010a.jpg,object,left,Camponello,1,stimuli/objects/092a.jpg,stimuli/objects/045b.jpg,stimuli/objects/092a.jpg,stimuli/objects/045a.jpg,stimuli/objects/092b.jpg,dist2,target,dist1,lure
HEGEDŰ UTCA,stimuli/objects/119a.jpg,object,left,Camponello,0,stimuli/objects/119a.jpg,stimuli/objects/119a.jpg,stimuli/objects/119b.jpg,stimuli/scenes/109b.jpg,stimuli/scenes/109a.jpg,target,lure,dist2,dist1
