Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
BETON UTCA,stimuli/scenes/022a.jpg,scene,1,stimuli/scenes/077a.jpg,stimuli/scenes/084b.jpg,stimuli/scenes/077b.jpg,stimuli/scenes/084a.jpg,stimuli/scenes/077a.jpg,dist2,lure,dist1,target
KARTON UTCA,stimuli/objects/073a.jpg,object,1,stimuli/objects/075a.jpg,stimuli/objects/057a.jpg,stimuli/objects/075b.jpg,stimuli/objects/075a.jpg,stimuli/objects/057b.jpg,dist1,lure,target,dist2
PALACK UTCA,stimuli/objects/014a.jpg,object,2,stimuli/scenes/008a.jpg,stimuli/scenes/059a.jpg,stimuli/scenes/008b.jpg,stimuli/scenes/059b.jpg,stimuli/scenes/008a.jpg,dist1,lure,dist2,target
ZÁSZLÓ UTCA,stimuli/scenes/010a.jpg,scene,1,stimuli/scenes/084a.jpg,stimuli/objects/005a.jpg,stimuli/objects/005b.jpg,stimuli/scenes/084b.jpg,stimuli/scenes/084a.jpg,dist1,dist2,lure,target
KIRAKÓ UTCA,stimuli/objects/104a.jpg,object,2,stimuli/scenes/059a.jpg,stimuli/objects/108b.jpg,stimuli/scenes/059b.jpg,stimuli/objects/108a.jpg,stimuli/scenes/059a.jpg,dist2,lure,dist1,target
TÜKÖR UTCA,stimuli/scenes/080a.jpg,scene,0,stimuli/scenes/080a.jpg,stimuli/scenes/065a.jpg,stimuli/scenes/065b.jpg,stimuli/scenes/080b.jpg,stimuli/scenes/080a.jpg,dist1,dist2,lure,target
TERÍTŐ UTCA,stimuli/scenes/038a.jpg,scene,2,stimuli/objects/040a.jpg,stimuli/objects/040a.jpg,stimuli/objects/106b.jpg,stimuli/objects/040b.jpg,stimuli/objects/106a.jpg,target,dist2,lure,dist1
LÉTRA UTCA,stimuli/objects/048a.jpg,object,1,stimuli/objects/005a.jpg,stimuli/scenes/039b.jpg,stimuli/objects/005b.jpg,stimuli/scenes/039a.jpg,stimuli/objects/005a.jpg,dist2,lure,dist1,target
ECSET UTCA,stimuli/objects/025a.jpg,object,0,stimuli/objects/025a.jpg,stimuli/objects/025b.jpg,stimuli/scenes/052b.jpg,stimuli/objects/025a.jpg,stimuli/scenes/052a.jpg,lure,dist2,target,dist1
TOJÁS UTCA,stimuli/scenes/047a.jpg,scene,1,stimuli/scenes/039a.jpg,stimuli/scenes/039b.jpg,stimuli/objects/028a.jpg,stimuli/objects/028b.jpg,stimuli/scenes/039a.jpg,lure,dist1,dist2,target
SZAXOFON UTCA,stimuli/objects/061a.jpg,object,0,stimuli/objects/061a.jpg,stimuli/objects/061a.jpg,stimuli/objects/020b.jpg,stimuli/objects/020a.jpg,stimuli/objects/061b.jpg,target,dist2,dist1,lure
PÁLMAFA UTCA,stimuli/objects/039a.jpg,object,1,stimuli/objects/082a.jpg,stimuli/objects/082a.jpg,stimuli/objects/082b.jpg,stimuli/objects/075b.jpg,stimuli/objects/075a.jpg,target,lure,dist2,dist1
KORONA UTCA,stimuli/scenes/115a.jpg,scene,1,stimuli/scenes/044a.jpg,stimuli/scenes/070b.jpg,stimuli/scenes/044b.jpg,stimuli/scenes/070a.jpg,stimuli/scenes/044a.jpg,dist2,lure,dist1,target
HERNYÓ UTCA,stimuli/objects/006a.jpg,object,2,stimuli/scenes/046a.jpg,stimuli/objects/098a.jpg,stimuli/scenes/046b.jpg,stimuli/objects/098b.jpg,stimuli/scenes/046a.jpg,dist1,lure,dist2,target
MÁLNA UTCA,stimuli/objects/109a.jpg,object,1,stimuli/objects/028a.jpg,stimuli/objects/115a.jpg,stimuli/objects/028a.jpg,stimuli/objects/028b.jpg,stimuli/objects/115b.jpg,dist1,target,lure,dist2
LÁNDZSA UTCA,stimuli/scenes/011a.jpg,scene,2,stimuli/objects/064a.jpg,stimuli/objects/064a.jpg,stimuli/objects/064b.jpg,stimuli/objects/042b.jpg,stimuli/objects/042a.jpg,target,lure,dist2,dist1
HÁRFA UTCA,stimuli/scenes/037a.jpg,scene,0,stimuli/scenes/037a.jpg,stimuli/scenes/037a.jpg,stimuli/scenes/037b.jpg,stimuli/objects/072a.jpg,stimuli/objects/072b.jpg,target,lure,dist1,dist2
