Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
ZONGORA UTCA,stimuli/objects/076a.jpg,object,0,stimuli/objects/076a.jpg,stimuli/objects/076a.jpg,stimuli/objects/076b.jpg,stimuli/scenes/036a.jpg,stimuli/scenes/036b.jpg,target,lure,dist1,dist2
MOSODA UTCA,stimuli/objects/045a.jpg,object,0,stimuli/objects/045a.jpg,stimuli/objects/045b.jpg,stimuli/scenes/050a.jpg,stimuli/objects/045a.jpg,stimuli/scenes/050b.jpg,lure,dist1,target,dist2
SZAPPAN UTCA,stimuli/scenes/108a.jpg,scene,1,stimuli/scenes/072a.jpg,stimuli/scenes/072b.jpg,stimuli/scenes/040a.jpg,stimuli/scenes/072a.jpg,stimuli/scenes/040b.jpg,lure,dist1,target,dist2
POGÁCSA UTCA,stimuli/scenes/019a.jpg,scene,1,stimuli/scenes/040a.jpg,stimuli/scenes/040b.jpg,stimuli/scenes/040a.jpg,stimuli/scenes/075b.jpg,stimuli/scenes/075a.jpg,lure,target,dist2,dist1
REPÜLŐ UTCA,stimuli/objects/119a.jpg,object,2,stimuli/scenes/101a.jpg,stimuli/objects/084a.jpg,stimuli/scenes/101a.jpg,stimuli/objects/084b.jpg,stimuli/scenes/101b.jpg,dist1,target,dist2,lure
KÖMÉNYMAG UTCA,stimuli/objects/111a.jpg,object,2,stimuli/scenes/005a.jpg,stimuli/scenes/005b.jpg,stimuli/scenes/064a.jpg,stimuli/scenes/064b.jpg,stimuli/scenes/005a.jpg,lure,dist1,dist2,target
SUGÁR UTCA,stimuli/scenes/089a.jpg,scene,0,stimuli/scenes/089a.jpg,stimuli/scenes/041b.jpg,stimuli/scenes/089b.jpg,stimuli/scenes/089a.jpg,stimuli/scenes/041a.jpg,dist2,lure,target,dist1
SZOMSZÉD UTCA,stimuli/objects/034a.jpg,object,2,stimuli/scenes/017a.jpg,stimuli/objects/036a.jpg,stimuli/scenes/017a.jpg,stimuli/scenes/017b.jpg,stimuli/objects/036b.jpg,dist1,target,lure,dist2
AKÁC UTCA,stimuli/scenes/057a.jpg,scene,0,stimuli/scenes/057a.jpg,stimuli/objects/015a.jpg,stimuli/scenes/057b.jpg,stimuli/objects/015b.jpg,stimuli/scenes/057a.jpg,dist1,lure,dist2,target
HENTES UTCA,stimuli/objects/001a.jpg,object,0,stimuli/objects/001a.jpg,stimuli/objects/001b.jpg,stimuli/scenes/045a.jpg,stimuli/objects/001a.jpg,stimuli/scenes/045b.jpg,lure,dist1,target,dist2
CSAVAR UTCA,stimuli/scenes/020a.jpg,scene,0,stimuli/scenes/020a.jpg,stimuli/objects/065a.jpg,stimuli/objects/065b.jpg,stimuli/scenes/020b.jpg,stimuli/scenes/020a.jpg,dist1,dist2,lure,target
TOBOZ UTCA,stimuli/scenes/036a.jpg,scene,0,stimuli/scenes/036a.jpg,stimuli/objects/074b.jpg,stimuli/objects/074a.jpg,stimuli/scenes/036b.jpg,stimuli/scenes/036a.jpg,dist2,dist1,lure,target
PULÓVER UTCA,stimuli/objects/062a.jpg,object,0,stimuli/objects/062a.jpg,stimuli/objects/076a.jpg,stimuli/objects/076b.jpg,stimuli/objects/062a.jpg,stimuli/objects/062b.jpg,dist1,dist2,target,lure
BOLYGÓ UTCA,stimuli/objects/015a.jpg,object,0,stimuli/objects/015a.jpg,stimuli/scenes/066a.jpg,stimuli/objects/015a.jpg,stimuli/scenes/066b.jpg,stimuli/objects/015b.jpg,dist1,target,dist2,lure
MOCSÁR UTCA,stimuli/objects/037a.jpg,object,0,stimuli/objects/037a.jpg,stimuli/scenes/109b.jpg,stimuli/scenes/109a.jpg,stimuli/objects/037b.jpg,stimuli/objects/037a.jpg,dist2,dist1,lure,target
