Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
KANÁL UTCA,stimuli/objects/118a.jpg,object,1,stimuli/objects/021a.jpg,stimuli/scenes/091b.jpg,stimuli/objects/021b.jpg,stimuli/objects/021a.jpg,stimuli/scenes/091a.jpg,dist2,lure,target,dist1
PÉKSÉG UTCA,stimuli/objects/027a.jpg,object,0,stimuli/objects/027a.jpg,stimuli/objects/027b.jpg,stimuli/objects/027a.jpg,stimuli/objects/039b.jpg,stimuli/objects/039a.jpg,lure,target,dist2,dist1
AJÁNDÉK UTCA,stimuli/scenes/094a.jpg,scene,2,stimuli/objects/091a.jpg,stimuli/scenes/110b.jpg,stimuli/objects/091b.jpg,stimuli/scenes/110a.jpg,stimuli/objects/091a.jpg,dist2,lure,dist1,target
KÓKUSZ UTCA,stimuli/objects/089a.jpg,object,0,stimuli/objects/089a.jpg,stimuli/objects/089a.jpg,stimuli/objects/075a.jpg,stimuli/objects/089b.jpg,stimuli/objects/075b.jpg,target,dist1,lure,dist2
SZALVÉTA UTCA,stimuli/scenes/026a.jpg,scene,0,stimuli/scenes/026a.jpg,stimuli/scenes/026b.jpg,stimuli/objects/050b.jpg,stimuli/objects/050a.jpg,stimuli/scenes/026a.jpg,lure,dist2,dist1,target
TOBOZ UTCA,stimuli/scenes/096a.jpg,scene,2,stimuli/objects/076a.jpg,stimuli/objects/076a.jpg,stimuli/objects/076b.jpg,stimuli/scenes/074a.jpg,stimuli/scenes/074b.jpg,target,lure,dist1,dist2
ORVOS UTCA,stimuli/objects/004a.jpg,object,2,stimuli/scenes/038a.jpg,stimuli/objects/068b.jpg,stimuli/objects/068a.jpg,stimuli/scenes/038a.jpg,stimuli/scenes/038b.jpg,dist2,dist1,target,lure
LAKAT UTCA,stimuli/objects/098a.jpg,object,1,stimuli/objects/017a.jpg,stimuli/objects/017b.jpg,stimuli/objects/101a.jpg,stimuli/objects/017a.jpg,stimuli/objects/101b.jpg,lure,dist1,target,dist2
PAPRIKA UTCA,stimuli/objects/039a.jpg,object,0,stimuli/objects/039a.jpg,stimuli/objects/039b.jpg,stimuli/objects/039a.jpg,stimuli/scenes/056a.jpg,stimuli/scenes/056b.jpg,lure,target,dist1,dist2
KÁRTYA UTCA,stimuli/scenes/030a.jpg,scene,2,stimuli/objects/093a.jpg,stimuli/objects/093b.jpg,stimuli/objects/093a.jpg,stimuli/objects/076b.jpg,stimuli/objects/076a.jpg,lure,target,dist2,dist1
