Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
POGÁCSA UTCA,stimuli/scenes/045a.jpg,scene,right,Camponello,2,stimuli/objects/036a.jpg,stimuli/objects/036b.jpg,stimuli/objects/040b.jpg,stimuli/objects/036a.jpg,stimuli/objects/040a.jpg,lure,dist2,target,dist1
PÉKSÉG UTCA,stimuli/objects/072a.jpg,object,left,Camponello,0,stimuli/objects/072a.jpg,stimuli/objects/113b.jpg,stimuli/objects/072b.jpg,stimuli/objects/072a.jpg,stimuli/objects/113a.jpg,dist2,lure,target,dist1
ÁLOM UTCA,stimuli/scenes/018a.jpg,scene,right,Camponello,0,stimuli/scenes/018a.jpg,stimuli/scenes/018a.jpg,stimuli/objects/111a.jpg,stimuli/objects/111b.jpg,stimuli/scenes/018b.jpg,target,dist1,dist2,lure
SZOBOR UTCA,stimuli/objects/054a.jpg,object,left,Camponello,0,stimuli/objects/054a.jpg,stimuli/objects/054a.jpg,stimuli/scenes/064b.jpg,stimuli/objects/054b.jpg,stimuli/scenes/064a.jpg,target,dist2,lure,dist1
PÁRNA UTCA,stimuli/scenes/048a.jpg,scene,right,Camponello,0,stimuli/scenes/048a.jpg,stimuli/objects/103a.jpg,stimuli/objects/103b.jpg,stimuli/scenes/048a.jpg,stimuli/scenes/048b.jpg,dist1,dist2,target,lure
KATONA UTCA,stimuli/scenes/104a.jpg,scene,right,Camponello,2,stimuli/objects/002a.jpg,stimuli/objects/039b.jpg,stimuli/objects/002a.jpg,stimuli/objects/039a.jpg,stimuli/objects/002b.jpg,dist2,target,dist1,lure
PIZSAMA UTCA,stimuli/scenes/051a.jpg,scene,right,Camponello,1,stimuli/scenes/031a.jpg,stimuli/objects/062a.jpg,stimuli/objects/062b.jpg,stimuli/scenes/031b.jpg,stimuli/scenes/031a.jpg,dist1,dist2,lure,target
RÓZSA UTCA,stimuli/scenes/117a.jpg,scene,right,Camponello,1,stimuli/scenes/026a.jpg,stimuli/objects/018b.jpg,stimuli/scenes/026a.jpg,stimuli/objects/018a.jpg,stimuli/scenes/026b.jpg,dist2,target,dist1,lure
ASZTAL UTCA,stimuli/objects/020a.jpg,object,left,Camponello,0,stimuli/objects/020a.jpg,stimuli/scenes/089a.jpg,stimuli/objects/020a.jpg,stimuli/objects/020b.jpg,stimuli/scenes/089b.jpg,dist1,target,lure,dist2
TÜKÖR UTCA,stimuli/scenes/041a.jpg,scene,right,Camponello,0,stimuli/scenes/041a.jpg,stimuli/objects/033b.jpg,stimuli/scenes/041b.jpg,stimuli/scenes/041a.jpg,stimuli/objects/033a.jpg,dist2,lure,target,dist1
