Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
SZOMSZÉD UTCA,stimuli/objects/113a.jpg,object,0,stimuli/objects/113a.jpg,stimuli/objects/113a.jpg,stimuli/scenes/049b.jpg,stimuli/scenes/049a.jpg,stimuli/objects/113b.jpg,target,dist2,dist1,lure
KALAPÁCS UTCA,stimuli/scenes/002a.jpg,scene,0,stimuli/scenes/002a.jpg,stimuli/scenes/014b.jpg,stimuli/scenes/002a.jpg,stimuli/scenes/014a.jpg,stimuli/scenes/002b.jpg,dist2,target,dist1,lure
KESZTYŰ UTCA,stimuli/scenes/049a.jpg,scene,0,stimuli/scenes/049a.jpg,stimuli/scenes/110b.jpg,stimuli/scenes/049b.jpg,stimuli/scenes/049a.jpg,stimuli/scenes/110a.jpg,dist2,lure,target,dist1
BANÁN UTCA,stimuli/objects/071a.jpg,object,0,stimuli/objects/071a.jpg,stimuli/objects/071a.jpg,stimuli/objects/071b.jpg,stimuli/objects/087b.jpg,stimuli/objects/087a.jpg,target,lure,dist2,dist1
VASALÓ UTCA,stimuli/objects/004a.jpg,object,1,stimuli/objects/100a.jpg,stimuli/objects/108a.jpg,stimuli/objects/100b.jpg,stimuli/objects/108b.jpg,stimuli/objects/100a.jpg,dist1,lure,dist2,target
ZONGORA UTCA,stimuli/scenes/017a.jpg,scene,0,stimuli/scenes/017a.jpg,stimuli/scenes/017b.jpg,stimuli/scenes/017a.jpg,stimuli/objects/035b.jpg,stimuli/objects/035a.jpg,lure,target,dist2,dist1
KORONG UTCA,stimuli/scenes/065a.jpg,scene,0,stimuli/scenes/065a.jpg,stimuli/scenes/119a.jpg,stimuli/scenes/065b.jpg,stimuli/scenes/119b.jpg,stimuli/scenes/065a.jpg,dist1,lure,dist2,target
MOTOR UTCA,stimuli/objects/073a.jpg,object,0,stimuli/objects/073a.jpg,stimuli/objects/028a.jpg,stimuli/objects/073b.jpg,stimuli/objects/073a.jpg,stimuli/objects/028b.jpg,dist1,lure,target,dist2
TOLLTARTÓ UTCA,stimuli/objects/002a.jpg,object,0,stimuli/objects/002a.jpg,stimuli/scenes/017a.jpg,stimuli/objects/002a.jpg,stimuli/scenes/017b.jpg,stimuli/objects/002b.jpg,dist1,target,dist2,lure
KAKAÓ UTCA,stimuli/objects/038a.jpg,object,0,stimuli/objects/038a.jpg,stimuli/objects/038b.jpg,stimuli/objects/002b.jpg,stimuli/objects/002a.jpg,stimuli/objects/038a.jpg,lure,dist2,dist1,target
PAPAGÁJ UTCA,stimuli/scenes/035a.jpg,scene,0,stimuli/scenes/035a.jpg,stimuli/scenes/035b.jpg,stimuli/scenes/035a.jpg,stimuli/scenes/004b.jpg,stimuli/scenes/004a.jpg,lure,target,dist2,dist1
VITORLA UTCA,stimuli/scenes/068a.jpg,scene,2,stimuli/objects/020a.jpg,stimuli/objects/020b.jpg,stimuli/scenes/007a.jpg,stimuli/objects/020a.jpg,stimuli/scenes/007b.jpg,lure,dist1,target,dist2
TERÍTŐ UTCA,stimuli/objects/006a.jpg,object,0,stimuli/objects/006a.jpg,stimuli/objects/006b.jpg,stimuli/objects/006a.jpg,stimuli/scenes/035b.jpg,stimuli/scenes/035a.jpg,lure,target,dist2,dist1
LEMEZ UTCA,stimuli/objects/099a.jpg,object,0,stimuli/objects/099a.jpg,stimuli/objects/064a.jpg,stimuli/objects/099a.jpg,stimuli/objects/099b.jpg,stimuli/objects/064b.jpg,dist1,target,lure,dist2
VÖDÖR UTCA,stimuli/objects/030a.jpg,object,1,stimuli/objects/023a.jpg,stimuli/objects/100a.jpg,stimuli/objects/023a.jpg,stimuli/objects/100b.jpg,stimuli/objects/023b.jpg,dist1,target,dist2,lure
ÜVEG UTCA,stimuli/scenes/072a.jpg,scene,1,stimuli/scenes/102a.jpg,stimuli/scenes/042a.jpg,stimuli/scenes/102b.jpg,stimuli/scenes/042b.jpg,stimuli/scenes/102a.jpg,dist1,lure,dist2,target
LOVAGLÁS UTCA,stimuli/objects/037a.jpg,object,0,stimuli/objects/037a.jpg,stimuli/objects/037b.jpg,stimuli/objects/037a.jpg,stimuli/scenes/076a.jpg,stimuli/scenes/076b.jpg,lure,target,dist1,dist2
KÖMÉNYMAG UTCA,stimuli/scenes/105a.jpg,scene,0,stimuli/scenes/105a.jpg,stimuli/scenes/038a.jpg,stimuli/scenes/038b.jpg,stimuli/scenes/105b.jpg,stimuli/scenes/105a.jpg,dist1,dist2,lure,target
EGÉR UTCA,stimuli/objects/105a.jpg,object,0,stimuli/objects/105a.jpg,stimuli/objects/105a.jpg,stimuli/objects/048b.jpg,stimuli/objects/048a.jpg,stimuli/objects/105b.jpg,target,dist2,dist1,lure
BONBON UTCA,stimuli/objects/112a.jpg,object,0,stimuli/objects/112a.jpg,stimuli/scenes/009a.jpg,stimuli/objects/112a.jpg,stimuli/objects/112b.jpg,stimuli/scenes/009b.jpg,dist1,target,lure,dist2
