CityName,StimuliFile,CityImage,StreetSign
Hippopolis,stimuli/subj_files/ST02_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png
Camponello,stimuli/subj_files/ST02_112522_cityB.csv,./stimuli/hallstatt.jpg,./stimuli/street_plate2.png
