CityName,StimuliFile,CityImage,StreetSign
Camponello,stimuli/subj_files/ST01_112522_cityB.csv,./stimuli/hallstatt.jpg,./stimuli/street_plate2.png
Hippopolis,stimuli/subj_files/ST01_112522_cityA.csv,./stimuli/seattle.jpg,./stimuli/street_plate1.png
