Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
SZILVA UTCA,stimuli/objects/045a.jpg,object,1,stimuli/objects/092a.jpg,stimuli/objects/092b.jpg,stimuli/objects/097b.jpg,stimuli/objects/092a.jpg,stimuli/objects/097a.jpg,lure,dist2,target,dist1
KESZTYŰ UTCA,stimuli/scenes/089a.jpg,scene,1,stimuli/scenes/106a.jpg,stimuli/scenes/106a.jpg,stimuli/scenes/029a.jpg,stimuli/scenes/106b.jpg,stimuli/scenes/029b.jpg,target,dist1,lure,dist2
BÚJÓCSKA UTCA,stimuli/objects/035a.jpg,object,0,stimuli/objects/035a.jpg,stimuli/objects/034b.jpg,stimuli/objects/035a.jpg,stimuli/objects/034a.jpg,stimuli/objects/035b.jpg,dist2,target,dist1,lure
PALACK UTCA,stimuli/objects/010a.jpg,object,2,stimuli/scenes/041a.jpg,stimuli/scenes/090a.jpg,stimuli/scenes/041b.jpg,stimuli/scenes/041a.jpg,stimuli/scenes/090b.jpg,dist1,lure,target,dist2
SZIKLA UTCA,stimuli/scenes/055a.jpg,scene,1,stimuli/scenes/029a.jpg,stimuli/objects/090a.jpg,stimuli/objects/090b.jpg,stimuli/scenes/029b.jpg,stimuli/scenes/029a.jpg,dist1,dist2,lure,target
KÍGYÓ UTCA,stimuli/scenes/117a.jpg,scene,0,stimuli/scenes/117a.jpg,stimuli/objects/020b.jpg,stimuli/scenes/117b.jpg,stimuli/objects/020a.jpg,stimuli/scenes/117a.jpg,dist2,lure,dist1,target
KESELYŰ UTCA,stimuli/objects/119a.jpg,object,2,stimuli/scenes/065a.jpg,stimuli/scenes/065a.jpg,stimuli/scenes/065b.jpg,stimuli/scenes/033b.jpg,stimuli/scenes/033a.jpg,target,lure,dist2,dist1
TELEFON UTCA,stimuli/objects/113a.jpg,object,2,stimuli/scenes/088a.jpg,stimuli/scenes/088b.jpg,stimuli/scenes/094b.jpg,stimuli/scenes/094a.jpg,stimuli/scenes/088a.jpg,lure,dist2,dist1,target
VÖDÖR UTCA,stimuli/scenes/016a.jpg,scene,0,stimuli/scenes/016a.jpg,stimuli/objects/054b.jpg,stimuli/objects/054a.jpg,stimuli/scenes/016b.jpg,stimuli/scenes/016a.jpg,dist2,dist1,lure,target
TÁSKA UTCA,stimuli/scenes/049a.jpg,scene,1,stimuli/scenes/112a.jpg,stimuli/objects/030b.jpg,stimuli/objects/030a.jpg,stimuli/scenes/112a.jpg,stimuli/scenes/112b.jpg,dist2,dist1,target,lure
HEGESZTŐ UTCA,stimuli/objects/053a.jpg,object,2,stimuli/scenes/051a.jpg,stimuli/scenes/051a.jpg,stimuli/scenes/046b.jpg,stimuli/scenes/046a.jpg,stimuli/scenes/051b.jpg,target,dist2,dist1,lure
PIZSAMA UTCA,stimuli/scenes/008a.jpg,scene,2,stimuli/objects/006a.jpg,stimuli/objects/006b.jpg,stimuli/objects/091a.jpg,stimuli/objects/006a.jpg,stimuli/objects/091b.jpg,lure,dist1,target,dist2
SZOMSZÉD UTCA,stimuli/scenes/017a.jpg,scene,1,stimuli/scenes/013a.jpg,stimuli/scenes/015a.jpg,stimuli/scenes/015b.jpg,stimuli/scenes/013b.jpg,stimuli/scenes/013a.jpg,dist1,dist2,lure,target
SAJTÓ UTCA,stimuli/objects/102a.jpg,object,1,stimuli/objects/051a.jpg,stimuli/objects/108b.jpg,stimuli/objects/051a.jpg,stimuli/objects/051b.jpg,stimuli/objects/108a.jpg,dist2,target,lure,dist1
KÖMÉNYMAG UTCA,stimuli/objects/026a.jpg,object,2,stimuli/scenes/108a.jpg,stimuli/scenes/108b.jpg,stimuli/objects/006b.jpg,stimuli/scenes/108a.jpg,stimuli/objects/006a.jpg,lure,dist2,target,dist1
KERÉK UTCA,stimuli/objects/039a.jpg,object,1,stimuli/objects/097a.jpg,stimuli/objects/019a.jpg,stimuli/objects/097b.jpg,stimuli/objects/019b.jpg,stimuli/objects/097a.jpg,dist1,lure,dist2,target
KOCKA UTCA,stimuli/scenes/002a.jpg,scene,2,stimuli/objects/111a.jpg,stimuli/objects/111a.jpg,stimuli/objects/072a.jpg,stimuli/objects/072b.jpg,stimuli/objects/111b.jpg,target,dist1,dist2,lure
VITORLA UTCA,stimuli/objects/027a.jpg,object,2,stimuli/scenes/094a.jpg,stimuli/objects/056a.jpg,stimuli/scenes/094a.jpg,stimuli/objects/056b.jpg,stimuli/scenes/094b.jpg,dist1,target,dist2,lure
LÁNDZSA UTCA,stimuli/objects/065a.jpg,object,1,stimuli/objects/038a.jpg,stimuli/objects/003a.jpg,stimuli/objects/038a.jpg,stimuli/objects/003b.jpg,stimuli/objects/038b.jpg,dist1,target,dist2,lure
KIRAKÓ UTCA,stimuli/objects/024a.jpg,object,2,stimuli/scenes/047a.jpg,stimuli/objects/068a.jpg,stimuli/scenes/047b.jpg,stimuli/objects/068b.jpg,stimuli/scenes/047a.jpg,dist1,lure,dist2,target
ORVOS UTCA,stimuli/scenes/060a.jpg,scene,0,stimuli/scenes/060a.jpg,stimuli/scenes/060b.jpg,stimuli/scenes/060a.jpg,stimuli/scenes/060a.jpg,stimuli/scenes/060b.jpg,lure,dist1,target,dist2
